
[00:00:00.000 --> 00:00:01.420]  各位大家好,早安
[00:00:01.420 --> 00:00:06.460]  各位在網上,即是在家中或不同的地方
[00:00:06.460 --> 00:00:08.240]  正在收看土瓜人的浸信會
[00:00:08.240 --> 00:00:13.600]  今天網上崇拜的弟兄姊妹都跟你說聲早安
[00:00:13.600 --> 00:00:16.480]  今天跟大家繼續看大衛的新評
[00:00:16.480 --> 00:00:20.000]  我相信如果有參加我們土浸崇拜的頻道
[00:00:20.000 --> 00:00:24.360]  我今年都主要用大衛的《撒慕爾記》裡面
[00:00:24.360 --> 00:00:29.920]  有關大衛的經文去思想上帝對我們的說話
[00:00:29.920 --> 00:00:36.940]  (大衛的經文)
[00:00:36.940 --> 00:00:38.960]  我們看一下這個題目
[00:00:38.960 --> 00:00:42.120]  你看衝神,神就看衝你
[00:00:42.120 --> 00:00:45.480]  英文是Keep our focus on God
[00:00:45.480 --> 00:00:47.400]  現在你的焦點在哪裡呢?
[00:00:47.400 --> 00:00:51.320]  會不會在新冠肺炎那裡
[00:00:51.320 --> 00:00:55.080]  還是在現在我們面對工作的困難
[00:00:55.080 --> 00:00:58.400]  或者你的焦點在你的子女上高呢?
[00:00:58.400 --> 00:01:02.040]  很想今天能夠透過訊息給我們提醒
[00:01:02.040 --> 00:01:04.760]  當你將你的焦點放在上帝那裡
[00:01:04.760 --> 00:01:10.960]  上帝也會重視你、使用你
[00:01:10.960 --> 00:01:13.680]  在3月1號,即是上一個月
[00:01:13.680 --> 00:01:16.880]  我用疫情下悔著的僕人
[00:01:16.880 --> 00:01:18.600]  看回大衛晚年的時候
[00:01:18.600 --> 00:01:21.660]  他都犯了一個很重大的錯誤
[00:01:21.660 --> 00:01:24.200]  他去數點他的兵馬
[00:01:24.200 --> 00:01:26.440]  顯出了他心裡不依靠上帝
[00:01:26.440 --> 00:01:28.640]  他沒有將焦點放在上帝那裡
[00:01:28.640 --> 00:01:32.440]  所以上帝有一個很大的瘟疫
[00:01:32.440 --> 00:01:35.720]  在以色列人群當中死了七萬人
[00:01:35.720 --> 00:01:40.240]  我們要學習僕人大衛如何去悔罪、祈禱
[00:01:40.240 --> 00:01:42.720]  也要明白上帝有他的審判
[00:01:42.720 --> 00:01:45.120]  但上帝終極的是那位憐憫的主
[00:01:45.120 --> 00:01:47.040]  慈愛的主
[00:01:47.040 --> 00:01:48.720]  再對上花一個月
[00:01:48.720 --> 00:01:50.960]  我們看到我的題目是
[00:01:50.960 --> 00:01:52.800]  「何必偏偏選中我?」
[00:01:52.800 --> 00:01:54.480]  在撒姆爾記第十六章
[00:01:54.480 --> 00:01:57.400]  開始出現大衛這個人物的時候
[00:01:57.400 --> 00:01:59.280]  當撒姆爾去選
[00:01:59.280 --> 00:02:01.960]  究竟上帝要我高立誰成為
[00:02:01.960 --> 00:02:06.320]  接續訴羅作王的人呢?
[00:02:06.320 --> 00:02:08.480]  耶和華告訴撒姆爾
[00:02:08.480 --> 00:02:10.440]  「耶和華不像人看人
[00:02:10.440 --> 00:02:11.920]  人是看外貌
[00:02:11.920 --> 00:02:13.960]  耶和華是看內心」
