
[00:00:00.000 --> 00:00:02.000]  我有一個簡單的祈禱
[00:00:02.000 --> 00:00:03.500]  七世主,多謝主祢
[00:00:03.500 --> 00:00:07.000]  讓我再一次有機會在話語的即時中服侍祢
[00:00:07.000 --> 00:00:09.000]  願我口中的言語
[00:00:09.000 --> 00:00:10.000]  心中的意念
[00:00:10.000 --> 00:00:11.000]  蒙祢月立
[00:00:11.000 --> 00:00:12.000]  多謝主
[00:00:12.000 --> 00:00:13.000]  聽我祈禱
[00:00:13.000 --> 00:00:15.000]  是奉主的名求
[00:00:15.000 --> 00:00:16.000]  阿門
[00:00:30.000 --> 00:00:32.000]  我相信不是聽過一次
[00:00:32.000 --> 00:00:34.000]  兩次、三次、五次、十次都不一定
[00:00:34.000 --> 00:00:37.000]  所以我有一個不情之請
[00:00:37.000 --> 00:00:39.000]  希望大家都可以幫幫忙
[00:00:39.000 --> 00:00:41.000]  無論你聽過多少次都好
[00:00:41.000 --> 00:00:44.000]  這次就當是第一次好嗎?
[00:00:44.000 --> 00:00:46.000]  當是第一次好嗎?
[00:00:46.000 --> 00:00:48.000]  或者多謝大家
[00:00:48.000 --> 00:00:50.000]  第一次這段時間
[00:00:50.000 --> 00:00:52.000]  就希望大家帶著期待
[00:00:52.000 --> 00:00:54.000]  黑人主
[00:00:54.000 --> 00:00:56.000]  要透過我們這麼熟悉的經文
[00:00:56.000 --> 00:00:58.000]  或者這麼熟悉的故事
[00:00:58.000 --> 00:01:01.000]  今天有什麼想跟我們說呢?
[00:01:01.000 --> 00:01:03.000]  剛才我們讀了經文
[00:01:03.000 --> 00:01:05.000]  有一點背景的
[00:01:05.000 --> 00:01:07.000]  發起初夜和問事
[00:01:07.000 --> 00:01:08.000]  因為主耶穌
[00:01:08.000 --> 00:01:10.000]  他竟然要接待
[00:01:10.000 --> 00:01:13.000]  或者要讓稅吏和罪人
[00:01:13.000 --> 00:01:14.000]  去親近他
[00:01:14.000 --> 00:01:15.000]  他們就私底下
[00:01:15.000 --> 00:01:17.000]  自浸、自浸、自浸
[00:01:17.000 --> 00:01:19.000]  去議論主耶穌
[00:01:19.000 --> 00:01:20.000]  因此
[00:01:20.000 --> 00:01:22.000]  主耶穌用了三個比喻
[00:01:22.000 --> 00:01:24.000]  第一個是失陽
[00:01:24.000 --> 00:01:26.000]  第二個是失淺
[00:01:26.000 --> 00:01:28.000]  第三個是失人
[00:01:28.000 --> 00:01:30.000]  很多時候我們叫浪子
[00:01:30.000 --> 00:01:33.000]  三個比喻去作出回應
[00:01:33.000 --> 00:01:34.000]  這個回應
[00:01:34.000 --> 00:01:37.000]  主主要想向這群快財人
[00:01:37.000 --> 00:01:39.000]  表達一個很重要的真理
[00:01:39.000 --> 00:01:40.000]  就是說
[00:01:40.000 --> 00:01:43.000]  神很看重
[00:01:43.000 --> 00:01:46.000]  每一個按照他形象所做的人
[00:01:46.000 --> 00:01:50.000]  即使好像浪子那樣的罪人
[00:01:50.000 --> 00:01:52.000]  可能我們都不太看得起他
[00:01:52.000 --> 00:01:55.000]  但是主都好像慈父那樣
[00:01:55.000 --> 00:01:58.000]  去等候他的回傳
[00:01:58.000 --> 00:02:00.000]  浪子回頭
[00:02:00.000 --> 00:02:02.000]  十七世紀
[00:02:02.000 --> 00:02:04.000]  有一個荷蘭著名的畫家
[00:02:04.000 --> 00:02:05.000]  林布蘭特
[00:02:05.000 --> 00:02:06.000]  他一生當中
[00:02:06.000 --> 00:02:09.000]  有三幅作品
[00:02:09.000 --> 00:02:12.000]  都是和浪子回頭有關
[00:02:12.000 --> 00:02:14.000]  第一幅作品
[00:02:14.000 --> 00:02:15.000]  是他年少的時間
[00:02:15.000 --> 00:02:18.000]  一幅木刻的版畫
[00:02:18.000 --> 00:02:21.000]  可能我們這樣看
[00:02:21.000 --> 00:02:23.000]  可能比較遠了一點
[00:02:23.000 --> 00:02:25.000]  未必看得很清楚
[00:02:25.000 --> 00:02:27.000]  如果你想看清楚
[00:02:27.000 --> 00:02:29.000]  上網Google search
[00:02:29.000 --> 00:02:31.000]  就一定找得到
[00:02:31.000 --> 00:02:34.000]  我們看到林布蘭特很細緻
[00:02:34.000 --> 00:02:36.000]  很細膩的技巧
[00:02:36.000 --> 00:02:39.000]  我們看到台階上
[00:02:39.000 --> 00:02:43.000]  父子相擁的激情
[00:02:43.000 --> 00:02:45.000]  我們看到旁邊有很多人
[00:02:45.000 --> 00:02:47.000]  有人推窗去看
[00:02:47.000 --> 00:02:50.000]  有人騎車下樓梯去看
[00:02:50.000 --> 00:02:52.000]  究竟發生了什麼事
