
[00:00:00.000 --> 00:00:03.880]  我們會先集中去看頭幾節
[00:00:03.880 --> 00:00:06.120]  開始的時候我們先一同做那個禱告
[00:00:06.120 --> 00:00:15.420]  切奧阿爸父我們來祢的庚前
[00:00:15.420 --> 00:00:18.460]  主我們真是不配為罪人
[00:00:18.460 --> 00:00:22.080]  但蒙受了祢極大的恩典
[00:00:22.080 --> 00:00:25.080]  主呀今天我們看這篇經文
[00:00:25.080 --> 00:00:27.780]  看這篇話語的時候
[00:00:27.780 --> 00:00:30.960]  祈祷求祢給我們賤敬敬畏的心
[00:00:30.960 --> 00:00:32.960]  去鑽入祢的話語裡面
[00:00:32.960 --> 00:00:34.960]  這個是祢的話語
[00:00:34.960 --> 00:00:39.040]  祢將裡面方向的奧秘去展示出來
[00:00:39.040 --> 00:00:41.540]  也都為孩子祈禱
[00:00:41.540 --> 00:00:46.080]  求孩子能夠清晰的去講解這段經文
[00:00:46.080 --> 00:00:47.780]  我們禱告教徒
[00:00:47.780 --> 00:00:49.780]  奉求救主耶穌明智祈求
[00:00:49.780 --> 00:00:55.260]  開始的時候我們先讀一次第十五節第十七節
[00:00:55.260 --> 00:00:59.860]  因此我既然聽見你們對主耶穌有信心
[00:00:59.860 --> 00:01:01.860]  對眾聖徒有愛心
[00:01:01.860 --> 00:01:04.480]  就不住地為你們感謝神
[00:01:04.480 --> 00:01:07.020]  禱告的時候常常提到你們
[00:01:07.020 --> 00:01:10.120]  求我們主耶穌基督的神榮耀的父
[00:01:10.120 --> 00:01:15.560]  把那賜人智慧和啟示的靈賜給你們
[00:01:15.560 --> 00:01:17.900]  使你們真正認識他
[00:01:17.900 --> 00:01:22.780]  這個講題很簡單叫一個賜下認識的祈求
[00:01:22.780 --> 00:01:26.100]  但是在進入這個經文的時候
[00:01:26.100 --> 00:01:28.900]  我想先帶你看兩個很重要的字
[00:01:28.900 --> 00:01:33.440]  這個字基本上在我們三次的講道會不停地出現
[00:01:33.440 --> 00:01:39.800]  因為這兩個字將會主宰了我們對這篇經文的認識
[00:01:39.800 --> 00:01:42.340]  這個字你猜一下是什麼字?
[00:01:42.340 --> 00:01:45.900]  就在裏面而已
[00:01:45.900 --> 00:01:46.940]  認識
[00:01:46.940 --> 00:01:47.940]  因此都不錯
[00:01:47.940 --> 00:01:50.440]  是劉牧師講的
[00:01:50.440 --> 00:01:54.460]  其實是頭兩個字叫「因此」
[00:01:54.460 --> 00:01:57.680]  「因此」是最重要的字
