
[00:00:00.000 --> 00:00:06.500]  我相信每一位都經歷過離別的滋味
[00:00:06.500 --> 00:00:14.000]  古往今來很多名著電影都是以離別為主題
[00:00:14.000 --> 00:00:17.000]  英文的《咆哮山莊》
[00:00:17.000 --> 00:00:20.000]  又被譽為《雲歸離恨天》
[00:00:20.000 --> 00:00:21.500]  離別
[00:00:21.500 --> 00:00:26.500]  在中國文學裏面最觸動我的心
[00:00:26.500 --> 00:00:29.000]  就是那些離別的詩詞
[00:00:29.000 --> 00:00:31.000]  譬如
[00:00:31.000 --> 00:00:35.500]  大家都可能聽過柳永的一首詞《雨林歷》
[00:00:35.500 --> 00:00:38.000]  多情似古箱離別
[00:00:38.000 --> 00:00:41.000]  近那坎那諾青秋節
[00:00:41.000 --> 00:00:43.000]  李毓
[00:00:43.000 --> 00:00:44.000]  另一首詞
[00:00:44.000 --> 00:00:47.000]  剪不斷理還亂是離愁
[00:00:47.000 --> 00:00:51.000]  別是一般滋味在心頭
[00:00:51.000 --> 00:00:54.000]  我自己都有離別的經歷
[00:00:54.000 --> 00:00:57.000]  但就沒有這兩位詩人那麼文雅
[00:00:57.000 --> 00:01:02.000]  我十八歲的時候一個人離開香港去外國讀書
[00:01:02.000 --> 00:01:05.000]  那時候不知天高地厚
[00:01:05.000 --> 00:01:08.000]  也不懂得離別的悲傷
[00:01:08.000 --> 00:01:12.000]  但在十五年前我和太太從加拿大回來
[00:01:12.000 --> 00:01:17.000]  就很深切地感受到離別
[00:01:17.000 --> 00:01:20.000]  那時候加拿大教會裏面
[00:01:20.000 --> 00:01:25.000]  一班人為我們舉行晚宴告別
[00:01:25.000 --> 00:01:30.000]  教會裏面其中不少是國內的新移民
[00:01:30.000 --> 00:01:33.000]  在加拿大教會裏面信主
[00:01:33.000 --> 00:01:35.000]  他們跟我說心事
[00:01:35.000 --> 00:01:39.000]  這間是我第一間教會信耶穌
[00:01:39.000 --> 00:01:43.000]  你就是我所認識的唯一的牧者
[00:01:43.000 --> 00:01:47.000]  我以為牧師你會陪我們一世
[00:01:47.000 --> 00:01:50.000]  怎會想到你會離開
[00:01:50.000 --> 00:01:55.000]  我看到他們傷感的面孔
[00:01:55.000 --> 00:01:58.000]  我就好言倦畏
[00:01:58.000 --> 00:02:02.000]  但裏面就是江牆寸斷
[00:02:02.000 --> 00:02:04.000]  我想到大家都知道
[00:02:04.000 --> 00:02:07.000]  我和太太正在申請去台灣宣教
[00:02:07.000 --> 00:02:09.000]  申請成功了
