
[00:00:00.000 --> 00:00:03.000]  我今天會講到為什麼人的壽命會減短
[00:00:03.000 --> 00:00:06.000]  由九百多歲減到一百二十歲
[00:00:06.000 --> 00:00:08.000]  是有原因的
[00:00:08.000 --> 00:00:11.000]  我們先看第一張slide
[00:00:11.000 --> 00:00:16.000]  我記得香港第一任特首董建華上任的時候
[00:00:16.000 --> 00:00:20.000]  他是不去港督府,即是禮賓府居住
[00:00:20.000 --> 00:00:25.000]  因為風水問題
[00:00:25.000 --> 00:00:32.000]  他亦都講過我們中國人要信我們中國人的宗教,就是佛教
[00:00:32.000 --> 00:00:37.000]  我在上古史中古史又找不到佛教如何源自中國
[00:00:37.000 --> 00:00:40.000]  它是源自印度,釋迦牟尼一個王子
[00:00:40.000 --> 00:00:43.000]  傳來中國的時候是東漢
[00:00:43.000 --> 00:00:46.000]  那時候沒有什麼人接受
[00:00:46.000 --> 00:00:49.000]  後來他改了,由小姓改為大姓
[00:00:49.000 --> 00:00:52.000]  唐朝又來中國了
[00:00:52.000 --> 00:00:56.000]  出名的西遊記,唐三藏在那時候就開始了
[00:00:56.000 --> 00:00:59.000]  要屬於中國的宗教
[00:00:59.000 --> 00:01:01.000]  就是耶和華
[00:01:01.000 --> 00:01:04.000]  不是佛教
[00:01:04.000 --> 00:01:08.000]  中國人和猶太人是同出一源
[00:01:08.000 --> 00:01:15.000]  我們是羅亞長子閃的長子,即是羅亞長子的孫的後裔
[00:01:15.000 --> 00:01:22.000]  中國有一個很出名的人叫做軒轅皇帝,其實這個王不是三畫王
[00:01:22.000 --> 00:01:24.000]  亦都不是白頭王
[00:01:24.000 --> 00:01:29.000]  不是三畫王,白頭王是姓王的王,江夏王
[00:01:29.000 --> 00:01:31.000]  其實他不是皇帝
[00:01:31.000 --> 00:01:35.000]  第一個皇帝是秦始皇,所以他叫始皇
[00:01:35.000 --> 00:01:43.000]  他知道很多關於以色列初期的歷史
[00:01:44.000 --> 00:01:55.000]  他知道祭司要為全以色列民每一年向皇天上帝敬拜,獻祭贖罪
[00:01:55.000 --> 00:01:56.000]  他知道
[00:01:56.000 --> 00:02:00.000]  但上古史就沒有文字記載
[00:02:00.000 --> 00:02:04.000]  因為那時候蒼結都沒有出現,所以沒有象形文字
[00:02:04.000 --> 00:02:07.000]  蒙帖是秦始皇的一個武將
[00:02:07.000 --> 00:02:10.000]  他發明用毛筆
