
[00:00:00.000 --> 00:00:01.340]  頂英姊妹主內平安
[00:00:01.340 --> 00:00:02.680]  各位新來的朋友
[00:00:02.680 --> 00:00:04.680]  歡迎你們來到我們教會當中
[00:00:04.680 --> 00:00:08.680]  也歡迎每一個在家中崇拜的頂英姊妹
[00:00:08.680 --> 00:00:12.280]  讓我們在崇拜講信息之前
[00:00:12.280 --> 00:00:14.280]  我們一起有個祈禱
[00:00:14.280 --> 00:00:16.080]  好 天父我們感謝祢
[00:00:16.080 --> 00:00:19.380]  讓我們一起有聆聽祢話語的時間
[00:00:19.380 --> 00:00:21.580]  還有多謝祢的說話
[00:00:21.580 --> 00:00:23.580]  是跨越世代
[00:00:23.580 --> 00:00:26.580]  即使在馬拉基時代的教訓
[00:00:26.580 --> 00:00:28.380]  都對我們今天有提醒
[00:00:28.380 --> 00:00:33.380]  完全幫助我們在生命中活出主理喜悅的樣式
[00:00:33.380 --> 00:00:36.380]  聽我們祈禱奉耶穌名字而求
[00:00:36.380 --> 00:00:37.380]  阿們
[00:00:58.380 --> 00:01:06.380]  今天一開始先問一個問題
[00:01:06.380 --> 00:01:08.380]  我想問一個人物
[00:01:08.380 --> 00:01:12.380]  這個人物和什麼食物有關係?
[00:01:12.380 --> 00:01:15.380]  這個人物和什麼食物有關係?
[00:01:15.380 --> 00:01:18.380]  這個人物叫做秦奎
[00:01:18.380 --> 00:01:21.380]  秦奎
[00:01:21.380 --> 00:01:23.380]  我網上找到很多不同的圖
[00:01:23.380 --> 00:01:25.380]  有些秦奎是瘦的
[00:01:25.380 --> 00:01:27.380]  有些秦奎是肥的
[00:01:27.380 --> 00:01:29.380]  我不知道哪個才是他
[00:01:29.380 --> 00:01:31.380]  我想問一下
[00:01:31.380 --> 00:01:35.380]  秦奎這個人物和什麼食物有關係?
[00:01:35.380 --> 00:01:38.380]  為什麼你們都認識?
[00:01:38.380 --> 00:01:43.380]  為什麼你們覺得和油炸鬼有關係?
[00:01:43.380 --> 00:01:46.380]  其中一個傳聞
[00:01:46.380 --> 00:01:51.380]  確實是說油炸鬼和秦奎有關係
[00:01:51.380 --> 00:01:57.380]  其中一個說法是當時因為秦奎不好
[00:01:57.380 --> 00:02:01.380]  秦奎和哪一個人物有些相關?
[00:02:01.380 --> 00:02:03.380]  岳飛
[00:02:03.380 --> 00:02:04.380]  岳飛和什麼有關係?
[00:02:04.380 --> 00:02:06.380]  和刀背有關係
[00:02:06.380 --> 00:02:08.380]  背上有些字
[00:02:08.380 --> 00:02:10.380]  精忠報國
[00:02:10.380 --> 00:02:14.380]  事實上岳飛很忠心
[00:02:14.380 --> 00:02:16.380]  去打仗
[00:02:16.380 --> 00:02:21.380]  被秦奎說服皇帝發出十二道金牌
[00:02:21.380 --> 00:02:23.380]  結果令到他要回來
[00:02:23.380 --> 00:02:25.380]  還要承擔一個罪名
[00:02:25.380 --> 00:02:30.380]  因為這個秦奎的行為
[00:02:30.380 --> 00:02:36.380]  引致當時的人民很生氣
[00:02:36.380 --> 00:02:38.380]  很激動
[00:02:38.380 --> 00:02:40.380]  於是其中傳聞
[00:02:40.380 --> 00:02:44.380]  有一間食店
[00:02:44.380 --> 00:02:48.380]  說食物與秦奎有關係
[00:02:48.380 --> 00:02:52.380]  為什麼油炸鬼有兩條紋路?
[00:02:52.380 --> 00:02:56.380]  有沒有想過為什麼有兩條紋路?
[00:02:56.380 --> 00:03:00.380]  因為當時的平民百姓
[00:03:00.380 --> 00:03:02.380]  其中一個店主
[00:03:02.380 --> 00:03:06.380]  將兩條紋路拼在一起
[00:03:06.380 --> 00:03:08.380]  將兩條紋路黏在一起
[00:03:08.380 --> 00:03:10.380]  背靠背
[00:03:10.380 --> 00:03:12.380]  代表秦奎和他老婆
[00:03:12.380 --> 00:03:14.380]  一起拼在一起
[00:03:14.380 --> 00:03:16.380]  拿去炸
[00:03:16.380 --> 00:03:18.380]  所以為什麼要拼在一起呢?
[00:03:18.380 --> 00:03:20.380]  吃油炸鬼
[00:03:20.380 --> 00:03:22.380]  吃完一條紋路
[00:03:22.380 --> 00:03:24.380]  要吃另外一條紋路
[00:03:24.380 --> 00:03:26.380]  一次過吃兩條紋路
[00:03:26.380 --> 00:03:28.380]  才夠吃
[00:03:28.380 --> 00:03:30.380]  當時就寓意
[00:03:30.380 --> 00:03:32.380]  油炸奎油炸奎
[00:03:32.380 --> 00:03:34.380]  秦奎
[00:03:34.380 --> 00:03:36.380]  油炸奎油炸奎
[00:03:36.380 --> 00:03:38.380]  現在變成油炸鬼
[00:03:38.380 --> 00:03:40.380]  這就是那種說法
[00:03:40.380 --> 00:03:42.380]  所以
[00:03:42.380 --> 00:03:44.380]  原來
[00:03:44.380 --> 00:03:46.380]  秦奎這個人
[00:03:46.380 --> 00:03:48.380]  很詭詐
[00:03:48.380 --> 00:03:50.380]  有很多陰謀
[00:03:50.380 --> 00:03:52.380]  所以要用油炸他
[00:03:52.380 --> 00:03:54.380]  而今天我和大家說的訊息
