
[00:00:00.000 --> 00:00:02.000]  我們開始的時候先祈禱好嗎?
[00:00:02.000 --> 00:00:03.800]  (好)
[00:00:03.800 --> 00:00:06.600]  請求您親自來幫助我們
[00:00:06.600 --> 00:00:08.840]  特別是今晚三號風球的時候
[00:00:08.840 --> 00:00:11.720]  還有這麼多弟兄姊妹願意來參與
[00:00:11.720 --> 00:00:13.840]  我們為此向您獻上感謝
[00:00:13.840 --> 00:00:17.080]  求您滿足我們屬靈裡面的需求
[00:00:17.080 --> 00:00:19.680]  更加叫我們不要做一個吃奶的嬰孩
[00:00:19.680 --> 00:00:23.480]  叫我們能夠在生命上有成長和茁壯
[00:00:23.480 --> 00:00:25.240]  也求您幫助我們
[00:00:25.240 --> 00:00:26.760]  讓我們知道今天我們的得救
[00:00:26.760 --> 00:00:29.440]  是有神理自己的一次擺上
[00:00:29.440 --> 00:00:31.880]  我們有這個永恆的救恩
[00:00:31.880 --> 00:00:33.880]  但叫我們不會因為這麼的緣故
[00:00:33.880 --> 00:00:35.720]  而隨便的放縱
[00:00:35.720 --> 00:00:37.720]  以致我們失落
[00:00:37.720 --> 00:00:39.080]  以致我們受傷
[00:00:39.080 --> 00:00:41.400]  以致神理的名受著虧損
[00:00:41.400 --> 00:00:44.960]  請求您親自來帶領我們以下的時間
[00:00:44.960 --> 00:00:47.440]  有班弟兄姊妹仍在途中回來
[00:00:47.440 --> 00:00:48.960]  求您讓我們能夠有平安
[00:00:48.960 --> 00:00:52.480]  在這一刻我們特別要將到這個禮拜六日
[00:00:52.480 --> 00:00:55.320]  我們敬拜我們的生活
[00:00:55.320 --> 00:00:56.760]  仰望在神理的手中
[00:00:56.760 --> 00:00:59.600]  因為有另外一個很強的暴風
[00:00:59.600 --> 00:01:01.880]  預計會在禮拜日
[00:01:01.880 --> 00:01:03.280]  特別是黃昏的時候
[00:01:03.280 --> 00:01:05.840]  可能會吹襲到我們當中
[00:01:05.840 --> 00:01:09.840]  神啊,我們懇求祢自己減輕這一切的傷害
[00:01:09.840 --> 00:01:12.560]  特別我們更加不想星期六、星期日
[00:01:12.560 --> 00:01:14.200]  因為暴風的緣故
[00:01:14.200 --> 00:01:16.200]  引致我們不能夠敬拜祢
[00:01:16.200 --> 00:01:20.040]  主,求祢親自來帶領我們以下的時間
[00:01:20.040 --> 00:01:21.720]  祈禱拉動主德聖的名
[00:01:21.720 --> 00:01:22.720]  阿們
[00:01:22.720 --> 00:01:26.520]  我當日做牧者的時候
[00:01:26.520 --> 00:01:28.520]  我就提醒了一班同工
[00:01:28.520 --> 00:01:29.560]  我說到
[00:01:29.560 --> 00:01:31.160]  我是絕對認同的
[00:01:31.160 --> 00:01:33.720]  如果我們打工的話
[00:01:33.720 --> 00:01:37.480]  能夠在 office hour 裡面八號風球
[00:01:37.480 --> 00:01:38.600]  是一個祝福
[00:01:38.600 --> 00:01:40.080]  我可以放假嘛,是不是?
[00:01:40.080 --> 00:01:41.160]  我就說到
[00:01:41.160 --> 00:01:43.680]  絕對如果我們作為一個牧者
[00:01:43.680 --> 00:01:47.040]  如果星期六或者星期日我們要侍奉
[00:01:47.040 --> 00:01:49.960]  但是打風而我們又不能夠侍奉的時候
[00:01:49.960 --> 00:01:51.040]  我們就很開心
[00:01:51.040 --> 00:01:52.880]  今天不用做了
[00:01:52.880 --> 00:01:54.720]  今天不用講道
[00:01:54.720 --> 00:01:57.320]  我說如果我們有這個心態就很危險
[00:01:57.320 --> 00:02:01.080]  是一定被神尼大去審判的
[00:02:01.080 --> 00:02:03.680]  所以我是很不想
[00:02:03.680 --> 00:02:05.160]  星期六、星期日
[00:02:05.160 --> 00:02:07.160]  就是要打風
[00:02:07.160 --> 00:02:08.760]  以致我講不到道的
[00:02:08.760 --> 00:02:13.280]  不單單這個星期六早上我會在這裡講崇拜
[00:02:13.280 --> 00:02:14.800]  然後下午有聚會
[00:02:14.800 --> 00:02:15.600]  晚上有聚會
[00:02:15.600 --> 00:02:17.800]  星期日我會去一間宣道會
[00:02:17.800 --> 00:02:18.880]  叫專主堂
[00:02:18.880 --> 00:02:20.000]  好像我沒有去過的
[00:02:20.000 --> 00:02:21.720]  然後我去九龍灣
[00:02:21.720 --> 00:02:22.840]  我會走兩間
[00:02:22.840 --> 00:02:26.600]  由長沙灣一講完就馬上飆去九龍灣
[00:02:26.600 --> 00:02:28.200]  我會的士過去
[00:02:28.200 --> 00:02:31.640]  因為我今年都很少在九龍灣講星期日的
[00:02:31.640 --> 00:02:36.080]  我不想失去了我星期日講道的機會
[00:02:36.080 --> 00:02:39.120]  還有全港性有一個特別的聚會
