
[00:00:00.000 --> 00:00:08.380]  我們大家先一齊同心再祈禱
[00:00:08.380 --> 00:00:11.880]  在天上寶座的上帝
[00:00:11.880 --> 00:00:17.380]  祢是那位至尊榮 至榮耀的主
[00:00:17.380 --> 00:00:18.280]  我們感謝祢
[00:00:18.280 --> 00:00:20.720]  我們今天能夠到祢的面前
[00:00:20.720 --> 00:00:24.480]  能夠坦然的來敬拜祢
[00:00:24.480 --> 00:00:26.480]  主在祢的名字高
[00:00:26.480 --> 00:00:29.480]  當受極大的讚美
[00:00:29.480 --> 00:00:32.480]  主讓我們在祢面前承認
[00:00:32.480 --> 00:00:35.480]  主讓我們是屬於祢的
[00:00:35.480 --> 00:00:38.480]  也都很盼望在我們每一天每一天
[00:00:38.480 --> 00:00:42.480]  我們能夠真正的按祢的心意行
[00:00:42.480 --> 00:00:45.480]  能夠體貼祢的心意
[00:00:45.480 --> 00:00:47.480]  又跟隨祢
[00:00:47.480 --> 00:00:49.480]  主讓我們今天到祢的面前
[00:00:49.480 --> 00:00:51.480]  同心敬拜祢
[00:00:51.480 --> 00:00:52.480]  也都再次承認
[00:00:52.480 --> 00:00:55.480]  主啊 我們需要祢的說話
[00:00:55.480 --> 00:00:57.480]  需要祢自己真理的聖靈
[00:00:57.480 --> 00:00:59.480]  上上指教我們
[00:00:59.480 --> 00:01:02.480]  讓我們在祢的生命之道裏面
[00:01:02.480 --> 00:01:04.480]  我們領受生命
[00:01:04.480 --> 00:01:06.480]  如今我們等候在祢面前
[00:01:06.480 --> 00:01:10.480]  仰望主 仰望聖靈的幫助
[00:01:10.480 --> 00:01:15.480]  我們祈禱奉耶穌名字求安
[00:01:15.480 --> 00:01:18.480]  我請大家先揭開新命記
[00:01:18.480 --> 00:01:20.480]  我們剛才讀過的經文
[00:01:20.480 --> 00:01:27.480]  在第六章的聖經
[00:01:27.480 --> 00:01:28.480]  大家會記得
[00:01:28.480 --> 00:01:30.480]  我們在這個季度裏面
[00:01:30.480 --> 00:01:32.480]  一直思想著一個題目
[00:01:32.480 --> 00:01:36.480]  就是作夢照的人
