
[00:00:00.000 --> 00:00:04.640]  好 弟兄姊妹午安和平安
[00:00:04.640 --> 00:00:06.960]  我們今天很開心
[00:00:06.960 --> 00:00:10.920]  我們可以一起來有敬拜主的時間
[00:00:10.920 --> 00:00:16.000]  也一起透過聖餐去領受上主的恩典
[00:00:16.000 --> 00:00:19.840]  然後我們一起去研讀神的話語
[00:00:19.840 --> 00:00:22.400]  元聖靈也帶領著我們整個群體
[00:00:22.400 --> 00:00:24.160]  一起有所學習
[00:00:24.160 --> 00:00:27.400]  我們一起去禱告再開始
[00:00:30.600 --> 00:00:33.360]  創天造地的阿爸父
[00:00:33.360 --> 00:00:34.760]  是感謝祢
[00:00:34.760 --> 00:00:39.920]  在今早上也給我們一個清醒的頭腦
[00:00:39.920 --> 00:00:44.240]  來學習主祢的話語
[00:00:44.240 --> 00:00:46.800]  我們今天更加求祢的靈
[00:00:46.800 --> 00:00:48.720]  去打開我們的心
[00:00:48.720 --> 00:00:52.960]  讓祢的道能夠紮根在我們的生命當中
[00:00:52.960 --> 00:00:55.320]  讓我們在日常的生活
[00:00:55.320 --> 00:00:57.440]  我們的行事為人之中
[00:00:57.440 --> 00:00:59.800]  都能夠對得住主祢
[00:00:59.800 --> 00:01:03.080]  讓我們在我們的生活之中
[00:01:03.080 --> 00:01:07.120]  都活出我們所信的價值和信念
[00:01:07.120 --> 00:01:09.440]  求主祢祝福我們整個群體
[00:01:09.440 --> 00:01:10.840]  奉主名求
[00:01:10.840 --> 00:01:12.040]  阿門
[00:01:12.040 --> 00:01:15.760]  在早兩個星期之前
[00:01:15.760 --> 00:01:21.800]  大家應該看了羅馬書十三章一至第七節
[00:01:21.800 --> 00:01:26.120]  當中說了很多關於信仰群體
[00:01:26.120 --> 00:01:30.520]  和政權或政府之間的一些關係
[00:01:30.520 --> 00:01:37.120]  而今天的經文是羅馬書十三章八至第十四節
[00:01:37.120 --> 00:01:39.960]  當中的焦點可以說是
[00:01:39.960 --> 00:01:45.240]  基督徒在日常的公共社群的生活當中
[00:01:45.240 --> 00:01:48.240]  怎樣去做見證的一些原則
[00:01:48.240 --> 00:01:51.240]  讓我們今天也一起去學習
[00:01:51.240 --> 00:01:55.840]  保羅在羅馬書幾節的經文當中
[00:01:55.840 --> 00:02:00.760]  他帶出了兩個支線來作重點
[00:02:00.760 --> 00:02:08.960]  就是以愛和盼望來結束整個十三章的討論
[00:02:08.960 --> 00:02:11.280]  如果你心水清的話
[00:02:11.280 --> 00:02:14.400]  或者記得幾個星期之前有聽過
[00:02:14.400 --> 00:02:21.080]  其實保羅已經在第十二章的九至二十一節當中
[00:02:21.080 --> 00:02:24.440]  提出過有關於愛的討論
[00:02:24.440 --> 00:02:32.080]  究竟保羅為何要在這裡再次提出這個議題呢?
[00:02:32.080 --> 00:02:35.000]  到底是保羅沒有東西找東西來寫
[00:02:35.000 --> 00:02:38.000]  還是有其他的原因呢?
[00:02:38.000 --> 00:02:40.280]  有些學者這樣說
[00:02:40.280 --> 00:02:48.200]  這段經文是嘗試解釋信徒和舊約律法的關係
[00:02:48.200 --> 00:02:55.920]  不過當我仔細觀察羅馬書十二至十五章當中的內容
[00:02:55.920 --> 00:02:59.680]  其實很多都是在談論人與人之間
[00:02:59.680 --> 00:03:05.200]  即是我們與其他人他者的關係
[00:03:05.200 --> 00:03:09.200]  不是純粹抽空了處境
[00:03:09.200 --> 00:03:16.600]  也不是純粹用一種哲學辯證思維來討論愛的倫理
[00:03:16.600 --> 00:03:18.600]  所以我會說
[00:03:18.600 --> 00:03:23.960]  在十三章那種有關愛和其他美德的教導
[00:03:23.960 --> 00:03:26.760]  並不是一種抽真空
[00:03:26.760 --> 00:03:32.080]  不是一種欠缺了上文下理的道德哲學討論
[00:03:32.080 --> 00:03:34.080]  所以是連成一線
[00:03:34.080 --> 00:03:38.320]  而保羅在這裡更加補充的是
[00:03:38.320 --> 00:03:45.600]  那種愛和盼望能夠切切實實地活在我們的社群
[00:03:45.600 --> 00:03:49.920]  和我們的生命生活當中
[00:03:49.920 --> 00:03:51.920]  我們需要明白一個點
[00:03:51.920 --> 00:03:56.240]  就是保羅是一個宣教者或宣教士
[00:03:56.240 --> 00:04:01.880]  他對於當時羅馬帝國的體制和運作
[00:04:01.880 --> 00:04:05.880]  有很深刻的觀察和認知
[00:04:05.880 --> 00:04:10.720]  從一個日常公共的社群角度去看
[00:04:10.720 --> 00:04:16.360]  保羅在這幾節,八到第十四節的經文當中
[00:04:16.360 --> 00:04:24.400]  他為信徒提供了一個更加優質的制度選擇或選項
[00:04:24.400 --> 00:04:28.720]  他在這幾節的經文之中
[00:04:28.720 --> 00:04:37.400]  帶出了神的永恆國度和人在地上的暫活暫存的國度之間
[00:04:37.400 --> 00:04:39.400]  那種主要的對照
[00:04:39.400 --> 00:04:44.920]  特別是當我們講到我們活在中末的世代當中
[00:04:44.920 --> 00:04:49.680]  在等待耶穌基督再臨的前提之下
[00:04:49.680 --> 00:04:57.760]  究竟信仰群體如何在公共社群的生活之中作見證和作榜樣
[00:04:57.760 --> 00:05:05.680]  似乎是保羅很想對著當時的受眾來表達的重點
[00:05:05.680 --> 00:05:09.840]  而這段愛和盼望的經文
[00:05:09.840 --> 00:05:15.600]  亦成為了之後十四章關於強者和弱者
[00:05:15.600 --> 00:05:22.000]  如何在教會當中一起去生活的提醒和轉折點
[00:05:22.000 --> 00:05:25.680]  當然,這個課題就留給下一個同工
[00:05:25.680 --> 00:05:28.800]  在下一次的講道當中去分享
