
[00:00:00.000 --> 00:00:01.920]  今天我選擇了一個題目
[00:00:01.920 --> 00:00:06.260]  在愛與接力當中來「擊掌」
[00:00:06.260 --> 00:00:08.760]  即是「擊掌」是「Give me five」
[00:00:08.760 --> 00:00:14.540]  我想今天的經文是講述三個人的關係
[00:00:14.540 --> 00:00:18.360]  我不知道你有沒有經歷過這個「三角關係」
[00:00:18.360 --> 00:00:20.340]  我不是說「三角戀」
[00:00:20.340 --> 00:00:23.540]  你有沒有經歷過這個「三角關係」
[00:00:23.540 --> 00:00:25.220]  這個「三角關係」裡面
[00:00:25.220 --> 00:00:26.480]  其實在裡面的時候
[00:00:26.480 --> 00:00:29.500]  或者今天的經文裡面會講到
[00:00:29.500 --> 00:00:32.400]  有一個人其實曾經是「背叛人」
[00:00:32.400 --> 00:00:35.360]  即是在人際關係裡面
[00:00:35.360 --> 00:00:38.720]  你有些什麼經驗呢
[00:00:38.720 --> 00:00:41.680]  其實我想你和我都會經歷過
[00:00:41.680 --> 00:00:46.000]  人際關係裡面一個很不容易的狀況
[00:00:46.000 --> 00:00:48.000]  其實在當中的時候
[00:00:48.000 --> 00:00:52.260]  人際的關係其實我們是很渴望的
[00:00:52.260 --> 00:00:56.240]  人際關係是一個很深的渴望
[00:00:56.240 --> 00:00:58.680]  如果我們需要人際關係
[00:00:58.680 --> 00:01:00.680]  我們需要有人和我們一起
[00:01:00.680 --> 00:01:01.920]  有人喜歡我們
[00:01:01.920 --> 00:01:03.080]  和我們一起
[00:01:03.080 --> 00:01:04.840]  人際關係好
[00:01:04.840 --> 00:01:08.440]  其實是提升了我們自己的那種價值觀
[00:01:08.440 --> 00:01:10.400]  或者我們自己的自尊感
[00:01:10.400 --> 00:01:12.600]  都會覺得都開心
[00:01:12.600 --> 00:01:13.640]  有人喜歡我
[00:01:13.640 --> 00:01:18.280]  不過如果我們的人際關係很糾結
[00:01:18.280 --> 00:01:20.080]  其實是很麻煩的
[00:01:20.080 --> 00:01:22.600]  其實我們的心裡面很快會覺得
[00:01:22.600 --> 00:01:24.240]  我是很孤單的
[00:01:24.240 --> 00:01:27.120]  以及其實是很煩擾的
[00:01:27.120 --> 00:01:30.200]  如果不在教會裡面
[00:01:30.200 --> 00:01:32.440]  你在工作裡面
[00:01:32.440 --> 00:01:33.880]  你在生活裡面
[00:01:33.880 --> 00:01:37.880]  你面對人際關係你都覺得很麻煩
[00:01:37.880 --> 00:01:40.600]  教會是沒有免疫的
[00:01:40.600 --> 00:01:42.280]  教會的群體
[00:01:42.280 --> 00:01:45.240]  在我們的信仰的群體裡面
[00:01:45.240 --> 00:01:47.360]  其實是逃不了的
[00:01:47.360 --> 00:01:50.040]  有人的地方就會很麻煩的
[00:01:50.040 --> 00:01:51.000]  對不對
[00:01:51.000 --> 00:01:52.480]  更何況我們信主
[00:01:52.480 --> 00:01:55.840]  其實這個狀況我們更加要小心
[00:01:55.840 --> 00:01:58.720]  在這個很麻煩很多是非裡面的時候
[00:01:58.720 --> 00:02:00.880]  其實有沒有出路的呢
[00:02:00.880 --> 00:02:02.400]  在聖經裡面的時候
[00:02:02.400 --> 00:02:04.880]  今天這一段經文裡面
[00:02:04.880 --> 00:02:07.560]  就是一封私人的信件裡面
[00:02:07.560 --> 00:02:10.000]  在這個私人的信件裡面
[00:02:10.000 --> 00:02:11.720]  其實我們可以考慮一下
[00:02:11.720 --> 00:02:13.560]  或者看看聖經裡面
[00:02:13.560 --> 00:02:17.600]  有些什麼來給我們參考
[00:02:17.600 --> 00:02:18.960]  在裡面的時候
[00:02:18.960 --> 00:02:20.840]  這封信裡面
[00:02:20.840 --> 00:02:25.080]  其實保羅是唯一一封私人的信
[00:02:25.080 --> 00:02:27.600]  他是唯一一封私人的信
[00:02:27.600 --> 00:02:30.440]  以探及私人的事件
[00:02:30.440 --> 00:02:32.240]  保羅說這封信裡面
[00:02:32.240 --> 00:02:34.560]  是在處理兩岸的關係
[00:02:34.560 --> 00:02:35.640]  一是菲利門
[00:02:35.640 --> 00:02:39.960]  以及一個叫阿尼西姆的人的關係
[00:02:39.960 --> 00:02:41.240]  我先說菲利門
[00:02:41.240 --> 00:02:43.640]  菲利門是一個副翁
[00:02:43.640 --> 00:02:46.800]  他是一個高樓西人
[00:02:46.800 --> 00:02:49.320]  他可能在保羅在高樓西的時候
[00:02:49.320 --> 00:02:52.040]  遇見他的時候帶了他的信主
[00:02:52.040 --> 00:02:54.280]  然後他信了主之後
[00:02:54.280 --> 00:02:56.200]  他非常之熱心
[00:02:56.200 --> 00:02:58.880]  在很熱心的時候他也很愛主
[00:02:58.880 --> 00:03:02.960]  於是乎他就開放他自己家裡的家庭
[00:03:02.960 --> 00:03:05.520]  成為一個聚會的地方
[00:03:05.520 --> 00:03:07.880]  一個這麼愛主的人
[00:03:07.880 --> 00:03:09.680]  一個有錢的人
[00:03:09.680 --> 00:03:12.120]  在當時的時代裡面
[00:03:12.120 --> 00:03:14.080]  一個這麼富有的人
[00:03:14.080 --> 00:03:16.200]  他會有一些奴隸
[00:03:16.200 --> 00:03:18.680]  那個奴隸就是阿尼西姆
[00:03:18.680 --> 00:03:21.920]  而阿尼西姆他在這個狀況裡面
[00:03:21.920 --> 00:03:26.160]  可能他曾經偷過他的主人的錢
[00:03:26.160 --> 00:03:27.640]  或者背叛了他
[00:03:27.640 --> 00:03:28.560]  得罪他一些東西
[00:03:28.560 --> 00:03:29.840]  所以他就逃走
[00:03:29.840 --> 00:03:32.320]  他就四處逃走
[00:03:32.320 --> 00:03:35.040]  逃到可能在羅馬裡面
[00:03:35.040 --> 00:03:36.960]  就遇見了保羅
[00:03:36.960 --> 00:03:39.560]  遇見了保羅之後他信了主
[00:03:39.560 --> 00:03:42.320]  當阿尼西姆信了主之後
