
[00:00:00.000 --> 00:00:02.560]  好 等師妹讓我們先聽神的道語
[00:00:02.560 --> 00:00:04.560]  讓我們同心禱告
[00:00:04.560 --> 00:00:09.560]  慈悲的父神 多謝祢
[00:00:09.560 --> 00:00:12.600]  讓我們能夠再次回到祢的說話面前
[00:00:12.600 --> 00:00:14.600]  一同去細心研讀
[00:00:14.600 --> 00:00:17.100]  父神求祢讓我們同在
[00:00:17.100 --> 00:00:20.600]  讓無論講的 聽的
[00:00:20.600 --> 00:00:22.900]  都能夠在上帝的裏面
[00:00:22.900 --> 00:00:24.900]  能夠同夢因福
[00:00:24.900 --> 00:00:27.300]  也讓聖靈在期間
[00:00:27.300 --> 00:00:31.200]  有道我們 使我們能夠明白不僅是
[00:00:31.200 --> 00:00:33.200]  並且能夠付諸於實行
[00:00:33.200 --> 00:00:36.200]  所以我們懇求父神繼續幫助我們
[00:00:36.200 --> 00:00:38.200]  讓這一段時間
[00:00:38.200 --> 00:00:40.200]  成為我們接下來這個
[00:00:40.200 --> 00:00:42.200]  星期及往後的日子
[00:00:42.200 --> 00:00:45.200]  我們屬靈生命的栽培的重要的基石
[00:00:45.200 --> 00:00:47.200]  求祢與我們同在
[00:00:47.200 --> 00:00:48.200]  我們同心的禱告
[00:00:48.200 --> 00:00:50.200]  奉靠主耶穌基督 得聖的名字
[00:00:50.200 --> 00:00:52.200]  以及阿們
[00:00:52.200 --> 00:00:55.200]  來到新年的時候
[00:00:55.200 --> 00:00:58.200]  每一個人都有新年的希望
[00:00:58.200 --> 00:01:02.200]  不知道大家有沒有什麼新年的願望
[00:01:02.200 --> 00:01:03.200]  其實這是很正常的
[00:01:03.200 --> 00:01:05.200]  每一個人到新年的時候
[00:01:05.200 --> 00:01:07.200]  有一些新的期望
[00:01:07.200 --> 00:01:08.200]  但是呢
[00:01:08.200 --> 00:01:10.200]  不知道你今年的期望
[00:01:10.200 --> 00:01:13.200]  或者有什麼計劃在今年要實行呢
[00:01:13.200 --> 00:01:14.200]  在過去的日子
[00:01:14.200 --> 00:01:16.200]  有不少的人和我分享過
[00:01:16.200 --> 00:01:19.200]  我很想新的一年可以找新的工作
[00:01:19.200 --> 00:01:22.200]  甚至我女兒也剛剛找了一份新的工作
[00:01:22.200 --> 00:01:25.200]  很慶幸當你找到一份工作
[00:01:25.200 --> 00:01:27.200]  去見員工
[00:01:27.200 --> 00:01:30.200]  然後人家也給你一個機會
[00:01:30.200 --> 00:01:34.200]  去成為你事業發展的一個機會
[00:01:34.200 --> 00:01:37.200]  在這樣的情況之下
[00:01:37.200 --> 00:01:39.200]  機會來到之後
[00:01:39.200 --> 00:01:46.200]  不知道你會怎樣去繼續發展你人生的計劃呢
[00:01:46.200 --> 00:01:49.200]  所以很多時候我們去見員工
[00:01:49.200 --> 00:01:51.200]  或者去找到一份工作之後
[00:01:51.200 --> 00:01:52.200]  我們都會問一個問題
[00:01:52.200 --> 00:01:53.200]  或者一個新的發展之後
[00:01:53.200 --> 00:01:55.200]  我們都會問一個問題
[00:01:55.200 --> 00:01:58.200]  下一步我應該怎樣去做
[00:01:58.200 --> 00:02:02.200]  其實當一個人有一個新的屬靈生命之後
[00:02:02.200 --> 00:02:05.200]  他也都應該去問同一條問題
[00:02:05.200 --> 00:02:09.200]  下一步我應該怎樣去走這條屬靈的道路呢
[00:02:09.200 --> 00:02:10.200]  在上個星期日
[00:02:10.200 --> 00:02:12.200]  我們已經聽過一個訊息
[00:02:12.200 --> 00:02:16.200]  就是說保羅去藉著上帝親自
[00:02:16.200 --> 00:02:18.200]  藉著主耶穌基督向他的顯現
[00:02:18.200 --> 00:02:22.200]  將他的生命改變過來
[00:02:22.200 --> 00:02:27.200]  讓保羅能夠得到一個完全不一樣的生命
[00:02:27.200 --> 00:02:30.200]  從昔日一個法尼塞人的狀態
[00:02:30.200 --> 00:02:34.200]  轉變成為今天我們所看見的一個真正的基督徒
[00:02:34.200 --> 00:02:37.200]  並且被差遣進入到去
[00:02:37.200 --> 00:02:41.200]  外邦人以及中以色列人當中
[00:02:41.200 --> 00:02:45.200]  做門徒或者做使徒這個身份
[00:02:45.200 --> 00:02:50.200]  這個也是今天我們去承接著這個之前的發展
[00:02:50.200 --> 00:02:51.200]  去繼續說一下
[00:02:51.200 --> 00:02:56.200]  究竟保羅往後的日子是應該怎樣做
[00:02:56.200 --> 00:02:59.200]  這個問題其實對於一個初信的基督徒
[00:02:59.200 --> 00:03:01.200]  也都這樣去問
[00:03:01.200 --> 00:03:04.200]  對於我們一個已經信了有一段日子的基督徒
[00:03:04.200 --> 00:03:06.200]  也都同樣需要去問
[00:03:06.200 --> 00:03:13.200]  接著我下一步應該是怎樣去活出基督徒的樣式呢
[00:03:13.200 --> 00:03:17.200]  怎樣有一個上帝的生命在我裏面
[00:03:17.200 --> 00:03:20.200]  藉著我可以顯現在眾人的面前呢
[00:03:20.200 --> 00:03:23.200]  這個就是今天我們所一齊所看的經文
[00:03:23.200 --> 00:03:27.200]  《仕途行傳》第九章第二十三至第三十一節
[00:03:27.200 --> 00:03:29.200]  這段的經文
[00:03:29.200 --> 00:03:31.200]  這段經文其實很簡單
[00:03:31.200 --> 00:03:34.200]  不過基本上我們可以看見
[00:03:34.200 --> 00:03:38.200]  在這段聖經裏面原來有一個分段
[00:03:38.200 --> 00:03:42.200]  早早在路加寫《仕途行傳》的時候
[00:03:42.200 --> 00:03:44.200]  已經為我們去分段的
[00:03:44.200 --> 00:03:47.200]  就是在這段聖經當中所提及的
[00:03:47.200 --> 00:03:54.200]  就是說在當中有人是想設計謀去殺保羅
[00:03:54.200 --> 00:03:55.200]  或者殺蘇羅
[00:03:55.200 --> 00:03:59.200]  這個在第二十三、二十四節裏面有介紹到
[00:03:59.200 --> 00:04:01.200]  一直去到第三十節
[00:04:01.200 --> 00:04:05.200]  都是仍然是用這個主題去包著這段聖經
[00:04:05.200 --> 00:04:07.200]  所以如果當我們看今天這段聖經
[00:04:07.200 --> 00:04:09.200]  從二十三節到三十一節的時候呢
[00:04:09.200 --> 00:04:13.200]  我們就將它分為很自然分為兩部分去看
[00:04:13.200 --> 00:04:15.200]  第一部分二十三至三十節
[00:04:15.200 --> 00:04:16.200]  如果我們有聖經的話
[00:04:16.200 --> 00:04:20.200]  我們不如一齊打開讀這一段的聖經
[00:04:20.200 --> 00:04:22.200]  從這一段的聖經裏面
[00:04:22.200 --> 00:04:26.200]  讓我們看看當一個人的生命進入了真理之後
[00:04:26.200 --> 00:04:31.200]  怎樣能夠有那一種坦然無懼的樣式
[00:04:31.200 --> 00:04:34.200]  在他的生命當中去顯現出來
[00:04:34.200 --> 00:04:36.200]  剛才節目讓我們一齊有聖經的
[00:04:36.200 --> 00:04:38.200]  我們一齊打開讀一次好不好
[00:04:38.200 --> 00:04:40.200]  找到之後我們一齊讀
[00:04:40.200 --> 00:04:48.200]  「過了好些日子,猶太人相議要殺蘇羅,
[00:04:48.200 --> 00:04:52.200]  但他們的計謀被蘇羅知道了。
[00:04:52.200 --> 00:04:57.200]  他們又晝夜在城門守候,要殺他,
[00:04:57.200 --> 00:05:05.200]  他的門徒就在夜間用匡紙把他從城牆上除下去。
[00:05:05.200 --> 00:05:11.200]  蘇羅到了耶路撒冷,想與門徒結交,
[00:05:11.200 --> 00:05:15.200]  他們卻都怕他,不信他是門徒,
[00:05:15.200 --> 00:05:20.200]  唯有巴拿巴接待他,領去見仕途,
