
[00:00:00.000 --> 00:00:02.000]  記得在讀大學的時候
[00:00:02.000 --> 00:00:04.000]  就有一個同學
[00:00:04.000 --> 00:00:06.000]  喜歡同班的一個女生
[00:00:06.000 --> 00:00:11.000]  於是展開追女生的行動
[00:00:11.000 --> 00:00:13.000]  我們就成為他的軍師
[00:00:13.000 --> 00:00:15.000]  蠶蟲軍師
[00:00:15.000 --> 00:00:18.000]  就跟他說
[00:00:18.000 --> 00:00:22.000]  不如約他晚上出來吃宵夜
[00:00:22.000 --> 00:00:25.000]  好吧,試試約他吃宵夜
[00:00:25.000 --> 00:00:28.000]  於是就鼓勵他
[00:00:28.000 --> 00:00:30.000]  終於鼓起勇氣打電話
[00:00:30.000 --> 00:00:33.000]  你知道當時只用電話
[00:00:33.000 --> 00:00:35.000]  沒有其他方法
[00:00:35.000 --> 00:00:37.000]  電話就打給他
[00:00:37.000 --> 00:00:38.000]  接電話
[00:00:38.000 --> 00:00:40.000]  好吧,約他吃宵夜
[00:00:40.000 --> 00:00:46.000]  當然那個同學就自己去做這件事
[00:00:46.000 --> 00:00:49.000]  後來我就問他
[00:00:49.000 --> 00:00:51.000]  結果如何?
[00:00:51.000 --> 00:00:53.000]  答案是否可以?
[00:00:53.000 --> 00:00:56.000]  他說我問你吃不吃到宵夜?
[00:00:56.000 --> 00:01:00.000]  你吃不到宵夜,吃了檸檬而已
[00:01:00.000 --> 00:01:02.000]  於是我就再想
[00:01:02.000 --> 00:01:05.000]  可能這個女生晚上不吃東西
[00:01:05.000 --> 00:01:07.000]  不要約他吃宵夜
[00:01:07.000 --> 00:01:09.000]  就出去散散步好了
[00:01:09.000 --> 00:01:11.000]  這樣更健康一點
[00:01:11.000 --> 00:01:13.000]  於是就再來
[00:01:13.000 --> 00:01:15.000]  終於答案就預期了
[00:01:15.000 --> 00:01:17.000]  可以約他出來
[00:01:17.000 --> 00:01:19.000]  今天已經成為一對
[00:01:19.000 --> 00:01:22.000]  結了婚很多年的夫婦
[00:01:22.000 --> 00:01:25.000]  有時候答案未必是我們所預期
[00:01:25.000 --> 00:01:28.000]  有時候我們可能有一個想法
[00:01:28.000 --> 00:01:31.000]  就是預先預備了
[00:01:31.000 --> 00:01:33.000]  以為一定是這樣的答案
[00:01:33.000 --> 00:01:35.000]  但是很多東西都不是
[00:01:35.000 --> 00:01:37.000]  我們能夠去掌握的
[00:01:37.000 --> 00:01:41.000]  特別在一個淑齡的路上裡
[00:01:41.000 --> 00:01:45.000]  我們都不是容易去掌握到
[00:01:45.000 --> 00:01:48.000]  我們那個淑齡的生命
[00:01:48.000 --> 00:01:51.000]  信任生命所遇到的事情
[00:01:51.000 --> 00:01:53.000]  但是你說容易嗎?
[00:01:53.000 --> 00:01:55.000]  可以說很難
[00:01:55.000 --> 00:01:57.000]  但是如果你在靠近神
[00:01:57.000 --> 00:01:59.000]  一直很明白神的心意
[00:01:59.000 --> 00:02:01.000]  又可以說很容易
[00:02:01.000 --> 00:02:04.000]  這個就是那個特別的地方
[00:02:04.000 --> 00:02:06.000]  今天我說的題目是
[00:02:06.000 --> 00:02:09.000]  假使答案不像你預期
[00:02:09.000 --> 00:02:12.000]  當然是關係回剛才那一段經文裡
[00:02:12.000 --> 00:02:15.000]  剛才我想說有分開三方面
[00:02:15.000 --> 00:02:18.000]  第一方面就是問題背後的問題
[00:02:18.000 --> 00:02:20.000]  問題背後的問題
[00:02:20.000 --> 00:02:22.000]  第二方面就是答非所問
[00:02:22.000 --> 00:02:25.000]  第三方面就是顯而易見的答案
[00:02:25.000 --> 00:02:28.000]  先說回一個背景
[00:02:28.000 --> 00:02:31.000]  大家記得我上次說
[00:02:31.000 --> 00:02:35.000]  是彈耳理的世紀的禱告
