
[00:00:00.000 --> 00:00:02.000]  感謝各位平安
[00:00:02.000 --> 00:00:05.320]  很高興能夠回來跟大家一起敬拜
[00:00:05.320 --> 00:00:07.320]  我們一起祈禱
[00:00:07.320 --> 00:00:12.320]  神父,祢的恩典讓我們可以有生命氣息
[00:00:12.320 --> 00:00:14.320]  來到祢面前一同敬拜祢
[00:00:14.320 --> 00:00:16.920]  求祢的聖靈在我們當中帶領我們
[00:00:16.920 --> 00:00:19.200]  幫助我們思想耶穌的身份
[00:00:19.200 --> 00:00:22.400]  認識祂是那位和平的君王
[00:00:22.400 --> 00:00:24.400]  奉耶穌基督的名祈禱
[00:00:24.400 --> 00:00:26.400]  阿們
[00:00:26.400 --> 00:00:30.800]  這次我們聖誕節期間思想的主題是
[00:00:30.800 --> 00:00:34.000]  圍繞著以賽亞書九章六節
[00:00:34.000 --> 00:00:38.000]  對主耶穌的四重身份的預言
[00:00:38.000 --> 00:00:40.800]  但是我們前三個禮拜
[00:00:40.800 --> 00:00:42.800]  都沒有討論過
[00:00:42.800 --> 00:00:45.600]  以賽亞先知在什麼情況之下
[00:00:45.600 --> 00:00:50.000]  發出有關微賽亞的預言
[00:00:50.000 --> 00:00:53.400]  我經常提醒大家讀聖經
[00:00:53.400 --> 00:00:55.400]  最重要一點就是
[00:00:55.400 --> 00:00:57.800]  不要斷章取義
[00:00:57.800 --> 00:00:59.800]  不要斷章取義
[00:00:59.800 --> 00:01:04.000]  最近我自己讀經讀到耶利孟書二十九章
[00:01:04.000 --> 00:01:06.600]  其中有一句說話
[00:01:06.600 --> 00:01:11.200]  很多牧師都喜歡斷章取義式拿出來講道
[00:01:11.200 --> 00:01:13.200]  就是二十九章十一節
[00:01:13.200 --> 00:01:17.400]  「我知道我向你們所懷的意念是癡平安的意念
[00:01:17.400 --> 00:01:19.600]  不是江災禍的意念
[00:01:19.600 --> 00:01:22.000]  要叫你們沒後有子亡
[00:01:22.000 --> 00:01:24.000]  這是瑤華說的」
[00:01:24.000 --> 00:01:30.600]  完全不問上帝如何解釋耶利米才傳出這個訊息
[00:01:30.600 --> 00:01:35.000]  直接由耶利米傳到今時今日的處境
[00:01:35.000 --> 00:01:37.400]  鼓勵我們要對上帝有信心
[00:01:37.400 --> 00:01:42.200]  要對上帝有信心當然是硬
[00:01:42.200 --> 00:01:44.200]  因為我們信的上帝
[00:01:44.200 --> 00:01:46.600]  是大能的神永在的父
[00:01:46.600 --> 00:01:49.400]  祂有能力改變我們的處境
[00:01:49.400 --> 00:01:52.000]  有能力補償我們的生命
[00:01:52.000 --> 00:01:56.000]  但最好就不要斷章取義地去解釋聖經
[00:01:56.000 --> 00:02:01.000]  所以讓我們今天先讀讀《耳塞俠書》九章一至七節
[00:02:01.000 --> 00:02:04.000]  使我們清楚「耳塞俠」才知道
[00:02:04.000 --> 00:02:09.400]  為何會對「媚塞俠」有九章六節的寓言
[00:02:09.400 --> 00:02:11.400]  我讀給大家聽
[00:02:11.400 --> 00:02:18.400]  「從前上帝使西布倫和拿佛他利地被藐視
[00:02:18.400 --> 00:02:22.600]  末後他使這沿海的路約旦河東
[00:02:22.600 --> 00:02:27.000]  外邦人居住的加利利地得榮耀
[00:02:27.000 --> 00:02:31.200]  在黑暗中行走的百姓看見了大光
[00:02:31.200 --> 00:02:35.000]  住在死隱之地的人有光照耀他們
[00:02:35.000 --> 00:02:39.800]  你使這國民眾多使他們喜樂大增
[00:02:39.800 --> 00:02:42.000]  他們在你面前歡喜
[00:02:42.000 --> 00:02:44.600]  好像收割時的歡喜
[00:02:44.600 --> 00:02:48.000]  又像人奮戰利品那樣的快樂
[00:02:48.000 --> 00:02:52.400]  因為他們所負的重擔和肩頭上的責
[00:02:52.400 --> 00:02:54.400]  並欺壓著的棍
[00:02:54.400 --> 00:02:56.000]  你都已經截斷
[00:02:56.000 --> 00:02:58.400]  如同在米顛的日子一般
[00:02:58.400 --> 00:03:02.200]  戰士在戰亂中所穿的靴子
[00:03:02.200 --> 00:03:04.600]  以及勒滾在血中的衣服
[00:03:04.600 --> 00:03:07.200]  都必當作柴火燃燒
[00:03:07.200 --> 00:03:10.200]  因有一英孩為我們而生
[00:03:10.200 --> 00:03:11.800]  有一子賜給我們
[00:03:11.800 --> 00:03:14.400]  政權必擔在他的肩頭上
[00:03:14.400 --> 00:03:18.400]  他名稱為奇妙策士、全能的上帝
[00:03:18.400 --> 00:03:21.400]  永在和平的君
[00:03:21.400 --> 00:03:24.400]  他的政權與平安必加增無窮
[00:03:24.400 --> 00:03:27.600]  他必在大維的寶座上治理他的國
[00:03:27.600 --> 00:03:31.600]  以公平公義使國堅定穩固
[00:03:31.600 --> 00:03:33.800]  從今直到永遠
[00:03:33.800 --> 00:03:38.000]  萬軍之華的熱心必成就這事
[00:03:40.400 --> 00:03:44.400]  以賽先知是主前八世紀的人物
