
[00:00:00.000 --> 00:00:01.800]  在新一年裡面
[00:00:01.800 --> 00:00:06.680]  我們冥恩堂大報堂會有一個很特別的開始
[00:00:06.680 --> 00:00:10.760]  就是在去年的十二月十九日
[00:00:10.760 --> 00:00:13.400]  政府已經正式公佈了
[00:00:13.400 --> 00:00:17.640]  我們的教會透過新界婦孺福利會
[00:00:17.640 --> 00:00:20.600]  我們就得到一間學校
[00:00:20.600 --> 00:00:22.600]  叫做「有時限小學」
[00:00:22.600 --> 00:00:25.080]  我們可以來辦學
[00:00:25.080 --> 00:00:27.080]  而更加很特別的就是
[00:00:27.080 --> 00:00:29.600]  我們會用冥恩小學
[00:00:29.600 --> 00:00:31.880]  基督教冥恩小學命名的
[00:00:31.880 --> 00:00:34.720]  即是說一間獨立的教會
[00:00:34.720 --> 00:00:36.160]  年資不是很久
[00:00:36.160 --> 00:00:37.960]  我們今年大埔第31年而已
[00:00:37.960 --> 00:00:41.040]  我們竟然可以有一間小學運作
[00:00:41.040 --> 00:00:44.800]  但絕對不是我們有甚麼能量
[00:00:44.800 --> 00:00:49.440]  因為有十幾個辦學團體來申請
[00:00:49.440 --> 00:00:52.000]  但這十幾個辦學團體裡面
[00:00:52.000 --> 00:00:56.760]  如果我們照客觀的環境來計算的時候
[00:00:56.760 --> 00:00:59.760]  我們是絕對不可能拿到這間學校的
[00:00:59.760 --> 00:01:02.760]  因為新界婦孺福利會給大家看
[00:01:02.760 --> 00:01:06.000]  它根本就是在將軍澳都有一間小學
[00:01:06.000 --> 00:01:07.600]  它都營運不到
[00:01:07.600 --> 00:01:12.280]  結果要將這間學校給了神照會來營運
[00:01:12.280 --> 00:01:17.240]  即是說某個程度你的往績都不是那麼理想
[00:01:17.240 --> 00:01:19.240]  沒理由會給到我們
[00:01:19.240 --> 00:01:21.240]  所以這是絕不簡單
[00:01:21.240 --> 00:01:23.240]  是神給我們的恩典
[00:01:23.240 --> 00:01:25.720]  但是我們怎樣去面對呢
[00:01:25.720 --> 00:01:28.960]  是否只是由幾個人去計劃就算數呢
[00:01:28.960 --> 00:01:30.360]  我覺得絕對不是
[00:01:30.360 --> 00:01:33.760]  我們都需要去回顧和前瞻
[00:01:33.760 --> 00:01:36.960]  在過去的歷史裡面我們吸取教訓
[00:01:36.960 --> 00:01:39.640]  然後去面對新的挑戰
[00:01:39.640 --> 00:01:44.640]  所以今天我會先從聖經裡面來看一些真理
[00:01:44.640 --> 00:01:46.640]  這時候不只是看一段經文
[00:01:46.640 --> 00:01:48.440]  甚至我們要讀通本聖經
[00:01:48.440 --> 00:01:52.440]  然後我們再來面對新的挑戰
[00:01:52.440 --> 00:01:55.120]  我們在領受這篇信息之前
[00:01:55.120 --> 00:01:57.120]  我們再次低頭來禱告
[00:01:57.120 --> 00:02:00.440]  天會懇求你自己親自來結證今天所講的信息
[00:02:00.440 --> 00:02:01.960]  成為我們的幫助
[00:02:01.960 --> 00:02:05.000]  也懇求神你自己親自賜福我們每一個人
[00:02:05.000 --> 00:02:07.000]  叫我們經歷你自己的痛災
[00:02:07.000 --> 00:02:10.360]  也讓我們知道原來你給我們這麼深的恩典
[00:02:10.360 --> 00:02:12.880]  叫我們不會徒然領受這個恩惠
[00:02:12.880 --> 00:02:15.440]  教導我們如何面對未來的挑戰
[00:02:15.440 --> 00:02:16.880]  奉主的名來禱告
[00:02:16.880 --> 00:02:18.880]  Amen
[00:02:18.880 --> 00:02:21.280]  在歷史裡面我們見到一些人
[00:02:21.280 --> 00:02:24.000]  當他們小信就會失去了福氣
[00:02:24.000 --> 00:02:27.680]  大家知道神應許了阿伯拉罕
[00:02:27.680 --> 00:02:30.520]  他的子孫會進入一個應許之地
[00:02:30.520 --> 00:02:32.520]  這個地方是很美麗的
[00:02:32.520 --> 00:02:37.080]  當以色列人在埃及作為奴隸四百年
[00:02:37.080 --> 00:02:38.520]  後來他們受苦
[00:02:38.520 --> 00:02:39.920]  他們向神呼求
[00:02:39.920 --> 00:02:42.080]  結果神就透過摩西
[00:02:42.080 --> 00:02:44.600]  帶領以色列人進入迦南地
[00:02:44.600 --> 00:02:46.280]  但進入迦南地之前
[00:02:46.280 --> 00:02:50.200]  神叫摩西選派一些領袖
[00:02:50.200 --> 00:02:54.520]  去探索一下這個地方是怎麼樣的
[00:02:54.520 --> 00:02:55.440]  時間的問題
[00:02:55.440 --> 00:02:56.600]  我們未必會讀經文
[00:02:56.600 --> 00:02:58.880]  大家就會看電腦簡報了
