
[00:00:00.000 --> 00:00:02.000]  不知大家知不知
[00:00:02.000 --> 00:00:05.440]  我是讀歷史出身的
[00:00:05.440 --> 00:00:08.440]  我是讀歷史出身的
[00:00:08.440 --> 00:00:12.440]  歷史學我覺得是很好
[00:00:12.440 --> 00:00:14.440]  很有興趣
[00:00:14.440 --> 00:00:16.440]  有很大的得著
[00:00:16.440 --> 00:00:21.440]  第一個學位就是讀歷史學
[00:00:21.440 --> 00:00:28.440]  1972年去到中文大學崇基學院
[00:00:28.440 --> 00:00:31.440]  1976年畢業
[00:00:31.440 --> 00:00:35.440]  當然那時候非常年青
[00:00:35.440 --> 00:00:39.440]  歷史對我來說是非常有用的
[00:00:39.440 --> 00:00:41.440]  因為當我們知道更多歷史的話
[00:00:41.440 --> 00:00:47.440]  我們知道是比較容易去分析現在的狀況
[00:00:47.440 --> 00:00:51.440]  亦都能夠幫助我們去展望未來
[00:00:51.440 --> 00:00:54.440]  所以有所謂知古鑒今
[00:00:54.440 --> 00:00:58.440]  甚至可以進一步的去看未來
[00:00:58.440 --> 00:01:01.440]  所以對我來說歷史是很重要的
[00:01:01.440 --> 00:01:02.440]  很有意思的
[00:01:02.440 --> 00:01:04.440]  所以有時聽到大英姐妹或朋友說
[00:01:04.440 --> 00:01:06.440]  讀歷史很悶的
[00:01:06.440 --> 00:01:09.440]  我想真是有些誤會
[00:01:09.440 --> 00:01:11.440]  歷史不悶的
[00:01:11.440 --> 00:01:14.440]  是很大的啟發性
[00:01:14.440 --> 00:01:17.440]  說了這麼多我想說甚麼呢
[00:01:17.440 --> 00:01:19.440]  說了這麼多其實我想說的是
[00:01:19.440 --> 00:01:25.440]  原來當我們有機會看回過去一些教會的歷史的時候
[00:01:25.440 --> 00:01:28.440]  你會發現是可以給我們有很多的啟迪
[00:01:28.440 --> 00:01:30.440]  很多啟發
[00:01:30.440 --> 00:01:32.440]  很多的幫助
[00:01:32.440 --> 00:01:36.440]  今日我是很想和大英姐妹來講一段
[00:01:36.440 --> 00:01:38.440]  大概九十年前
[00:01:38.440 --> 00:01:41.440]  九十幾年前的歷史
[00:01:41.440 --> 00:01:42.440]  教會的歷史
[00:01:42.440 --> 00:01:44.440]  華人教會的歷史的時候
[00:01:44.440 --> 00:01:48.440]  讓我們看見神的作為是怎樣
[00:01:48.440 --> 00:01:51.440]  還有我們可以更加看到
[00:01:51.440 --> 00:01:53.440]  神很多奇妙的事
[00:01:53.440 --> 00:01:57.440]  有時真是超過我們所能夠想的
[00:01:57.440 --> 00:01:58.440]  很多時候
[00:01:58.440 --> 00:02:01.440]  神是顛覆了我們的想法
[00:02:01.440 --> 00:02:03.440]  我們很多時候是框住神的想法
[00:02:03.440 --> 00:02:08.440]  但是神往往所做的是超過我們所想的
[00:02:08.440 --> 00:02:09.440]  好了
[00:02:09.440 --> 00:02:12.440]  我不知道大家是否熟悉
[00:02:12.440 --> 00:02:15.440]  教會的歷史或中國的歷史
[00:02:15.440 --> 00:02:17.440]  如果我們說九十年前或九十幾年前
[00:02:17.440 --> 00:02:19.440]  大概是甚麼年代呢
[00:02:19.440 --> 00:02:24.440]  大概是一九二零年代
[00:02:24.440 --> 00:02:28.440]  是上世紀的二十年代
[00:02:28.440 --> 00:02:30.440]  如果我們熟悉歷史就知道
[00:02:30.440 --> 00:02:33.440]  上世紀其實二十年代十年代
