
[00:00:00.000 --> 00:00:04.000]  我們很感謝上帝透過成年區的師班
[00:00:04.000 --> 00:00:10.000]  剛才將這首非常好的詩歌帶給我們
[00:00:10.000 --> 00:00:15.000]  當他們代表我們一起將這首詩歌呈獻給上帝的時候
[00:00:15.000 --> 00:00:21.000]  讓我們深深地被這些歌詞再次感動和提醒
[00:00:21.000 --> 00:00:23.000]  今天你跟隨的是誰呢?
[00:00:23.000 --> 00:00:26.000]  就是這位謙卑的上主
[00:00:26.000 --> 00:00:29.000]  我們這位義僕的主耶穌
[00:00:29.000 --> 00:00:33.000]  他甘願謙卑為人進入人間
[00:00:33.000 --> 00:00:38.000]  他的腳鐘按聖經的說法就是受苦的腳鐘
[00:00:38.000 --> 00:00:43.000]  今天你有沒有試過你人生裡為義受逼迫
[00:00:43.000 --> 00:00:46.000]  是為了要進行父神的心意
[00:00:46.000 --> 00:00:49.000]  你不惜付上最高的代價
[00:00:49.000 --> 00:00:54.000]  因為這位主是那位呼召你也呼召我
[00:00:54.000 --> 00:00:56.000]  我們進入他這個榮耀的角度
[00:00:56.000 --> 00:00:59.000]  就是要領受上天而來的
[00:00:59.000 --> 00:01:03.000]  來自天上而來的倚仗
[00:01:03.000 --> 00:01:07.000]  上帝要他們看見歷史的終局
[00:01:07.000 --> 00:01:09.000]  人生的終局
[00:01:09.000 --> 00:01:11.000]  我們有一天要面對上帝
[00:01:11.000 --> 00:01:13.000]  你怎樣能夠好好的交仗
[00:01:13.000 --> 00:01:17.000]  是在乎你今生有沒有把握機會
[00:01:17.000 --> 00:01:22.000]  用上帝給你的健康、恩典、時間
[00:01:22.000 --> 00:01:25.000]  我們去作成上帝託付給我們的工作
[00:01:25.000 --> 00:01:31.000]  所以今天我們來到講阿摩斯書第八章之前
[00:01:31.000 --> 00:01:35.000]  我很想和大家先來看一個見證
[00:01:35.000 --> 00:01:39.000]  這個見證大家可能也見過
[00:01:39.000 --> 00:01:41.000]  麥捷倫
[00:01:41.000 --> 00:01:44.000]  這位先生大家知道是很有名的
[00:01:44.000 --> 00:01:47.000]  是西班牙的航海家
[00:01:47.000 --> 00:01:52.000]  他活著的時代是十六世紀
[00:01:52.000 --> 00:01:55.000]  當時經過十三世紀
[00:01:55.000 --> 00:01:58.000]  這個所謂羅盤的發明
[00:01:58.000 --> 00:02:01.000]  就是現代指南針的前身
[00:02:01.000 --> 00:02:07.000]  讓很多探險家去探索一個未知的世界
[00:02:07.000 --> 00:02:09.000]  在沿海很多地方
[00:02:09.000 --> 00:02:11.000]  曾經沒有人去過的地方
[00:02:11.000 --> 00:02:15.000]  他們嘗試去探測出來
[00:02:15.000 --> 00:02:17.000]  對於麥捷倫先生
[00:02:17.000 --> 00:02:24.000]  他當時很想打通大西洋和太平洋之間的通道
[00:02:24.000 --> 00:02:26.000]  那時還沒有巴拿馬運河
[00:02:26.000 --> 00:02:31.000]  他需要走到南美洲南端的地方
[00:02:31.000 --> 00:02:35.000]  當他去到這個地方
[00:02:35.000 --> 00:02:37.000]  他找到這條海峽
[00:02:37.000 --> 00:02:38.000]  這條海峽是很出名的
[00:02:38.000 --> 00:02:39.000]  到現在也很出名
[00:02:39.000 --> 00:02:42.000]  因為那裡海浪很高
[00:02:42.000 --> 00:02:45.000]  那些風暴是很厲害的
[00:02:45.000 --> 00:02:47.000]  就算是現代的郵輪
[00:02:47.000 --> 00:02:51.000]  也很少人會走這條海路
[00:02:51.000 --> 00:02:54.000]  你看到這個地圖
[00:02:54.000 --> 00:02:56.000]  這個地圖讓我們看到
[00:02:56.000 --> 00:02:59.000]  這個是在阿根廷以南
[00:02:59.000 --> 00:03:01.000]  這個就是麥捷倫海峽
[00:03:01.000 --> 00:03:04.000]  他會通過這些島嶼之間的地方
[00:03:04.000 --> 00:03:08.000]  然後出到太平洋
[00:03:08.000 --> 00:03:10.000]  以前它不是叫太平洋
[00:03:10.000 --> 00:03:14.000]  十六世紀以前這個地方叫南海
[00:03:14.000 --> 00:03:19.000]  但麥捷倫經過了風暴海浪的處境之後
[00:03:19.000 --> 00:03:21.000]  他發現這個地方這麼平靜
[00:03:21.000 --> 00:03:23.000]  這個地方這麼平靜
[00:03:23.000 --> 00:03:27.000]  所以命名為沒有戰爭很太平
[00:03:27.000 --> 00:03:29.000]  風平浪靜
[00:03:29.000 --> 00:03:35.000]  在過程中其實是一個很感人的故事
[00:03:35.000 --> 00:03:37.000]  是歷史的一個事實
[00:03:37.000 --> 00:03:41.000]  原來在1520年11月28日
[00:03:41.000 --> 00:03:46.000]  麥捷倫打通了往太平洋的航道的時候
[00:03:46.000 --> 00:03:51.000]  他已經在海上航行了14個月
[00:03:51.000 --> 00:03:54.000]  他以為按他手上的資料
[00:03:54.000 --> 00:03:57.000]  太平洋不會很大
[00:03:57.000 --> 00:04:00.000]  但他猜錯了
[00:04:00.000 --> 00:04:04.000]  當時他手上的資料是錯得很離譜的
[00:04:04.000 --> 00:04:07.000]  當時甚至有些人以為
[00:04:07.000 --> 00:04:13.000]  上面的墨西哥和日本是很近的
[00:04:13.000 --> 00:04:17.000]  以為相差只不過是100英里
[00:04:17.000 --> 00:04:19.000]  何止100英里呢
[00:04:19.000 --> 00:04:25.000]  墨西哥和日本太平洋是絕對不小的一個海域
