
[00:00:00.000 --> 00:00:05.040]  繼續《家庭培訓》這個系列的第四堂
[00:00:05.040 --> 00:00:07.880]  今天我們會講
[00:00:07.880 --> 00:00:11.720]  看一段聖經記載在《撒姆爾記》上
[00:00:11.720 --> 00:00:15.160]  這段聖經記載了
[00:00:15.160 --> 00:00:18.680]  我稱之為一個戀男和兩個渣男的故事
[00:00:18.680 --> 00:00:21.280]  大家知道什麼是戀男嗎 這是現在的潮語
[00:00:21.280 --> 00:00:25.200]  很溫暖 很出色 很有愛心 很有智慧
[00:00:25.200 --> 00:00:27.320]  那些男性叫做戀男
[00:00:27.320 --> 00:00:30.200]  渣男當然不需要說了 人渣的渣
[00:00:30.200 --> 00:00:35.280]  屬於那些很衰格 很賤 卑鄙
[00:00:35.280 --> 00:00:39.000]  有花心 不負責任的那些渣男
[00:00:39.000 --> 00:00:44.320]  《撒姆爾記》上的一到四章
[00:00:44.320 --> 00:00:48.120]  基本上作者記載了一個戀男
[00:00:48.120 --> 00:00:50.120]  當然這個戀男就是撒姆爾
[00:00:50.120 --> 00:00:53.800]  還有兩個渣男 就是以利的兩個兒子
[00:00:53.800 --> 00:00:56.040]  一個叫何弗利 一個叫菲尼哈
[00:00:56.040 --> 00:01:01.160]  作者的記載大概是用一種稱之為
[00:01:01.160 --> 00:01:05.200]  交叉結構的結構去記載
[00:01:05.200 --> 00:01:09.280]  意思是先記載撒姆爾這個戀男是怎樣的
[00:01:09.280 --> 00:01:11.600]  然後記載這兩個渣男做了什麼
[00:01:11.600 --> 00:01:14.480]  然後再戀男 渣男 戀男 渣男
[00:01:14.480 --> 00:01:16.720]  根據作者的記載
[00:01:16.720 --> 00:01:19.560]  也不難看出作者的用意
[00:01:19.560 --> 00:01:23.720]  就是讓讀者透過他們兩者之間
[00:01:23.720 --> 00:01:28.000]  做一個比較 然後透過一個鮮明的對比
[00:01:28.000 --> 00:01:32.560]  讓你明白 為什麼神最後會揀選了這位戀男
[00:01:32.560 --> 00:01:37.880]  作為祭司 棄絕了以利那兩個兒子
[00:01:37.880 --> 00:01:41.160]  也讓我們在當中學一些功課
[00:01:41.160 --> 00:01:45.880]  今天我們就會順著作者的思路
[00:01:45.880 --> 00:01:48.840]  我們先看渣男
[00:01:48.840 --> 00:01:51.280]  我們先看一個負面的教材
[00:01:51.280 --> 00:01:53.800]  看看從以利那兩個兒子身上
[00:01:53.800 --> 00:01:56.840]  我們能夠學到一些什麼功課
[00:01:56.840 --> 00:01:59.880]  負面教材 我們先看第一段聖經
[00:01:59.880 --> 00:02:04.920]  記載在撒姆爾記上的二章二十二到二十五節
[00:02:04.920 --> 00:02:05.920]  那裡是這樣說的
[00:02:05.920 --> 00:02:08.680]  以利就是那兩個渣男的爸爸
[00:02:08.680 --> 00:02:10.920]  他當時還是祭司
[00:02:10.920 --> 00:02:14.200]  以利連心老邁
[00:02:14.200 --> 00:02:19.160]  聽見他兩個兒子代以色列眾人的事
[00:02:19.160 --> 00:02:25.200]  又聽見他們與回望前事後的婦人苟合
[00:02:25.200 --> 00:02:30.200]  就對他們說 你們為何行這樣的事呢
[00:02:30.200 --> 00:02:34.400]  我從者眾百姓聽見你們的惡行
[00:02:34.400 --> 00:02:36.520]  我而不可這樣
[00:02:36.520 --> 00:02:39.080]  我聽見你們的風聲不好
[00:02:39.080 --> 00:02:43.160]  你們使耶和華的百姓犯了罪
[00:02:43.160 --> 00:02:47.120]  人若得罪人 又是司審判他
[00:02:47.120 --> 00:02:51.880]  人若得罪耶和華 誰能為他祈求呢
[00:02:51.880 --> 00:02:55.520]  然而他們還是不聽父親的話
[00:02:55.520 --> 00:02:59.680]  因為耶和華想要殺他們
[00:02:59.680 --> 00:03:02.640]  這裡記載 基本上
[00:03:02.640 --> 00:03:05.400]  他兩個兒子所犯的罪分兩部分
[00:03:05.400 --> 00:03:09.960]  一部分是因為他屬於幫忙祭司的工作
[00:03:09.960 --> 00:03:16.200]  舊約聖經對祭司的工作的指示很清楚
[00:03:16.200 --> 00:03:18.480]  就是當有人要獻祭的時候
[00:03:18.480 --> 00:03:22.560]  高柔的部分 最好的部分
[00:03:22.560 --> 00:03:24.240]  應該是獻給神的
[00:03:24.240 --> 00:03:28.400]  獻祭之後 燒烤完之後
[00:03:28.400 --> 00:03:32.240]  臀部和肩膀這一部分的肉就歸祭司
[00:03:32.240 --> 00:03:33.840]  所以祭司是有份的
[00:03:33.840 --> 00:03:37.120]  但其他的部分就歸獻祭的人
[00:03:37.120 --> 00:03:39.400]  他兩個兒子就不是這樣
[00:03:39.400 --> 00:03:41.040]  最好那部分全都搶了
[00:03:41.040 --> 00:03:42.600]  人不給他 他就搶
[00:03:42.600 --> 00:03:45.960]  所以基本上屬於神的部分他都搶了
[00:03:45.960 --> 00:03:48.560]  所以這個第一宗的罪
[00:03:48.560 --> 00:03:53.360]  有關獻祭禮儀上是完全藐視了神的律法
[00:03:53.360 --> 00:03:55.360]  另外一宗 今天我們看到
[00:03:55.360 --> 00:03:59.080]  就是他與會幕前一起侍奉的婦人九合
[00:03:59.080 --> 00:04:01.280]  這個就是 Sexual Immorality
[00:04:01.280 --> 00:04:03.680]  這個就是Moral上的罪
[00:04:03.680 --> 00:04:06.000]  是兩個部分不同的罪
[00:04:06.000 --> 00:04:09.360]  我們第一個想看到以利
[00:04:09.360 --> 00:04:11.600]  我們看看這個渣男是怎樣煉成的
[00:04:11.600 --> 00:04:15.560]  第一個我們看到以利所犯的錯誤
[00:04:15.560 --> 00:04:20.240]  就是他錯過了一個管教罪黃金的時期
[00:04:20.240 --> 00:04:21.960]  因為這段聖經第一個記載
[00:04:21.960 --> 00:04:25.080]  其實是非常荒謬的
[00:04:25.080 --> 00:04:29.000]  是很荒謬和非常充滿諷刺的
[00:04:29.000 --> 00:04:31.920]  因為他說以利年紀老邁
[00:04:31.920 --> 00:04:36.160]  根據《釋經》說
[00:04:36.160 --> 00:04:40.320]  到這個時刻以利的歲數大概接近70歲了
[00:04:40.320 --> 00:04:44.720]  換句話說 這個人到了70歲才突然醒悟
[00:04:44.720 --> 00:04:46.720]  原來我兩個兒子是這樣的
[00:04:46.720 --> 00:04:49.080]  是時候要管教一下了
[00:04:49.080 --> 00:04:51.600]  說句難聽一點 蚊子都睡了
[00:04:51.600 --> 00:04:53.920]  70歲才想起要教兒子
[00:04:53.920 --> 00:04:56.200]  我們當中有沒有爸爸是這樣
[00:04:56.200 --> 00:04:57.680]  到了70歲醒悟
[00:04:57.680 --> 00:04:58.960]  是時候要教一下兒子了
[00:04:58.960 --> 00:05:00.840]  你過來 你好讀書
[00:05:00.840 --> 00:05:03.680]  70歲 way too late
[00:05:03.680 --> 00:05:06.720]  所以基本上過去的30年來
[00:05:06.720 --> 00:05:08.960]  我相信 通常以前的人很早結婚
[00:05:08.960 --> 00:05:10.400]  20歲結婚
[00:05:10.400 --> 00:05:14.240]  到兒子開始去執行祭司的職務
[00:05:14.240 --> 00:05:15.720]  去搶別人的肉
[00:05:15.720 --> 00:05:18.360]  可能是過去的30年
[00:05:18.360 --> 00:05:20.720]  他完全不知道
[00:05:20.720 --> 00:05:22.840]  過去的30年他兩個兒子
[00:05:22.840 --> 00:05:25.880]  已經成為十大惡人之首
[00:05:25.880 --> 00:05:28.960]  已經長期在耶路撒冷一帶流竄
[00:05:28.960 --> 00:05:30.280]  搞得滿城風雨
[00:05:30.280 --> 00:05:34.080]  江湖上掀起一片風聲鶴唳
[00:05:34.080 --> 00:05:36.200]  但他到了70歲才突然覺得
[00:05:36.200 --> 00:05:37.680]  原來我兒子是這樣的
[00:05:37.680 --> 00:05:39.320]  不行了 要教一下了
