
[00:00:00.000 --> 00:00:01.800]  多瑪的疑惑
[00:00:01.800 --> 00:00:05.100]  其實這個世界有很多東西可以疑惑
[00:00:05.100 --> 00:00:09.100]  我不知道你在生命裏有什麼疑惑的地方
[00:00:09.100 --> 00:00:12.000]  2018年的三月尾
[00:00:12.000 --> 00:00:13.800]  香港
[00:00:13.800 --> 00:00:16.200]  真是令我很疑惑
[00:00:16.200 --> 00:00:21.600]  為什麼香港幾個廢青搞傳媒
[00:00:21.600 --> 00:00:23.800]  一蚊張黑紙起
[00:00:23.800 --> 00:00:26.100]  然後賣到一百毛
[00:00:26.100 --> 00:00:28.500]  搞到可以上市
[00:00:30.100 --> 00:00:30.900]  三個廢青
[00:00:30.900 --> 00:00:32.800]  我還有一個愛情投資專家
[00:00:32.800 --> 00:00:35.200]  出來見記者會
[00:00:35.200 --> 00:00:36.900]  愛情投資專家
[00:00:36.900 --> 00:00:39.700]  然後還有一個很奇怪的
[00:00:39.700 --> 00:00:41.400]  經常有傷痕的
[00:00:41.400 --> 00:00:42.500]  要撞那個鑼
[00:00:42.500 --> 00:00:43.300]  不讓他撞
[00:00:43.300 --> 00:00:46.600]  出來怎麼說呢
[00:00:46.600 --> 00:00:49.500]  手是掛牌
[00:00:49.500 --> 00:00:50.300]  記者會
[00:00:50.300 --> 00:00:52.700]  這個股票沒得分析
[00:00:52.700 --> 00:00:54.900]  沒得分析
[00:00:54.900 --> 00:00:57.100]  過二
[00:00:57.100 --> 00:00:59.300]  頭一日就升到十一個多
[00:01:00.100 --> 00:01:01.400]  投資的人都是蠢
[00:01:01.400 --> 00:01:03.700]  四月一日我今天愚人節
[00:01:03.700 --> 00:01:04.700]  很蠢
[00:01:04.700 --> 00:01:06.700]  但是他們看得準
[00:01:06.700 --> 00:01:09.600]  叫人很疑惑
[00:01:09.600 --> 00:01:12.000]  沒前景
[00:01:12.000 --> 00:01:12.900]  沒得分析
[00:01:12.900 --> 00:01:15.400]  你們有沒有人買
[00:01:15.400 --> 00:01:18.800]  誰住在葵涌的
[00:01:18.800 --> 00:01:21.800]  誰住在葵涌的
[00:01:21.800 --> 00:01:24.900]  這個東西叫Mos葵涌
[00:01:24.900 --> 00:01:28.400]  過二
[00:01:28.500 --> 00:01:30.200]  我想想如果支持幾個廢青
[00:01:30.200 --> 00:01:31.000]  去到八毛錢
