
[00:00:00.000 --> 00:00:03.000]  大家好 早前我看了一篇文章
[00:00:03.000 --> 00:00:07.000]  這篇文章是講到什麼是自我中心
[00:00:07.000 --> 00:00:10.000]  一開始看文章的時候
[00:00:10.000 --> 00:00:12.000]  馬上就想到一個問題
[00:00:12.000 --> 00:00:19.000]  究竟這個世界有沒有人是完全沒有自我中心的呢?
[00:00:19.000 --> 00:00:22.000]  答案當然是沒有 但為什麼沒有呢?
[00:00:22.000 --> 00:00:24.000]  原來起碼 因為每一個人
[00:00:24.000 --> 00:00:27.000]  起碼當他是嬰兒時期
[00:00:27.000 --> 00:00:30.000]  他一定會有一種特質
[00:00:30.000 --> 00:00:36.000]  自我中心是幼兒期和兒童期人格的特質
[00:00:36.000 --> 00:00:38.000]  我們也不難想像
[00:00:38.000 --> 00:00:40.000]  小朋友肚子餓的時候會怎樣呢?
[00:00:40.000 --> 00:00:42.000]  BB 哭呀
[00:00:42.000 --> 00:00:44.000]  當他濕了臉又怎樣呢?
[00:00:44.000 --> 00:00:46.000]  哭呀
[00:00:46.000 --> 00:00:50.000]  或者當他睏了 不舒服又怎樣呢?
[00:00:50.000 --> 00:00:51.000]  又是哭呀
[00:00:51.000 --> 00:00:54.000]  其實哭只有一個目的
[00:00:54.000 --> 00:00:57.000]  就是要讓人注意
[00:00:57.000 --> 00:01:01.000]  讓他媽媽照顧他的人注意到他
[00:01:01.000 --> 00:01:06.000]  為了讓他能夠滿足到他眼前的需要
[00:01:06.000 --> 00:01:10.000]  當一個小朋友慢慢進入到青年
[00:01:10.000 --> 00:01:13.000]  到成年時期的時候
[00:01:13.000 --> 00:01:18.000]  理論上他身心各方面都會開始日趨成熟
[00:01:18.000 --> 00:01:22.000]  同時間由於他開始接觸到社會不同的東西
[00:01:22.000 --> 00:01:24.000]  發覺這個世界越來越大
[00:01:24.000 --> 00:01:32.000]  逼使他慢慢需要從自我中心的小天地走出來
[00:01:32.000 --> 00:01:37.000]  這就是成長的其中一個印記
[00:01:37.000 --> 00:01:40.000]  我試過對於一個小朋友
[00:01:40.000 --> 00:01:42.000]  我想很多人也有試過
[00:01:42.000 --> 00:01:43.000]  我跟他說
[00:01:43.000 --> 00:01:45.000]  我給你兩顆糖好不好呀?
[00:01:45.000 --> 00:01:46.000]  好呀
[00:01:46.000 --> 00:01:49.000]  不過你要將其中一顆分給你隔壁的小朋友
[00:01:49.000 --> 00:01:50.000]  好不好呀?
[00:01:50.000 --> 00:01:53.000]  小朋友就是這樣
[00:01:53.000 --> 00:01:54.000]  很自然的
[00:01:54.000 --> 00:01:56.000]  誰教他也不知道
[00:01:56.000 --> 00:02:02.000]  有一次我跟一位媽媽聊天的時候
[00:02:02.000 --> 00:02:04.000]  這位媽媽眼腫鼻腫
[00:02:04.000 --> 00:02:12.000]  她的小女兒很年輕
[00:02:12.000 --> 00:02:19.000]  在紙箱裡拿一張紙巾給媽媽
[00:02:19.000 --> 00:02:21.000]  我就大讚
[00:02:21.000 --> 00:02:23.000]  你很乖呀
[00:02:23.000 --> 00:02:26.000]  這麼小就這麼懂事呀
[00:02:26.000 --> 00:02:27.000]  她媽媽就說
[00:02:27.000 --> 00:02:28.000]  不是呀
[00:02:28.000 --> 00:02:30.000]  其實我每天都鼻敏感
[00:02:30.000 --> 00:02:36.000]  我每天都在紙箱裡拿紙巾
[00:02:36.000 --> 00:02:38.000]  她只是學了
[00:02:38.000 --> 00:02:39.000]  我都說
[00:02:39.000 --> 00:02:41.000]  也不是呀
[00:02:41.000 --> 00:02:42.000]  起碼她看到你口腫鼻腫
[00:02:42.000 --> 00:02:44.000]  她有反應
[00:02:44.000 --> 00:02:51.000]  其實也是一個成長的牽扯
[00:02:51.000 --> 00:02:55.000]  自我中心也有另一個特質
[00:02:55.000 --> 00:02:59.000]  就是會很想被人稱讚
[00:02:59.000 --> 00:03:03.000]  所以當這個人有什麼機會被人稱讚
[00:03:03.000 --> 00:03:05.000]  有什麼威風的東西
[00:03:05.000 --> 00:03:06.000]  個人的東西
[00:03:06.000 --> 00:03:08.000]  可能是一些技能
[00:03:08.000 --> 00:03:10.000]  可能是一些能力
[00:03:10.000 --> 00:03:17.000]  她毫不客氣都會很希望被人稱讚
[00:03:17.000 --> 00:03:20.000]  自我中心較為極端的人
[00:03:20.000 --> 00:03:21.000]  有一點不開心
[00:03:21.000 --> 00:03:23.000]  痛苦的時候
[00:03:23.000 --> 00:03:25.000]  就會說很多東西
[00:03:25.000 --> 00:03:27.000]  很想被人稱讚
[00:03:27.000 --> 00:03:31.000]  很期望可以得到別人的安慰
[00:03:31.000 --> 00:03:36.000]  她也會毫不考慮
[00:03:36.000 --> 00:03:42.000]  她不會看見別人對她的反應合不合理
[00:03:42.000 --> 00:03:46.000]  相反她會更加看重自己的感受
[00:03:46.000 --> 00:03:49.000]  我的感受是最真實的
[00:03:49.000 --> 00:03:54.000]  所以她很少會有心平氣和的時候
[00:03:54.000 --> 00:03:57.000]  內心會很混亂
[00:03:57.000 --> 00:04:00.000]  總之她的生活
[00:04:00.000 --> 00:04:06.000]  總是好像有些東西放錯了位置
[00:04:06.000 --> 00:04:07.000]  搖擺不定 混亂
[00:04:07.000 --> 00:04:10.000]  總是想著別人的看法
[00:04:10.000 --> 00:04:14.000]  當我看一篇文章看到這裡的時候
[00:04:14.000 --> 00:04:19.000]  腦袋突然想起身邊我認識的人
[00:04:19.000 --> 00:04:21.000]  當你剛才一直聽我說的時候
