
[00:00:00.000 --> 00:00:03.000]  「頂姊妹早晨!早晨呀!」
[00:00:03.000 --> 00:00:07.000]  我數數手指,原來安息蓮回到現在為止
[00:00:07.000 --> 00:00:10.000]  原來已經五個月了,五個多月了
[00:00:10.000 --> 00:00:13.000]  我記得有一次,當我回到教會的時候
[00:00:13.000 --> 00:00:16.000]  我自己在那裡禱告,我在那裡問主
[00:00:16.000 --> 00:00:21.000]  「神呀,祢想我在這個時間,我安息蓮回到來的時候
[00:00:21.000 --> 00:00:23.000]  我可以為祢做些什麼呢?」
[00:00:23.000 --> 00:00:25.000]  神很快就回應我
[00:00:25.000 --> 00:00:28.000]  「你要去探訪呀,你要去探訪」
[00:00:28.000 --> 00:00:31.000]  然後我再問神「我要去探訪誰呀?」
[00:00:31.000 --> 00:00:33.000]  那一刻我覺得很奇妙
[00:00:33.000 --> 00:00:37.000]  神把那些人的圖畫全部放在我的腦裡
[00:00:37.000 --> 00:00:40.000]  讓我知道我要去探訪誰誰誰
[00:00:40.000 --> 00:00:42.000]  但那一刻我覺得很奇妙
[00:00:42.000 --> 00:00:47.000]  我莫名其妙,這裡全部的人都不是我的區
[00:00:47.000 --> 00:00:51.000]  甚或是跟他們的關係一點都不熟悉
[00:00:51.000 --> 00:00:53.000]  可能是點頭早晨,say bye那些
[00:00:53.000 --> 00:00:55.000]  為什麼安息蓮回來之後
[00:00:55.000 --> 00:00:59.000]  神要我第一件事要做的就是要去探訪呢?
[00:00:59.000 --> 00:01:01.000]  當我聽到神的calling
[00:01:01.000 --> 00:01:04.000]  我很乖很聽話,神叫的嘛
[00:01:04.000 --> 00:01:06.000]  怎麼可以不敢不做呢?
[00:01:06.000 --> 00:01:10.000]  馬上去回應主,逐個逐個的去關心他們
[00:01:10.000 --> 00:01:12.000]  去探望這些弟兄姊妹
[00:01:12.000 --> 00:01:16.000]  但原來我發現全部我探訪的弟兄姊妹
[00:01:16.000 --> 00:01:19.000]  他們都是在病患的裡面
[00:01:19.000 --> 00:01:23.000]  是這麼多個的裡面,全部他們都在病患的裡面
[00:01:23.000 --> 00:01:26.000]  不單只是身體裡面的軟弱
[00:01:26.000 --> 00:01:28.000]  而是當中分享的時候
[00:01:28.000 --> 00:01:31.000]  你都會發現他們心靈裡面的狀況
[00:01:31.000 --> 00:01:36.000]  也是很有需要去關顧
[00:01:36.000 --> 00:01:39.000]  更加我再發現原來有些弟兄姊妹
[00:01:39.000 --> 00:01:43.000]  因為病的緣故,可能已經有幾年的時間
[00:01:43.000 --> 00:01:47.000]  他們沒有辦法可以回來教會
