
[00:00:00.000 --> 00:00:03.800]  感謝神今天可以和大家一起去敬拜我們的上帝
[00:00:03.800 --> 00:00:05.680]  還記得今年年初的時候
[00:00:05.680 --> 00:00:10.880]  我的新年願望就是可以和大家盡快的可以實體敬拜
[00:00:10.880 --> 00:00:12.120]  真是如願以償
[00:00:12.120 --> 00:00:13.880]  很快我們就可以在這個星期
[00:00:13.880 --> 00:00:14.880]  Mill Peters
[00:00:14.880 --> 00:00:16.240]  即是今天其實
[00:00:16.240 --> 00:00:20.360]  就可以和大家有機會一起的實體敬拜
[00:00:20.360 --> 00:00:23.480]  六月的時候我們全面去開放的時候
[00:00:23.480 --> 00:00:26.040]  到時我們更多有這樣的機會
[00:00:26.040 --> 00:00:28.720]  這個絕對是上帝給我們的恩典
[00:00:28.720 --> 00:00:32.040]  在這個恩典當中我們學到很多的事情
[00:00:32.040 --> 00:00:34.000]  我們學到真是怎樣去珍惜
[00:00:34.000 --> 00:00:37.280]  原來一起敬拜不是必然的事情
[00:00:37.280 --> 00:00:39.880]  在這個重開重啟
[00:00:39.880 --> 00:00:41.480]  我不知道你有什麼看法
[00:00:41.480 --> 00:00:43.280]  經常都聽到有人說
[00:00:43.280 --> 00:00:47.640]  我們終於可以彼此擁抱回復正常狀態
[00:00:47.640 --> 00:00:49.920]  不知道你有沒有這樣的樂觀
[00:00:49.920 --> 00:00:53.440]  但是我們真的要審視我們應該怎樣去重開重啟
[00:00:53.440 --> 00:00:54.960]  更有把握的時候
[00:00:54.960 --> 00:00:58.200]  我們可能需要再回顧再回望一下
[00:00:58.200 --> 00:01:01.160]  到底我們在什麼處境當中
[00:01:01.160 --> 00:01:05.520]  過去其實的確我們經歷了很多的爭戰
[00:01:05.520 --> 00:01:09.240]  由貿易戰開始兩敗俱傷
[00:01:09.240 --> 00:01:13.480]  到選舉戰幾乎變成內戰
[00:01:13.480 --> 00:01:17.520]  到種族戰繼續都有這些事情發生
[00:01:17.520 --> 00:01:20.960]  到每天上演的槍擊戰
[00:01:20.960 --> 00:01:24.960]  都讓我們在戰役的裏面
[00:01:24.960 --> 00:01:26.560]  在爭戰的裏面
[00:01:26.560 --> 00:01:31.680]  甚至我們不斷持續要去做抗疫的抗疫戰
[00:01:31.680 --> 00:01:33.480]  上兩個星期打了第一針
[00:01:33.480 --> 00:01:34.640]  很奇怪
