
[00:00:00.000 --> 00:00:03.440]  前兩個星期,Pastor Ivan 和我們分享了一篇道
[00:00:03.440 --> 00:00:08.760]  他說「渴望與人同在的神,神很想和我們在一起」
[00:00:08.760 --> 00:00:14.840]  但我們不知道「同在」對我們來說是什麼意思
[00:00:14.840 --> 00:00:18.840]  「同在」和「一起」,你喜歡的東西就好了
[00:00:18.840 --> 00:00:20.840]  「一起」嘛,是不是?
[00:00:20.840 --> 00:00:22.840]  神和你一起當然好
[00:00:22.840 --> 00:00:25.480]  但有時候,原來神和我們一起,我們會害怕
[00:00:25.480 --> 00:00:27.960]  因為神知道我們做一切的事
[00:00:27.960 --> 00:00:33.240]  不過亦有很多人覺得,我感受不到神的「同在」
[00:00:33.240 --> 00:00:35.240]  特別是什麼時候呢?
[00:00:35.240 --> 00:00:38.840]  就是他經歷苦難,經歷很大的難處
[00:00:38.840 --> 00:00:41.840]  他覺得他祈禱了很久很久很久
[00:00:41.840 --> 00:00:43.840]  為什麼神都沒有聽?
[00:00:43.840 --> 00:00:47.840]  我好像向著空氣講說話一樣
[00:00:47.840 --> 00:00:49.840]  神好像缺席了一樣
[00:00:49.840 --> 00:00:51.840]  我們會問神:你在哪裡?
[00:00:51.840 --> 00:00:58.840]  有一個詞語形容一些很忙碌的爸爸,叫做「缺席的父親」
[00:00:58.840 --> 00:01:00.840]  Absent Father
[00:01:00.840 --> 00:01:02.840]  不知道會否在我們的信仰裡
[00:01:02.840 --> 00:01:06.840]  我們都會覺得有時候神好像是一個Absent God
[00:01:06.840 --> 00:01:08.840]  不見祂在哪裡
[00:01:08.840 --> 00:01:11.840]  因為這個看不見的神,我不知道怎樣捉摸祂
[00:01:11.840 --> 00:01:14.840]  我感受不到祂,我不知道這是否你的感受
[00:01:14.840 --> 00:01:18.840]  今天我和大家分享的是詩篇23篇
[00:01:18.840 --> 00:01:20.840]  是大衛一篇的詩篇
[00:01:20.840 --> 00:01:24.840]  有人說是他老年的時候寫的這篇詩篇
[00:01:24.840 --> 00:01:26.840]  大衛是一個什麼人呢?
[00:01:26.840 --> 00:01:27.840]  是一個王
[00:01:27.840 --> 00:01:32.840]  不過在他人生裡經歷很多的難處,很多的逼迫
[00:01:32.840 --> 00:01:34.840]  他被數落王追殺
[00:01:34.840 --> 00:01:39.840]  最心痛是被他自己很愛的兒子阿沙龍追殺
[00:01:39.840 --> 00:01:41.840]  但他在晚年寫這篇詩篇
[00:01:41.840 --> 00:01:46.840]  他仍然說:我雖然行過死任憂躬,也不怕遭害
[00:01:46.840 --> 00:01:49.840]  是因為你與我同在
[00:01:50.840 --> 00:01:52.840]  他知道忠賢在很多艱難
[00:01:52.840 --> 00:01:54.840]  他好像看不見神
[00:01:54.840 --> 00:01:56.840]  為什麼神沒有幫他拿走這些難處
[00:01:56.840 --> 00:02:00.840]  但他仍然相信神沒有缺席過
[00:02:00.840 --> 00:02:05.840]  今季我們的講題大部分都是一個系列
[00:02:05.840 --> 00:02:07.840]  叫做「明白主的心」
[00:02:07.840 --> 00:02:10.840]  神很想你明白祂
[00:02:10.840 --> 00:02:13.840]  很想你明白祂很想與你親近
[00:02:13.840 --> 00:02:16.840]  很想你明白祂就算你看不到,你不明,你不知道的時候
[00:02:16.840 --> 00:02:18.840]  祂仍然與你一起
[00:02:18.840 --> 00:02:21.840]  這篇詩篇很多人都熟悉
[00:02:21.840 --> 00:02:23.840]  可能有些人會背
[00:02:23.840 --> 00:02:28.840]  但對於很多剛回來的朋友是第一次聽
[00:02:28.840 --> 00:02:31.840]  但無論怎樣都好
[00:02:31.840 --> 00:02:33.840]  可能你在婚禮聽過
[00:02:33.840 --> 00:02:36.840]  或者在病床的時候
[00:02:36.840 --> 00:02:40.840]  我們用這篇詩篇去鼓勵病者
[00:02:40.840 --> 00:02:44.840]  甚至在喪禮我們都用過這篇詩篇
[00:02:44.840 --> 00:02:47.840]  所以很多人都懂
[00:02:47.840 --> 00:02:50.840]  主我們感謝祢
[00:02:50.840 --> 00:02:52.840]  我們感謝祢
[00:02:52.840 --> 00:02:55.840]  因為我們知道在我們生命裡
[00:02:55.840 --> 00:02:57.840]  祢從來沒有缺席過
[00:02:57.840 --> 00:03:01.840]  在我們經歷難處
[00:03:01.840 --> 00:03:04.840]  經歷困乏的時候
[00:03:04.840 --> 00:03:07.840]  我們知道祢一直都在我們身邊
[00:03:07.840 --> 00:03:09.840]  祢與我們一起
[00:03:09.840 --> 00:03:12.840]  祢給我們安慰,給我們鼓勵
[00:03:12.840 --> 00:03:15.840]  我們知道祢的愛是沒有離開過
[00:03:15.840 --> 00:03:17.840]  祢不是一個缺席的神
[00:03:17.840 --> 00:03:20.840]  祢是一個常與我們同在的神
[00:03:20.840 --> 00:03:21.840]  因此我們宣告
[00:03:21.840 --> 00:03:24.840]  我們一生要緊緊去跟隨祢
[00:03:24.840 --> 00:03:27.840]  求祢的靈在今天大大充滿我們
[00:03:27.840 --> 00:03:29.840]  再一次去擁抱我們
[00:03:29.840 --> 00:03:32.840]  再一次去鼓勵我們,安慰我們
[00:03:32.840 --> 00:03:35.840]  讓我們深深去明白祢的心
[00:03:35.840 --> 00:03:37.840]  知道祢的心意
[00:03:37.840 --> 00:03:39.840]  更加去貼近祢
[00:03:39.840 --> 00:03:41.840]  更深去經歷祢
[00:03:41.840 --> 00:03:42.840]  主祢與我們同在
[00:03:42.840 --> 00:03:43.840]  我將夜神交給祢
[00:03:43.840 --> 00:03:46.840]  求真理的靈引導我們去進入祢的話語
[00:03:46.840 --> 00:03:48.840]  以致我們走出祢的真理
[00:03:48.840 --> 00:03:51.840]  去見證祢,榮耀祢
[00:03:51.840 --> 00:03:52.840]  讚美祢,多謝主
[00:03:52.840 --> 00:03:55.840]  聽我們禱告,奉耶穌基督,得勝於名求
[00:03:55.840 --> 00:03:57.840]  Amen,各位請坐
[00:03:57.840 --> 00:04:05.840]  雖然我們經常說
[00:04:05.840 --> 00:04:07.840]  C篇23篇是我們很熟悉的
[00:04:07.840 --> 00:04:09.840]  但我亦都記得
[00:04:09.840 --> 00:04:12.840]  可能有些人剛回來是第一次聽
[00:04:12.840 --> 00:04:14.840]  不如我們一齊讀一次,好嗎?
[00:04:14.840 --> 00:04:17.840]  預備,1,2,3
[00:04:17.840 --> 00:04:19.840]  耶和華是我的目者
[00:04:19.840 --> 00:04:21.840]  我必不自缺乏
[00:04:21.840 --> 00:04:25.840]  祂使我躺臥在青草地上
[00:04:25.840 --> 00:04:28.840]  領我在可安潔的水邊
[00:04:28.840 --> 00:04:31.840]  祂使我的靈魂甦醒
[00:04:31.840 --> 00:04:34.840]  為自己的名引導我走而路
[00:04:34.840 --> 00:04:38.840]  我雖然行過死刃的幽谷
[00:04:38.840 --> 00:04:40.840]  也不怕遭害
[00:04:40.840 --> 00:04:42.840]  因為祢與我同在
[00:04:42.840 --> 00:04:46.840]  祢的像,祢的肝都安慰我
[00:04:46.840 --> 00:04:48.840]  在我的人面前
[00:04:48.840 --> 00:04:50.840]  祢為我擺設筵席
[00:04:50.840 --> 00:04:53.840]  祢擁有高了我的頭
[00:04:53.840 --> 00:04:55.840]  使我的福杯滿人
[00:04:55.840 --> 00:04:57.840]  我一生一世
[00:04:57.840 --> 00:05:00.840]  必有恩惠慈愛隨著我
[00:05:00.840 --> 00:05:04.840]  我且要住在耶和華的殿中
[00:05:04.840 --> 00:05:06.840]  直到永遠
[00:05:06.840 --> 00:05:08.840]  這個C篇只有六節
[00:05:08.840 --> 00:05:12.840]  第一節是整個C篇的引言
[00:05:12.840 --> 00:05:17.840]  而第六節我會認為是C篇的一個總結
[00:05:17.840 --> 00:05:21.840]  因為這兩節大衛都是向耶和華
[00:05:21.840 --> 00:05:23.840]  作出一個迎訊和一個宣告
[00:05:23.840 --> 00:05:25.840]  而第二至第五節
[00:05:25.840 --> 00:05:28.840]  我會將它分為三個段落
[00:05:28.840 --> 00:05:31.840]  亦都是今天我想和大家分享的訊息
[00:05:31.840 --> 00:05:33.840]  大衛一開始就宣告
[00:05:33.840 --> 00:05:35.840]  耶和華是我的目者
[00:05:35.840 --> 00:05:37.840]  我必不自缺乏
[00:05:37.840 --> 00:05:39.840]  大衛是一個牧羊人
[00:05:39.840 --> 00:05:42.840]  他說耶和華是他的目者
[00:05:42.840 --> 00:05:46.840]  如果我們今天在公司打工
[00:05:46.840 --> 00:05:47.840]  在職場打工
[00:05:47.840 --> 00:05:49.840]  在商業的社會打工
[00:05:49.840 --> 00:05:51.840]  每間公司有一個CEO
[00:05:51.840 --> 00:05:53.840]  一個老闆
[00:05:53.840 --> 00:05:55.840]  可能我們就會問
[00:05:55.840 --> 00:05:56.840]  誰是我的CEO呢
[00:05:56.840 --> 00:05:58.840]  阿神是我的CEO
[00:05:58.840 --> 00:06:00.840]  記不記得上幾個禮拜
[00:06:00.840 --> 00:06:03.840]  謝牧師和我們分享他的訊息
[00:06:03.840 --> 00:06:04.840]  誰是老闆
