
[00:00:00.000 --> 00:00:02.600]  弟兄姊妹 願你們平安
[00:00:02.600 --> 00:00:05.200]  讓我們同心一齊低頭禱告
[00:00:05.200 --> 00:00:08.800]  準備我們的心來領受上主的恩賢
[00:00:08.800 --> 00:00:11.960]  我們同心祈禱
[00:00:11.960 --> 00:00:14.200]  賜生命的主宰
[00:00:14.200 --> 00:00:17.800]  多謝祢 祢讓我們仍然有生命氣息
[00:00:17.800 --> 00:00:20.280]  仍然可以有這樣的自由空間
[00:00:20.280 --> 00:00:22.480]  我們一齊來敬拜
[00:00:22.480 --> 00:00:24.880]  雖然今晚我們不可能
[00:00:24.880 --> 00:00:26.760]  所有弟兄姊妹回來
[00:00:26.760 --> 00:00:30.280]  一起在禮堂裡面去敬拜
[00:00:30.280 --> 00:00:33.000]  但這個限制不阻礙我們的心
[00:00:33.000 --> 00:00:37.160]  我們願意在我們家接著直播
[00:00:37.160 --> 00:00:40.360]  我們一齊的同心合意的親近祢
[00:00:40.360 --> 00:00:41.960]  來敬拜祢
[00:00:41.960 --> 00:00:45.160]  求主祢讓我們有一個渴慕祢的心
[00:00:45.160 --> 00:00:48.440]  讓我們等一會接著祢的恩賢
[00:00:48.440 --> 00:00:52.840]  領命 得到祂的鼓勵 提醒
[00:00:52.840 --> 00:00:54.880]  願祢幫助我們
[00:00:54.880 --> 00:00:58.160]  無論聽的 講的 同德益全
[00:00:58.160 --> 00:01:02.400]  多謝祢 奉主耶穌的聖名 阿們
[00:01:24.880 --> 00:01:26.880]  (字幕:鄭文娟)
[00:01:55.120 --> 00:01:57.120]  第二個問題
[00:01:57.120 --> 00:01:59.120]  有一個人走來跟你說
[00:01:59.120 --> 00:02:03.920]  喂 一次得救其實不等於永遠得救
[00:02:03.920 --> 00:02:10.560]  所以你的得救是要視乎你的信心和行為的表現
[00:02:10.560 --> 00:02:16.080]  你聽到的時候 你覺得這樣的說法對還是錯
[00:02:16.080 --> 00:02:18.400]  又有另外一個人跟你說
[00:02:18.400 --> 00:02:22.480]  我們基督的信仰 強調的就是信心
[00:02:22.480 --> 00:02:25.520]  等於不需要理性
[00:02:25.520 --> 00:02:28.080]  理性是不重要的
[00:02:28.080 --> 00:02:32.080]  如果你聽到的時候 你覺得是對還是錯
[00:02:32.080 --> 00:02:35.280]  還有一個人走來跟你說
[00:02:35.280 --> 00:02:39.680]  作為信徒的你 你要努力的去聚會
[00:02:39.680 --> 00:02:42.880]  聖經這樣說 不可停止聚會
[00:02:42.880 --> 00:02:46.400]  還要奉獻 更加要侍奉
[00:02:46.400 --> 00:02:49.040]  如果你這樣做 做完這些事情
[00:02:49.040 --> 00:02:51.840]  你就是一個好的基督徒
[00:02:51.840 --> 00:02:53.520]  你聽到的時候
[00:02:53.520 --> 00:02:58.880]  你又會覺得是對還是錯這個教導
[00:02:58.880 --> 00:03:01.840]  若果你對我剛才以上的問題
[00:03:01.840 --> 00:03:04.880]  心裡的答案是答
[00:03:04.880 --> 00:03:07.600]  全部都是答非的話
[00:03:07.600 --> 00:03:10.080]  那我就告訴你
[00:03:10.080 --> 00:03:12.400]  你所認識的信仰
[00:03:12.400 --> 00:03:16.160]  那個真理的認識 都算不錯
[00:03:16.160 --> 00:03:19.360]  不過如果反過來 你在裡面剛才那幾條
[00:03:19.360 --> 00:03:21.760]  有其中一兩條是答
[00:03:21.760 --> 00:03:23.760]  是的話
[00:03:23.760 --> 00:03:26.640]  那你就真的要好好去想一想
[00:03:26.640 --> 00:03:28.400]  究竟我是不是真的很認識
[00:03:28.400 --> 00:03:32.960]  很清楚明白我所相信的基督信仰
[00:03:32.960 --> 00:03:35.200]  其實這個問題很重要
[00:03:35.200 --> 00:03:38.560]  如果我們搞不清楚的時候
[00:03:38.560 --> 00:03:42.000]  其實很容易被別人說著說著
[00:03:42.000 --> 00:03:45.440]  信以為真 被他誤導
[00:03:45.440 --> 00:03:48.400]  甚至令你的信心又動搖
[00:03:48.400 --> 00:03:52.720]  到時可能你偏離了那個純正的真理
[00:03:52.720 --> 00:03:55.200]  誤入歧途也不一定
[00:03:55.200 --> 00:03:57.120]  其實我們現在所身處的
[00:03:57.120 --> 00:03:59.600]  是一個資訊爆炸的年代
[00:03:59.600 --> 00:04:02.800]  其實知識真的可以隨手可得
[00:04:02.800 --> 00:04:04.720]  只要你懂得上網
[00:04:04.720 --> 00:04:08.000]  去那些有用的互聯網址
[00:04:08.000 --> 00:04:12.080]  你就可以找到很多很多有用的資料
[00:04:12.080 --> 00:04:14.960]  那你就可以很簡單很直接的
[00:04:14.960 --> 00:04:18.720]  就對你想要的那些想知的事物
[00:04:18.720 --> 00:04:21.520]  有很多很多豐富的了解
[00:04:21.520 --> 00:04:23.280]  其實甚至乎在聖經
[00:04:23.280 --> 00:04:26.480]  在一些屬靈的議題上都是一樣的
[00:04:26.480 --> 00:04:29.200]  其實你現在不用看很多聖經
[00:04:29.200 --> 00:04:31.680]  或者不用去圖書館
