
[00:00:00.000 --> 00:00:03.520]  今年是二零一九年
[00:00:03.520 --> 00:00:08.640]  今國的主日是第一個的主日
[00:00:08.640 --> 00:00:13.480]  在今天我很想和頂姐妹分享的題目是
[00:00:13.480 --> 00:00:15.480]  祈禱
[00:00:15.480 --> 00:00:17.720]  祈禱是很重要
[00:00:17.720 --> 00:00:20.240]  希望在新一年開始的時候
[00:00:20.240 --> 00:00:25.040]  我們眾人都回到一個很基本的操練
[00:00:25.040 --> 00:00:26.560]  很熟悉
[00:00:26.560 --> 00:00:30.280]  但也很可能有疏忽了的操練
[00:00:30.280 --> 00:00:32.280]  就是祈禱
[00:00:32.280 --> 00:00:36.160]  我們的主是一個祈禱人
[00:00:36.160 --> 00:00:40.800]  初期的教會是祈禱的教會
[00:00:40.800 --> 00:00:45.320]  所以讓我們在當中去學習這個功課
[00:00:45.320 --> 00:00:47.840]  我們每一個人在今年的裏面
[00:00:47.840 --> 00:00:51.040]  我們多些禱告的操練
[00:00:51.040 --> 00:00:56.640]  也都盼望我們的教會成為禱告的教會
[00:00:56.640 --> 00:01:00.720]  當我們的操練更多禱告的時候
[00:01:00.720 --> 00:01:02.720]  我們的靈命是活潑的
[00:01:02.720 --> 00:01:05.360]  我們經歷神是真實的
[00:01:05.360 --> 00:01:10.040]  我們對神的話語的掌握是更加的明確的
[00:01:10.040 --> 00:01:13.880]  當教會充滿了禱告的氣氛的時候
[00:01:13.880 --> 00:01:17.360]  整間的教會都是動起來
[00:01:17.360 --> 00:01:20.960]  都是充滿愛和很樂意去服侍
[00:01:20.960 --> 00:01:22.400]  周邊的人
[00:01:22.400 --> 00:01:26.520]  以致到更多的人來到我們中間
[00:01:26.520 --> 00:01:29.360]  更多的尖浸人
[00:01:29.360 --> 00:01:31.120]  不只是熟口熟面的
[00:01:31.120 --> 00:01:32.560]  更加是很多生面孔
[00:01:32.560 --> 00:01:35.040]  但是他們都很需要住的
[00:01:35.040 --> 00:01:36.560]  是哪些人帶來呢?
[00:01:36.560 --> 00:01:39.720]  是我們帶他們回來
[00:01:39.720 --> 00:01:42.560]  祈禱是一個很重要的操練
[00:01:42.560 --> 00:01:44.760]  是一個基本功
[00:01:44.760 --> 00:01:47.320]  希望我們都能夠在新的一年開始
[00:01:47.320 --> 00:01:52.600]  回到最基本的地方去實踐和學習
[00:01:52.600 --> 00:01:56.440]  所以今早我想和弟兄姊妹思想的題目是
[00:01:56.440 --> 00:02:00.480]  「祈禱出來的能力」
[00:02:00.480 --> 00:02:06.200]  大家是否相信祈禱是會帶來力量的呢?
[00:02:06.200 --> 00:02:08.640]  你是否真的相信呢?
[00:02:08.640 --> 00:02:10.440]  如果你真的相信的時候
[00:02:10.440 --> 00:02:12.840]  你有沒有去實踐呢?
[00:02:12.840 --> 00:02:18.720]  有沒有在實踐裏面又真的體會祈禱是沒有能力的呢?
[00:02:18.720 --> 00:02:20.560]  這個對於我們來說
[00:02:20.560 --> 00:02:24.360]  是一個需要反覆思量的課題
[00:02:24.360 --> 00:02:27.640]  求主今日來幫助我們
[00:02:27.640 --> 00:02:28.880]  正如我所說
[00:02:28.880 --> 00:02:32.040]  祈禱都是大家很熟悉的一個課題
[00:02:32.040 --> 00:02:33.960]  耳熟能詳
[00:02:33.960 --> 00:02:36.520]  但是當我們講祈禱的功課
[00:02:36.520 --> 00:02:37.520]  祈禱的操練的時候
[00:02:37.520 --> 00:02:42.040]  我都很想很簡單和大家溫一下
[00:02:42.040 --> 00:02:44.880]  甚麼叫做祈禱?
[00:02:44.880 --> 00:02:45.800]  如果有人問你
[00:02:45.800 --> 00:02:47.400]  你怎樣回答呢?
[00:02:47.400 --> 00:02:49.000]  甚麼叫做祈禱呢?
[00:02:49.000 --> 00:02:50.400]  簡單來說
[00:02:50.400 --> 00:02:56.280]  祈禱就是基督徒的心靈走向上帝
[00:02:56.280 --> 00:02:59.880]  就是我們的心靈向神闖開
[00:02:59.880 --> 00:03:03.080]  我們和神之間有交往
[00:03:03.080 --> 00:03:06.160]  我們與神有對話
[00:03:06.160 --> 00:03:09.680]  與神有溝通、有交通
[00:03:09.680 --> 00:03:13.600]  在那個時候我們帶出的是一種讚美的聲音
[00:03:13.600 --> 00:03:15.440]  有時是感恩的聲音
[00:03:15.440 --> 00:03:17.600]  有時是認罪的聲音
[00:03:17.600 --> 00:03:20.920]  有時就是甚麼都說給神聽
[00:03:20.920 --> 00:03:22.680]  就是這樣
[00:03:22.680 --> 00:03:24.120]  不過不要忘記
[00:03:24.120 --> 00:03:29.360]  祈禱也是一個雙向的歷程
