
[00:00:00.000 --> 00:00:03.460]  我找另一支本跟他說一聲 你要叫他看《撒慕爾記下》
[00:00:03.460 --> 00:00:07.280]  因為你沒看 回來後你不知道我說什麼
[00:00:07.280 --> 00:00:10.180]  因為在《撒慕爾記下》的經文是非常複雜
[00:00:10.180 --> 00:00:11.740]  比在《撒慕爾記上》更加複雜
[00:00:11.740 --> 00:00:13.340]  當然在猶太人來說
[00:00:13.340 --> 00:00:15.660]  《撒慕爾記上》是一卷書來的
[00:00:15.660 --> 00:00:19.140]  只不過來到和話本中文的翻譯就將它分了兩卷
[00:00:19.140 --> 00:00:23.140]  但是很明顯地進入到《撒慕爾記下》的第一章的經文裏面
[00:00:23.140 --> 00:00:27.320]  你會見到所用的筆法和記載的東西
[00:00:27.320 --> 00:00:30.120]  是有和《撒上》有所不同的
[00:00:30.120 --> 00:00:35.320]  我們今天試圖從《撒慕爾記下》的第一章到三到四章
[00:00:35.320 --> 00:00:38.760]  去說一個題目 就是說一個王者的品德
[00:00:38.760 --> 00:00:42.520]  跟你另一個頂尖姐妹說 你將來都要做王
[00:00:42.520 --> 00:00:48.360]  你說了她不相信 等一下有經文告訴你的
[00:00:48.360 --> 00:00:52.220]  我們在《撒慕爾記下》第一章三到四章
[00:00:52.220 --> 00:00:54.380]  你一邊看的時候 你會開始問一個問題
[00:00:54.380 --> 00:00:57.020]  究竟作者想做些什麼
[00:00:57.020 --> 00:00:58.800]  究竟想說些什麼
[00:00:58.800 --> 00:01:00.900]  究竟為什麼要記載這個事情
[00:01:00.900 --> 00:01:05.480]  我們下星期還要看第五第六章 你會更加覺得奇怪
[00:01:05.480 --> 00:01:08.580]  為什麼會記載一個這樣的事蹟
[00:01:08.580 --> 00:01:16.300]  究竟對整個皇朝的歷史有什麼關係
[00:01:16.300 --> 00:01:19.720]  這個是被人撲朔迷離的
[00:01:19.720 --> 00:01:22.400]  我們在讀經的時候 究竟我們要問
[00:01:22.400 --> 00:01:26.260]  為什麼好像一些不太相關的資料
[00:01:26.260 --> 00:01:30.340]  會放在一起 這是一個很耐人尋味的經文
[00:01:30.340 --> 00:01:33.280]  但我們在這些經文裏面
[00:01:33.280 --> 00:01:39.600]  最主要要看到的是 究竟大魏皇朝的合法性在哪裡
[00:01:39.600 --> 00:01:44.340]  作者想要交代的 大魏不是一個謀朝篡位
[00:01:44.340 --> 00:01:50.960]  或者他是因為對方 索羅王死了就自立為王
[00:01:50.960 --> 00:01:56.080]  因為同一個時間 也有索羅的兒子伊斯波切
[00:01:56.080 --> 00:02:00.640]  是被擁押為王的 究竟兩個的皇朝同時存在
[00:02:00.640 --> 00:02:05.400]  哪個合法呢 這個也是一些經文需要交代的事情
[00:02:05.400 --> 00:02:12.280]  而大魏怎樣善待前朝的人 顯示了那種皇者的品德
[00:02:12.280 --> 00:02:16.520]  又更加我們看到 政治是非常之複雜的
[00:02:16.520 --> 00:02:23.920]  一個仁者之君 處理政治是比非人者更難
[00:02:23.920 --> 00:02:28.100]  我很清楚 這個是很明顯的事情
[00:02:28.100 --> 00:02:31.480]  我們知道一說到政治就很複雜
[00:02:31.480 --> 00:02:35.320]  但其實有些人就說我們不參與政治
[00:02:35.320 --> 00:02:37.260]  特別是浸信會 我們在說政教分離
[00:02:37.260 --> 00:02:40.980]  請留意 最近對浸信會的政教分離的評論
[00:02:40.980 --> 00:02:43.320]  是一些很錯謬的評論
[00:02:43.320 --> 00:02:48.840]  我們浸信會在說政教分離 並不是等於政教分割
[00:02:48.840 --> 00:02:56.480]  如果你是在浸禮班的弟兄姊妹 我們已經重申了
[00:02:56.480 --> 00:02:59.920]  我們的政教分離真正的意義在哪裏
[00:02:59.920 --> 00:03:04.080]  究竟弟兄姊妹個人身份 牧師個人身份
[00:03:04.080 --> 00:03:08.000]  可不可以參政呢 浸信會是容許的
[00:03:08.000 --> 00:03:12.700]  不過我們不會在教會裏面發動任何的政治的議題
[00:03:12.700 --> 00:03:14.880]  這個就是在說政教分離的問題
[00:03:14.880 --> 00:03:19.260]  我們和其他宗派很不一樣 譬如說
[00:03:19.260 --> 00:03:24.040]  和宣道會 播道會那種對政治和宗教的看法不一樣
[00:03:24.040 --> 00:03:27.320]  天主教是政教合一的 弟兄姊妹請你留意
[00:03:27.320 --> 00:03:31.440]  為甚麼先前陳日君可以用一個主教的身份
[00:03:31.440 --> 00:03:33.420]  去說這麼多對政治的評論呢
[00:03:33.420 --> 00:03:35.860]  因為天主教是主張政教合一的
[00:03:35.860 --> 00:03:38.780]  但我們浸信會在說政教分離
[00:03:38.780 --> 00:03:44.420]  但不等於我們不參與 不關心政治的問題
[00:03:44.420 --> 00:03:46.680]  但當然一說到政治就很複雜的
[00:03:46.680 --> 00:03:49.500]  很複雜的情況下 我們日常人就說
[00:03:49.500 --> 00:03:53.040]  不要參與 不要碰 不要管
[00:03:53.040 --> 00:03:54.740]  是不是這樣呢 我想說
[00:03:54.740 --> 00:03:57.100]  你家裏也有政治的
[00:03:57.100 --> 00:04:00.460]  即是你家裏也有政治手段的 請你記清楚
[00:04:00.460 --> 00:04:02.960]  所以有人的地方就是這麼複雜
[00:04:02.960 --> 00:04:06.420]  不如我們去學習如何面對好逃避
[00:04:06.420 --> 00:04:10.600]  如果你要逃避的話 就算做宅男宅女
[00:04:10.600 --> 00:04:16.540]  都是複雜的 我想告訴你 是你媽媽替你擔憂的
[00:04:16.540 --> 00:04:18.820]  我們見到在大衛的皇朝裏面
[00:04:18.820 --> 00:04:20.860]  是面對非常複雜的事件
[00:04:20.860 --> 00:04:24.660]  如何可以去處理呢 如何去面對呢
[00:04:24.660 --> 00:04:27.500]  這個是值得我們學習的事情
[00:04:27.500 --> 00:04:28.980]  當然我們看到第一方面
[00:04:28.980 --> 00:04:32.240]  這裏提及到王者已得報怨
[00:04:32.240 --> 00:04:35.380]  因為很明顯的 你在聖經裏面看到
[00:04:35.380 --> 00:04:38.920]  當大衛聽到蘇羅的死訊
[00:04:38.920 --> 00:04:42.560]  追殺了他十多年的這個人
[00:04:42.560 --> 00:04:47.100]  你的敵人的死訊 你聽到他的死訊
[00:04:47.100 --> 00:04:48.440]  你的態度應該是怎樣呢
[00:04:48.440 --> 00:04:50.840]  很自然地當然是舉杯同慶
[00:04:50.840 --> 00:04:54.420]  今晚吃大餐 開始甩冷 是不是應該是這樣
[00:04:54.420 --> 00:04:56.840]  但是你看到《撒末爾記》下第二章
[00:04:56.840 --> 00:04:59.360]  第一章11節到12節
[00:04:59.360 --> 00:05:02.860]  大衛的反應不是這樣
[00:05:02.860 --> 00:05:05.320]  當然 我有講《撒末爾記》上
