
[00:00:00.000 --> 00:00:03.000]  各位鼎姊妹,早晨!
[00:00:03.000 --> 00:00:05.500]  大家最近好嗎?
[00:00:05.500 --> 00:00:08.000]  是不是生活無憂啊?
[00:00:08.000 --> 00:00:11.500]  真是有點猶豫啊,OK?
[00:00:11.500 --> 00:00:15.500]  我不知道憂慮究竟是你的好朋友
[00:00:15.500 --> 00:00:18.000]  還是你跟他不是很熟的呢?
[00:00:18.000 --> 00:00:22.500]  憂慮已經成為現代人生活的一部分
[00:00:22.500 --> 00:00:26.500]  幾個使人憂慮的原因,我歸納成四點
[00:00:26.500 --> 00:00:29.500]  第一,為著自己的安全或者幸福
[00:00:29.500 --> 00:00:32.500]  受到威脅,以致你很擔心
[00:00:32.500 --> 00:00:36.500]  第二,可能面對著一些又大又難的事
[00:00:36.500 --> 00:00:39.500]  你很難去解決
[00:00:39.500 --> 00:00:46.500]  第三,可能你很擔心你的朋友、親人的幸福安全
[00:00:46.500 --> 00:00:50.500]  第四,可能對於將來的事情
[00:00:50.500 --> 00:00:53.500]  你不知道會怎樣去發展
[00:00:53.500 --> 00:00:57.500]  特別對於未來可能會有一個負面的假設
[00:00:57.500 --> 00:01:00.500]  使我們開始憂慮
[00:01:00.500 --> 00:01:06.500]  對基督徒來說,憂慮其實是一個最狡猾的敵人
[00:01:06.500 --> 00:01:10.500]  他會不知不覺地進入我們的心裡
[00:01:10.500 --> 00:01:14.500]  奪取了我們的喜樂和平安
[00:01:14.500 --> 00:01:16.500]  也摧毀了我們的盼望
[00:01:16.500 --> 00:01:22.500]  憂慮可以說是我們屬靈生命裡頭號的敵人
[00:01:22.500 --> 00:01:27.500]  我們很容易被憂慮佔據了我們的生命
[00:01:27.500 --> 00:01:31.500]  憂慮更加令我們無法去讚美神
[00:01:31.500 --> 00:01:34.500]  我不知道剛才大家唱詩歌的時候
[00:01:34.500 --> 00:01:38.500]  每當我們唱到一些讚美神的歌詞的時候
[00:01:38.500 --> 00:01:41.500]  大家是不是笑著唱呢?
[00:01:41.500 --> 00:01:45.500]  很多時候我看到大家愁眉心鎖
[00:01:45.500 --> 00:01:47.500]  去唱一首讚美詩
[00:01:47.500 --> 00:01:51.500]  究竟在反映我們內心是怎樣一回事呢?
[00:01:51.500 --> 00:01:55.500]  憂慮使得我們好像活在一個幽愁的陰影裡
[00:01:55.500 --> 00:01:59.500]  讓我們好像看不見烏雲上的陽光
[00:01:59.500 --> 00:02:04.500]  更甚的,憂慮使得我們這個活潑的生命
[00:02:04.500 --> 00:02:08.500]  受到虧損而不能好好地去成長
[00:02:08.500 --> 00:02:11.500]  所以剛才主席為我們去看
[00:02:11.500 --> 00:02:14.500]  今天我們要看這段經文的二十五節
[00:02:14.500 --> 00:02:16.500]  他再一次提醒我們
[00:02:16.500 --> 00:02:22.500]  所以我告訴你們不要為生命憂慮吃什麼,喝什麼
[00:02:22.500 --> 00:02:25.500]  為身體憂慮穿什麼
[00:02:25.500 --> 00:02:28.500]  首先我們必須要留意這一節
[00:02:28.500 --> 00:02:32.500]  頭兩個字是用「所以」來做開始
[00:02:32.500 --> 00:02:37.500]  提醒我們,這不是一個全新的討論的開始
[00:02:37.500 --> 00:02:42.500]  接下來所講的憂慮其實是承接前文
[00:02:42.500 --> 00:02:44.500]  在二十四節裡面
[00:02:44.500 --> 00:02:47.500]  這一節的經文我們一起讀出
[00:02:47.500 --> 00:02:48.500]  預備,一起
[00:02:48.500 --> 00:02:51.500]  一個人不能侍奉兩個主
