
[00:00:00.000 --> 00:00:01.900]  鼎智妹主內平安
[00:00:01.900 --> 00:00:08.240]  最近31歲的免書廠牧人朱克伯格
[00:00:08.240 --> 00:00:09.080]  Sugarbread
[00:00:09.080 --> 00:00:12.200]  和她30歲的華裔太太Priscilla Chan
[00:00:12.200 --> 00:00:15.240]  在12月3號透過Facebook
[00:00:15.240 --> 00:00:20.940]  分享了她有個女兒出世的開心
[00:00:20.940 --> 00:00:24.520]  並且宣佈在她們有生之年
[00:00:24.520 --> 00:00:29.360]  願意捐出99%Facebook的股份作爲行善
[00:00:29.360 --> 00:00:31.360]  我想大家很多人都在報紙
[00:00:31.360 --> 00:00:34.160]  還是你的Facebook上看到
[00:00:34.160 --> 00:00:38.920]  初步估計金額達到450億美元
[00:00:38.920 --> 00:00:43.040]  即是結合3510億港元
[00:00:43.040 --> 00:00:44.400]  爲什麼他要這麼做呢
[00:00:44.400 --> 00:00:49.680]  因爲他說希望爲女兒建構一個更美好的世界
[00:00:49.680 --> 00:00:51.560]  Sugarbread在Facebook發佈
[00:00:51.560 --> 00:00:56.040]  這個夫婦兩個人寫給他的女兒的一封公開信
[00:00:56.040 --> 00:00:59.160]  講述了對女兒和世界的期望
[00:00:59.160 --> 00:01:03.400]  他說現在人類正面對着貧窮
[00:01:03.400 --> 00:01:06.440]  疾病和能源等等的危機
[00:01:06.440 --> 00:01:09.040]  他希望藉着這些金錢和捐獻
[00:01:09.040 --> 00:01:12.440]  能夠打造一個更美好的世界
[00:01:12.440 --> 00:01:15.960]  使他的女兒將來在這個美好的世界裏
[00:01:15.960 --> 00:01:19.800]  健康地成長
[00:01:19.800 --> 00:01:23.080]  我相信不是有太多人
[00:01:23.080 --> 00:01:26.600]  像Sugarbread一樣富可敵國
[00:01:26.600 --> 00:01:30.040]  不是像Sugarbread一樣有這麼豐厚的財力
[00:01:30.040 --> 00:01:34.760]  和這麼強大的願望去改變世界
[00:01:34.760 --> 00:01:37.320]  我不敢說在在有沒有
[00:01:37.320 --> 00:01:40.720]  但確實是很少這樣的人
[00:01:40.720 --> 00:01:45.320]  不過我卻是深信每一位的父母
[00:01:45.320 --> 00:01:49.440]  都希望自己的子女能夠健康成長
[00:01:49.440 --> 00:01:50.440]  生活快樂
[00:01:50.440 --> 00:01:52.560]  在在的父母
[00:01:52.560 --> 00:01:54.280]  很多人一定額頭了
[00:01:54.280 --> 00:01:55.880]  額行頭
[00:01:55.880 --> 00:01:57.680]  一定會是這樣的
[00:01:57.680 --> 00:02:01.080]  所以爲人父母的在寶寶出生之後
[00:02:01.080 --> 00:02:03.280]  甚至在開始懷孕期間
[00:02:03.280 --> 00:02:05.600]  就已經很小心自己的食用
[00:02:05.600 --> 00:02:07.440]  那些媽媽要喫什麼
[00:02:07.440 --> 00:02:08.160]  怎樣呢
[00:02:08.160 --> 00:02:09.280]  不知道喫哪些
[00:02:09.280 --> 00:02:11.520]  令到女兒的皮膚會好一點
[00:02:11.520 --> 00:02:13.440]  已經開始這樣去做
[00:02:13.440 --> 00:02:15.880]  和女兒做美容
