
[00:00:00.000 --> 00:00:02.440]  有一個故事很有意思
[00:00:02.440 --> 00:00:06.440]  有一隻烏龜很羨慕在池塘裏面的兩隻鴨
[00:00:06.440 --> 00:00:08.840]  因爲這兩隻鴨它又能夠游泳
[00:00:08.840 --> 00:00:11.160]  又能夠飛到很遠的地方
[00:00:11.160 --> 00:00:15.200]  當這隻烏龜聽到這兩隻鴨在聊天的時候
[00:00:15.200 --> 00:00:18.360]  講到它們見到多美麗多美麗的風景的時候
[00:00:18.360 --> 00:00:20.080]  這隻烏龜就很羨慕
[00:00:20.080 --> 00:00:21.280]  它很想有一天
[00:00:21.280 --> 00:00:22.760]  如果能夠像它們一樣
[00:00:22.760 --> 00:00:25.080]  去到不同的地方去旅行
[00:00:25.080 --> 00:00:28.560]  去看看美麗的大自然多好
[00:00:28.560 --> 00:00:32.160]  這兩隻鴨知道這隻烏龜
[00:00:32.160 --> 00:00:35.120]  它有這個願望的時候
[00:00:35.120 --> 00:00:40.120]  它們就決定去幫這隻烏龜去達成它的願望
[00:00:40.120 --> 00:00:41.760]  這兩隻鴨就和烏龜說
[00:00:41.760 --> 00:00:42.920]  它說不如這樣
[00:00:42.920 --> 00:00:44.200]  我知道你有這個願望
[00:00:44.200 --> 00:00:45.320]  我幫一下你
[00:00:45.320 --> 00:00:47.360]  我們嘗試用一條樹枝
[00:00:47.360 --> 00:00:49.240]  我們每人咬着一邊
[00:00:49.240 --> 00:00:52.480]  然後你就咬着這個樹枝的中間
[00:00:52.480 --> 00:00:55.280]  我們兩隻鴨就可以將你帶到天上
[00:00:55.280 --> 00:00:57.640]  一起去翱翔天際
[00:00:57.640 --> 00:01:01.240]  去看看這個世界有多麼美麗
[00:01:01.240 --> 00:01:03.240]  烏龜聽到的時候就很開心
[00:01:03.240 --> 00:01:04.160]  它說好啊好啊
[00:01:04.160 --> 00:01:07.280]  於是乎它就立刻咬着這個樹枝
[00:01:07.280 --> 00:01:11.480]  就和這兩隻鴨預備飛上天上
[00:01:11.480 --> 00:01:12.480]  在飛之前
[00:01:12.480 --> 00:01:14.960]  這兩隻鴨去叮囑烏龜
[00:01:14.960 --> 00:01:17.200]  你記得在飛行的時候
[00:01:17.200 --> 00:01:18.920]  有一件事你一定不可以做的
[00:01:18.920 --> 00:01:20.520]  你一定不可以說話
[00:01:20.520 --> 00:01:22.480]  要不然後果自負
[00:01:22.480 --> 00:01:24.360]  接着它們就起飛了
[00:01:24.360 --> 00:01:26.080]  兩隻鴨帶着烏龜
[00:01:26.080 --> 00:01:29.120]  飛越了很多的叢林山嶺
[00:01:29.120 --> 00:01:31.160]  看到很美的風景
[00:01:31.160 --> 00:01:33.720]  烏龜看到這麼美的風景的時候
[00:01:33.720 --> 00:01:35.320]  它有幾次差點忍不住
[00:01:35.320 --> 00:01:37.080]  很想叫出來
[00:01:37.080 --> 00:01:38.800]  實在太美麗了
[00:01:38.800 --> 00:01:41.320]  但它記得這兩隻鴨對它的叮囑
[00:01:41.320 --> 00:01:42.640]  它都忍住
[00:01:42.640 --> 00:01:43.960]  就在這個時候
[00:01:43.960 --> 00:01:45.840]  有一隻烏鴉飛過
[00:01:45.840 --> 00:01:46.640]  它很驚訝
[00:01:46.640 --> 00:01:49.440]  爲什麼這隻烏龜能夠飛到天上
[00:01:49.440 --> 00:01:51.000]  從來都沒見過這樣的
[00:01:51.000 --> 00:01:52.560]  於是烏鴉就說
[00:01:52.560 --> 00:01:56.600]  這隻烏龜一定是烏龜裏面的國王
[00:01:56.600 --> 00:01:57.680]  烏龜聽到的時候
[00:01:57.680 --> 00:01:59.680]  心裏面心花怒放
