
[00:00:00.000 --> 00:00:03.800]  是很高興今天可以和大家分享上帝的話語
[00:00:03.800 --> 00:00:08.800]  今天我想帶大家去看《約翰一書》
[00:00:08.800 --> 00:00:12.300]  《約翰一書》是一封信
[00:00:12.300 --> 00:00:15.800]  而這封信是使徒約翰寫的
[00:00:15.800 --> 00:00:19.800]  就是那位寫了約翰福音的約翰
[00:00:19.800 --> 00:00:22.800]  約翰在寫完福音書後沒多久
[00:00:22.800 --> 00:00:28.800]  就寫了這封信給他牧羊的耳筆所教會
[00:00:28.800 --> 00:00:30.800]  當你讀這封信的時候
[00:00:30.800 --> 00:00:35.800]  你會發現約翰用了很多約翰福音的詞語
[00:00:35.800 --> 00:00:38.800]  因為他想你讀這封信的時候
[00:00:38.800 --> 00:00:41.800]  回想起約翰福音
[00:00:41.800 --> 00:00:44.800]  就好像在Rap的歌曲裡
[00:00:44.800 --> 00:00:47.800]  歌手會呼應之前的歌曲
[00:00:47.800 --> 00:00:50.800]  來創造一些連貫性
[00:00:50.800 --> 00:00:52.800]  約翰就在《約翰一書》裡
[00:00:52.800 --> 00:00:56.800]  透過使用相似的詞語
[00:00:56.800 --> 00:00:59.800]  讓你回想起約翰福音
[00:00:59.800 --> 00:01:03.800]  當你看這封信的時候
[00:01:03.800 --> 00:01:04.800]  你會發現
[00:01:04.800 --> 00:01:10.800]  裡面有一個非常清晰的書信結構
[00:01:10.800 --> 00:01:14.800]  有一個隱言、證文、結語
[00:01:14.800 --> 00:01:21.800]  隱言和結語可以很明確地分辨出來
[00:01:21.800 --> 00:01:25.800]  是因為我們可以看到一個關鍵詞
[00:01:26.800 --> 00:01:28.800]  就是這個
[00:01:28.800 --> 00:01:32.800]  把這些事寫給你們
[00:01:32.800 --> 00:01:34.800]  把這些話寫給你們
[00:01:34.800 --> 00:01:37.800]  這個關鍵詞同時出現在
[00:01:37.800 --> 00:01:41.800]  隱言第一章和結語第五章
[00:01:41.800 --> 00:01:46.800]  它就像前後呼應一樣包圍整封信
[00:01:46.800 --> 00:01:50.800]  當我們讀這封信的時候
[00:01:50.800 --> 00:01:53.800]  我們通常都會問一個問題
[00:01:54.800 --> 00:01:56.800]  為什麼要寫這封信呢?
[00:01:56.800 --> 00:01:58.800]  為什麼要寫這封信呢?
[00:01:58.800 --> 00:02:01.800]  約翰在隱言和結語裡面
[00:02:01.800 --> 00:02:04.800]  是有跟我們說的
[00:02:04.800 --> 00:02:06.800]  在結語裡面
[00:02:06.800 --> 00:02:10.800]  約翰就在第五章第十三節說
[00:02:10.800 --> 00:02:13.800]  我把這些話寫給你們
[00:02:13.800 --> 00:02:16.800]  信奉上帝兒子之名的人
[00:02:16.800 --> 00:02:19.800]  要讓你們知道自己有永生
[00:02:20.800 --> 00:02:24.800]  他要信徒知道自己有永生
[00:02:24.800 --> 00:02:29.800]  為什麼約翰要他們知道自己有永生呢?
[00:02:29.800 --> 00:02:34.800]  我們看看之後的第十九節就會知道
[00:02:34.800 --> 00:02:40.800]  全世界都服在那邪惡者的權勢之下
[00:02:40.800 --> 00:02:43.800]  這一句話的意思就是
[00:02:43.800 --> 00:02:48.800]  有一場戰爭現在正在進行
[00:02:49.800 --> 00:02:51.800]  一場罪惡的叛逆
[00:02:51.800 --> 00:02:57.800]  正因為全世界都服在那邪惡者的權勢之下
[00:02:57.800 --> 00:03:01.800]  信徒將會遇到苦難
[00:03:01.800 --> 00:03:05.800]  因為他們在黑暗中見證真剛
[00:03:05.800 --> 00:03:09.800]  而這個黑暗是恨護剛的
[00:03:09.800 --> 00:03:13.800]  我們知道當時確實是這樣的
[00:03:13.800 --> 00:03:17.800]  約翰寫信的對象
[00:03:17.800 --> 00:03:21.800]  這個教會正面臨危機
[00:03:21.800 --> 00:03:24.800]  有一群人離開了教會
[00:03:24.800 --> 00:03:28.800]  否認耶穌是上帝的兒子
[00:03:28.800 --> 00:03:35.800]  並在那些對教會保持忠心的信徒當中挑起敵意
[00:03:35.800 --> 00:03:41.800]  苦難也在約翰身上非常真實
[00:03:41.800 --> 00:03:45.800]  他寫這封信的時候是在拔摩島
[00:03:46.800 --> 00:03:48.800]  不是去玩不是去旅遊
[00:03:48.800 --> 00:03:53.800]  而是因為他被流放到那裡
[00:03:53.800 --> 00:03:57.800]  約翰要鼎姐妹知道他們有永生
[00:03:57.800 --> 00:03:59.800]  為什麼呢?
[00:03:59.800 --> 00:04:05.800]  因為知道有永生能夠鼓勵他們在苦難中站立得穩
[00:04:05.800 --> 00:04:07.800]  忠心至死
[00:04:07.800 --> 00:04:12.800]  無論發生什麼事都不要妥協
[00:04:12.800 --> 00:04:15.800]  堅持到底直到最後
[00:04:17.800 --> 00:04:22.800]  除了要信徒知道他們有永生之外
[00:04:22.800 --> 00:04:27.800]  約翰也希望他們知道另一件事
[00:04:27.800 --> 00:04:30.800]  在經歷苦難的同時
[00:04:30.800 --> 00:04:35.800]  他們將會與父與他兒子耶穌基督
[00:04:35.800 --> 00:04:39.800]  以及與其他悔改的罪人的團契當中
[00:04:39.800 --> 00:04:42.800]  體驗到極大的喜樂
[00:04:43.800 --> 00:04:51.800]  他在信的開頭就是我們剛剛提到前後呼應的結構裡面提到這一點
[00:04:51.800 --> 00:04:56.800]  在第一章三至四節裡面他說
[00:04:56.800 --> 00:05:02.800]  我們把所看見所聽見的傳揚給你們
[00:05:02.800 --> 00:05:06.800]  為要使你們也與我們有團契
[00:05:07.800 --> 00:05:13.800]  而我們的團契是與父和他兒子耶穌基督所共有的
[00:05:13.800 --> 00:05:16.800]  我們把這些事寫給你們
[00:05:16.800 --> 00:05:21.800]  使我們的喜樂得以滿足
