
[00:00:00.000 --> 00:00:08.000]  最近大家都恢復返出外旅遊,香港人都好鍾意去外地旅遊。
[00:00:08.000 --> 00:00:13.000]  每一次坐飛機嘅時候,唔知大家有冇留意到,
[00:00:13.000 --> 00:00:18.000]  當飛機預備要起飛嘅時候,就會有機組人員示範,
[00:00:18.000 --> 00:00:24.000]  或者而家好多會播放一啲飛行嘅安全示範短片。
[00:00:24.000 --> 00:00:28.000]  講到飛機假如有意外發生嘅時候,
[00:00:28.000 --> 00:00:31.000]  個個氧氣面罩就會跌落嚟嘅。
[00:00:31.000 --> 00:00:38.000]  咁機組人員就特別提醒,先要自己戴咗個面罩先,
[00:00:38.000 --> 00:00:42.000]  然後先至協助其他人戴。
[00:00:42.000 --> 00:00:48.000]  因為先要照顧好自己,先能夠照顧別人。
[00:00:48.000 --> 00:00:54.000]  今日就讓我哋一齊喺聖經詩篇139篇裏面,
[00:00:54.000 --> 00:01:00.000]  感受一下我究竟係點樣被上帝照顧好嘅呢?
[00:01:00.000 --> 00:01:05.000]  以至我可以預備好去照顧別人。
[00:01:05.000 --> 00:01:12.000]  首先,上帝係全方位咁樣去關顧住我喎。
[00:01:12.000 --> 00:01:15.000]  點樣全方位去關顧我呢?
[00:01:15.000 --> 00:01:19.000]  上帝喺生活裏面去關顧我。
[00:01:19.000 --> 00:01:26.000]  頭先嘅經文裏面講到,上帝知道我,佢認識我。
[00:01:26.000 --> 00:01:32.000]  細察我,好有深度嘅去認識我,知道我。
[00:01:32.000 --> 00:01:37.000]  呢一段嘅經文我哋首先去睇第一節到第六節。
[00:01:37.000 --> 00:01:41.000]  耶和華,你已經監察我,認識我。
[00:01:41.000 --> 00:01:44.000]  我坐下,我起來,你都曉得。
[00:01:44.000 --> 00:01:47.000]  你從遠處知道我的疑念。
[00:01:47.000 --> 00:01:50.000]  我行路,我躺我,你都細察。
[00:01:50.000 --> 00:01:53.000]  你也深知我一切所行的。
[00:01:53.000 --> 00:01:58.000]  耶和華,我是頭上嘅話,你沒有一句不知道的。
[00:01:58.000 --> 00:02:04.000]  你喺我前後環繞我,安守喺我身上。
[00:02:04.000 --> 00:02:07.000]  這樣嘅知識奇妙,是我不能測的。
[00:02:07.000 --> 00:02:10.000]  至高,是我不能及的。
[00:02:10.000 --> 00:02:13.000]  詩人好仔細咁話畀我哋聽,
[00:02:13.000 --> 00:02:16.000]  喺佢嘅日常真實生活裏面,
[00:02:16.000 --> 00:02:23.000]  上帝係點樣全方位咁樣去關顧住呢一個我。
[00:02:23.000 --> 00:02:26.000]  上帝喺生活裏面去關顧我。
[00:02:26.000 --> 00:02:30.000]  詩人表達,上帝點樣監察佢,認識佢,
[00:02:30.000 --> 00:02:35.000]  包括佢生活作息,即係坐下,起來。
[00:02:35.000 --> 00:02:39.000]  行動或者休息,即係出外或者係躺我。
[00:02:39.000 --> 00:02:44.000]  上帝都喺度,冇離場。
[00:02:44.000 --> 00:02:48.000]  詩人做嘅每一件事,佢嘅每個思想,
[00:02:48.000 --> 00:02:53.000]  每句講嘅說話,上帝都知道。
[00:02:53.000 --> 00:02:59.000]  上帝甚至會前後擁抱住我,即係前後環繞我。
[00:02:59.000 --> 00:03:02.000]  上帝點樣同我面對面呢?
[00:03:02.000 --> 00:03:08.000]  我哋可以想像下,上帝佢喺前面迎面而來,
[00:03:08.000 --> 00:03:13.000]  向我行過嚟,然後去擁抱我。
[00:03:13.000 --> 00:03:17.000]  佢又喺後面伸手出嚟去擁住我。
[00:03:17.000 --> 00:03:22.000]  仲有,佢會搭隻手喺我身上。
[00:03:22.000 --> 00:03:25.000]  好具體,好有畫面。
[00:03:25.000 --> 00:03:31.000]  呢度講到,上帝對我呢一份具體嘅關顧,
[00:03:31.000 --> 00:03:36.000]  唔係好遠距離嘅,佢唔係高高在上喺天上,
[00:03:36.000 --> 00:03:40.000]  而係好親切嘅,好實在嘅。
[00:03:40.000 --> 00:03:45.000]  我私人明白到,上帝就係咁樣介入佢嘅生活裏面,
[00:03:45.000 --> 00:03:50.000]  而唔單只係一條嘅神學上嘅一條方程式,
[00:03:50.000 --> 00:03:53.000]  或者頭腦上面嘅認知。
[00:03:53.000 --> 00:03:56.000]  私人係好確實咁感覺到,
[00:03:56.000 --> 00:03:59.000]  喺佢裏面嘅神,唔係抽象嘅,
[00:03:59.000 --> 00:04:02.000]  唔係一個觀念裏面嘅神嚟嘅,
[00:04:02.000 --> 00:04:08.000]  而係同我有關係嘅一個神。
[00:04:08.000 --> 00:04:13.000]  對住我意識到,上帝喺我生活裏面嗰種嘅實在,
[00:04:13.000 --> 00:04:17.000]  同埋咁埋身咁樣去關顧我。
[00:04:17.000 --> 00:04:23.000]  私人有咁樣嘅感受,佢就由衷感喺心裏面發出讚美,
[00:04:23.000 --> 00:04:27.000]  喺第六節嗰度話,咁樣嘅知識奇妙,
[00:04:27.000 --> 00:04:32.000]  係我唔能夠測透嘅,至高係我唔能夠及嘅。
[00:04:32.000 --> 00:04:35.000]  呢個亦都係私人喺呢篇詩篇裏面,
[00:04:35.000 --> 00:04:40.000]  第一次向神有感而發嘅第一個嘅讚美。
[00:04:40.000 --> 00:04:46.000]  私人繼續講到,上帝點樣全方位嘅關顧佢呢?
[00:04:46.000 --> 00:04:50.000]  上帝係隨時隨地咁樣關顧住我,
