
[00:00:00.000 --> 00:00:03.040]  今日的題目是福音轉化關係
[00:00:03.040 --> 00:00:06.360]  在開始的時候,我會展示第一張POWERPOINT
[00:00:06.360 --> 00:00:11.080]  美國的時代雜誌以從未如此糟糕的一年
[00:00:11.080 --> 00:00:14.560]  THE WORST YEAR EVER來形容2020年
[00:00:14.560 --> 00:00:20.920]  大概都是指新冠肺炎令到今年整個世界都癱瘓
[00:00:20.920 --> 00:00:25.160]  我想病毒固然是恐怖
[00:00:25.160 --> 00:00:27.920]  因爲它傳染力非常之快
[00:00:28.120 --> 00:00:30.640]  最近還聽說會變種
[00:00:30.640 --> 00:00:33.000]  那個傳染力是增加的
[00:00:33.000 --> 00:00:39.520]  但是我想令到全世界今年都陷入極度的低落裏面
[00:00:39.520 --> 00:00:42.480]  應該不單止是疫情本身
[00:00:42.480 --> 00:00:45.200]  而是我們今年的裏面
[00:00:45.200 --> 00:00:50.080]  我們目睹整個世界的秩序崩壞
[00:00:50.080 --> 00:00:53.640]  加上人的罪的自私
[00:00:54.160 --> 00:00:58.440]  令到整個地球村裏面的人都苦不堪言
[00:00:58.440 --> 00:01:00.440]  我們數一數
[00:01:00.440 --> 00:01:04.400]  昨晚纔看完2020年的世界大事回顧
[00:01:04.400 --> 00:01:07.200]  年初的中美貿易戰
[00:01:07.200 --> 00:01:12.760]  接着就開始病毒源頭的指馬互相
[00:01:12.760 --> 00:01:16.800]  接着各國政府應對疫情不力
[00:01:16.800 --> 00:01:19.200]  就帶來市民的抱怨
[00:01:19.200 --> 00:01:20.600]  示威遊行
[00:01:20.960 --> 00:01:24.240]  接着沒多久就美國的種族仇恨
[00:01:24.240 --> 00:01:28.080]  後來就到年尾的大選的糾紛
[00:01:28.080 --> 00:01:31.280]  還有香港的政治氣氛改變
[00:01:31.280 --> 00:01:33.960]  造成很多人的壓力緊張
[00:01:33.960 --> 00:01:38.160]  其實我想今年裏面
[00:01:38.160 --> 00:01:39.560]  我們大家都知道
[00:01:39.560 --> 00:01:41.480]  其實早就知道有一個事實
[00:01:41.480 --> 00:01:43.720]  就是在這個世界裏面
[00:01:43.720 --> 00:01:46.240]  根本就沒有一個完美的制度
[00:01:46.240 --> 00:01:49.160]  有的都會被人濫用
[00:01:50.440 --> 00:01:51.840]  我舉最近兩件事
[00:01:51.840 --> 00:01:53.400]  在新聞裏面看到的
[00:01:53.400 --> 00:01:57.320]  本來今年政府向業界推出一個
[00:01:57.320 --> 00:01:59.040]  叫做保就業計劃
[00:01:59.040 --> 00:01:59.640]  是不是
[00:01:59.640 --> 00:02:04.120]  就希望那些僱主不要裁員
[00:02:04.120 --> 00:02:07.160]  就可以透過政府的資助
[00:02:07.160 --> 00:02:09.160]  可以保住那些人的就業
[00:02:09.160 --> 00:02:14.000]  但是誰知道有僱主私下侵吞這些資助
[00:02:14.000 --> 00:02:17.400]  而且向政府報一些假的資料
[00:02:19.040 --> 00:02:23.600]  年初的時候政府也資助一些生產商
[00:02:23.600 --> 00:02:25.000]  去生產口罩
[00:02:25.000 --> 00:02:30.640]  但是誰知道也有一些人去欺詐政府
[00:02:30.640 --> 00:02:32.720]  報大了成本
[00:02:32.720 --> 00:02:34.760]  或者給一些假的單據
[00:02:34.760 --> 00:02:37.640]  就去拿這些資助去製造口罩
[00:02:37.640 --> 00:02:41.880]  整個世界的秩序崩壞
[00:02:41.880 --> 00:02:44.640]  我們看到很多的制度的不公平
[00:02:44.640 --> 00:02:46.400]  很多的不完美
[00:02:46.400 --> 00:02:49.880]  甚至有些人覺得是不公義的制度
[00:02:49.880 --> 00:02:53.280]  往往令人與人之間的關係
[00:02:53.280 --> 00:02:54.920]  產生了很多的張力
[00:02:54.920 --> 00:02:58.520]  甚至讓人的價值被扭曲
[00:02:58.520 --> 00:03:02.000]  其實在第一世紀的
[00:03:02.000 --> 00:03:04.480]  希臘羅馬的文化裏面
[00:03:04.480 --> 00:03:07.000]  也有很多不公義的制度
[00:03:07.000 --> 00:03:11.080]  其中一個不得不提的就是奴隸制度
[00:03:12.280 --> 00:03:16.640]  奴隸制度是支撐着整個羅馬帝國的經濟
[00:03:16.640 --> 00:03:21.360]  很明顯奴隸制度在第一世紀裏面
[00:03:21.360 --> 00:03:23.200]  是在一個失序的世界裏面
[00:03:23.200 --> 00:03:25.000]  是一個不公義的產品
[00:03:25.000 --> 00:03:27.680]  但是縱然是這樣
[00:03:27.680 --> 00:03:31.200]  在一個世界崩壞的制度裏面
[00:03:31.200 --> 00:03:35.000]  當福音臨到人當中的時候
[00:03:35.000 --> 00:03:37.440]  無論是主人信了主
[00:03:37.440 --> 00:03:40.120]  或者是僕人信了主
[00:03:40.560 --> 00:03:42.480]  原來他們的生命
[00:03:42.480 --> 00:03:44.360]  他們彼此之間的關係
[00:03:44.360 --> 00:03:46.040]  是可以不再一樣
[00:03:46.040 --> 00:03:48.480]  是不需要被扭曲
[00:03:48.480 --> 00:03:51.600]  同樣地今天
[00:03:51.600 --> 00:03:54.280]  或許我們未能夠即時去改變
[00:03:54.280 --> 00:03:56.440]  這個崩壞的世界秩序
[00:03:56.440 --> 00:03:59.440]  不能夠去改變這個不義的制度
[00:03:59.440 --> 00:04:04.240]  但是當福音臨到當中的人的時候
[00:04:04.240 --> 00:04:06.640]  原來福音不是說
[00:04:06.640 --> 00:04:09.400]  將來死了之後上天家這麼簡單
[00:04:09.720 --> 00:04:12.920]  原來福音是可以轉化人與人之間
[00:04:12.920 --> 00:04:16.840]  即使是在一個失序的世界裏面的關係
[00:04:16.840 --> 00:04:19.360]  今天就和大家分享
[00:04:19.360 --> 00:04:20.960]  《肥理門書》的信息
[00:04:20.960 --> 00:04:23.640]  《肥理門書》的信息就是告訴我們
[00:04:23.640 --> 00:04:25.680]  福音如何能夠轉化
[00:04:25.680 --> 00:04:28.720]  在失序的世界裏面的人際關係
[00:04:28.720 --> 00:04:32.480]  大家很少讀《肥理門書》
[00:04:32.480 --> 00:04:35.280]  所以我講一些《肥理門書》的背景
[00:04:35.280 --> 00:04:39.040]  《肥理門書》是保羅的監獄書信裏面的
[00:04:39.040 --> 00:04:41.040]  四卷裏面的其中一卷
[00:04:41.040 --> 00:04:44.880]  話說保羅在羅馬坐牢那三年裏面
[00:04:44.880 --> 00:04:46.680]  寫的其中一卷書
[00:04:46.680 --> 00:04:48.880]  和其他三卷書很不同
[00:04:48.880 --> 00:04:50.600]  這一卷書是寫給一個人
[00:04:50.600 --> 00:04:51.880]  叫做肥理門
[00:04:51.880 --> 00:04:54.600]  但是他寫給一個人的裏面
[00:04:54.600 --> 00:04:57.040]  也是期望他在教會里面
[00:04:57.040 --> 00:04:59.040]  去宣讀這一卷書
[00:04:59.040 --> 00:05:01.600]  肥理門是一個什麼人呢
[00:05:01.600 --> 00:05:04.200]  肥理門是在哥羅西住的
[00:05:04.200 --> 00:05:06.200]  一個很有錢的商人
[00:05:07.840 --> 00:05:12.040]  他因爲保羅曾經在以弗所這個地方里宣教
[00:05:12.040 --> 00:05:16.160]  哥羅西就在以弗所的附近
[00:05:16.160 --> 00:05:20.360]  他因爲保羅的宣教就信了耶穌
[00:05:20.360 --> 00:05:25.600]  從此他就很積極地參與福音的工作
[00:05:25.600 --> 00:05:28.360]  甚至開放自己的家庭
[00:05:28.360 --> 00:05:31.480]  成爲其中一個崇拜的聚會點
[00:05:31.480 --> 00:05:35.000]  他成爲了保羅親愛的童工
[00:05:36.280 --> 00:05:40.280]  他和當時在希臘羅馬世界裏面的有錢人一樣
[00:05:40.280 --> 00:05:42.640]  他家裏也擁有很多奴隸
[00:05:42.640 --> 00:05:45.560]  其中一個就是阿尼西牟
[00:05:45.560 --> 00:05:48.840]  你會聽我說有時候會說阿尼西牟
[00:05:48.840 --> 00:05:50.840]  因爲和合本叫阿尼西牟
