
[00:00:00.000 --> 00:00:03.200]  人生最基本的三個問題的答案
[00:00:03.200 --> 00:00:06.120]  那麼 所以這生命之謎
[00:00:06.120 --> 00:00:09.320]  其實一直我們都在討論這三個答案就是
[00:00:09.320 --> 00:00:12.720]  很重要的問題也是
[00:00:12.720 --> 00:00:15.580]  很多哲學家想要知道的問題
[00:00:15.580 --> 00:00:18.880]  這三個問題無非就是 第一個就是你從哪裡來
[00:00:18.880 --> 00:00:21.920]  然後你在這裡幹嘛 第三個就是
[00:00:21.920 --> 00:00:23.880]  你以後要往哪裡去
[00:00:23.880 --> 00:00:27.320]  對學生來講可能是很簡單的問題
[00:00:27.320 --> 00:00:30.320]  就是我從中國大陸來我在這裡讀書 讀完我就回去
[00:00:30.320 --> 00:00:33.320]  但是我們說 因為是生命之謎
[00:00:33.320 --> 00:00:36.480]  所以我們問這三個問題的時候
[00:00:36.480 --> 00:00:39.480]  我們考慮的是比較 稍微再深層一點的
[00:00:39.480 --> 00:00:42.480]  那個層面 就是
[00:00:42.480 --> 00:00:45.780]  當我們問說 你從哪裡來的時候 我們是在討論說
[00:00:45.780 --> 00:00:48.840]  你為什麼會來到這個世上
[00:00:48.840 --> 00:00:51.840]  你知道每一年都很多人流產
[00:00:51.840 --> 00:00:54.840]  偏偏不是我們 我們都順利來到這裡
[00:00:54.840 --> 00:00:57.840]  每年有不少人墮胎
[00:00:57.840 --> 00:01:00.840]  偏偏也不是我們 為什麼我們會成功來到這裡
[00:01:00.840 --> 00:01:03.840]  那為什麼我們會生長在這個年代呢
[00:01:03.840 --> 00:01:06.840]  如果我們出生在文革的時代的話
[00:01:06.840 --> 00:01:09.840]  我們連讀書的機會也沒有
[00:01:09.840 --> 00:01:12.840]  為什麼會生長在這個家庭呢
[00:01:12.840 --> 00:01:15.840]  如果生長在非洲一個很貧窮的國家 你連讀書的機會也沒有
[00:01:15.840 --> 00:01:18.840]  如果你生長在Bill Gates的家庭
[00:01:18.840 --> 00:01:21.840]  你根本也不需要讀書 所以偏偏我們就生長在
[00:01:21.840 --> 00:01:24.840]  這個不上不下 你非得拼搏
[00:01:24.840 --> 00:01:27.840]  所以為什麼你會出生在這個年代 為什麼會來到這個世上
[00:01:27.840 --> 00:01:30.840]  我們都是要問這樣的問題
[00:01:30.840 --> 00:01:33.840]  因為這三個問題 你從哪裡來
[00:01:33.840 --> 00:01:36.840]  你在這裡幹嘛 你要往哪裡去
[00:01:36.840 --> 00:01:39.840]  其實這三個問題是彼此影響
[00:01:39.840 --> 00:01:42.840]  彼此互相有關聯的 你怎麼看
[00:01:42.840 --> 00:01:45.840]  你為什麼來到這裡 就會影響你的生活的態度
[00:01:45.840 --> 00:01:48.840]  如果你覺得你的出現在這邊
[00:01:48.840 --> 00:01:51.840]  只是偶然的機率
[00:01:51.840 --> 00:01:54.840]  比方說我偶然出現 偶然也就消失了
[00:01:54.840 --> 00:01:57.840]  那麼通常最適合這種心態的生活態度
[00:01:57.840 --> 00:02:00.840]  就是享樂主義了 就今朝有酒今朝醉
[00:02:00.840 --> 00:02:03.840]  反正你只是偶爾出現
[00:02:03.840 --> 00:02:06.840]  偶爾就消失而已
[00:02:06.840 --> 00:02:09.840]  所以不同的生命的觀念 不同的答案
[00:02:09.840 --> 00:02:12.840]  就決定我們的生活方式
[00:02:12.840 --> 00:02:15.840]  那麼今天我們會討論一個比較沉重一點的題目
[00:02:15.840 --> 00:02:18.840]  其實今天我所要討論的題目
[00:02:18.840 --> 00:02:21.840]  是我五年來第一次講的題目
[00:02:21.840 --> 00:02:25.840]  我們這樣會比較年輕 所以比較少會談論到說
[00:02:25.840 --> 00:02:28.840]  你以後要往哪裡去這個題目
[00:02:28.840 --> 00:02:32.840]  那麼今天就剛好要 五年來我第一次討論到
[00:02:32.840 --> 00:02:35.840]  有關死亡的這個問題
[00:02:35.840 --> 00:02:38.840]  你知道二十世紀一個很出名的
[00:02:38.840 --> 00:02:41.840]  佈道家 Billy Graham 他講了一句話
[00:02:41.840 --> 00:02:45.840]  他說 我們怎麼樣看死亡就決定
[00:02:45.840 --> 00:02:48.840]  我們用什麼的生活態度去生活
[00:02:48.840 --> 00:02:51.840]  所以有時候從我們的生活方式
[00:02:51.840 --> 00:02:54.840]  多少也看出我們對死亡的看法
[00:02:54.840 --> 00:02:56.840]  比方說年輕人學生
[00:02:56.840 --> 00:02:59.840]  基本上從你們生活的方式當中
[00:02:59.840 --> 00:03:02.840]  我可以知道你對死亡的看法
[00:03:02.840 --> 00:03:05.840]  你們基本上覺得你們是不會死的
[00:03:05.840 --> 00:03:07.840]  你們會永遠活著
[00:03:07.840 --> 00:03:10.840]  因此你們有無限的時間可以浪費
[00:03:10.840 --> 00:03:13.840]  所以在不同的人生過程裡面
[00:03:13.840 --> 00:03:16.840]  不同的階段 對死亡有真的不一樣的看法
[00:03:16.840 --> 00:03:20.840]  年輕時總覺得我們會活很久很久
[00:03:20.840 --> 00:03:23.840]  但是一個很殘酷的事實就是
[00:03:23.840 --> 00:03:26.840]  其實不會 我們會死很久很久
[00:03:26.840 --> 00:03:29.840]  但是我們只會活很短的一段時間
[00:03:29.840 --> 00:03:31.840]  而且越來越短
[00:03:31.840 --> 00:03:34.840]  我不知道是因為我年齡開始越來越大
[00:03:34.840 --> 00:03:37.840]  還是最近這幾年越來越忙
[00:03:37.840 --> 00:03:40.840]  我真的覺得一年比一年過得快
[00:03:40.840 --> 00:03:42.840]  今年是我人生過得最快的一年
[00:03:42.840 --> 00:03:44.840]  現在已經八月底了
[00:03:44.840 --> 00:03:46.840]  我那天跟Shirley在聊天的時候
[00:03:46.840 --> 00:03:49.840]  我說我們感覺今天好像只過了一個月
[00:03:49.840 --> 00:03:51.840]  我現在還記得年初的時候
[00:03:51.840 --> 00:03:52.840]  我們訂了很多的計畫
[00:03:52.840 --> 00:03:54.840]  我們要去山谷職堂
[00:03:54.840 --> 00:03:57.840]  我們要把國語崇拜改禮拜六
