
[00:00:00.000 --> 00:00:06.000]  今天我們的經文是尼希米基一章四到十一節
[00:00:06.000 --> 00:00:10.000]  如果大家有聖經我們就揭開聖經
[00:00:10.000 --> 00:00:15.000]  那我一路說的時候就會說經文說的話
[00:00:15.000 --> 00:00:20.000]  尼希米基一章四到十一節
[00:00:20.000 --> 00:00:28.000]  我想問大家一個問題
[00:00:28.000 --> 00:00:32.000]  有誰記得他們自己祈禱的時候
[00:00:32.000 --> 00:00:34.000]  一開始多數說什麼
[00:00:34.000 --> 00:00:37.000]  你想想 上一次你祈禱
[00:00:37.000 --> 00:00:40.000]  不是剛才黃牧師帶領我們祈禱的時候
[00:00:40.000 --> 00:00:44.000]  你自己祈禱的時候多數低頭
[00:00:44.000 --> 00:00:47.000]  你想什麼呢 或者你說什麼呢
[00:00:47.000 --> 00:00:49.000]  這些事情很多人都不知道
[00:00:49.000 --> 00:00:51.000]  我自己都不太覺得
[00:00:51.000 --> 00:00:54.000]  直到有一次 在神學院
[00:00:54.000 --> 00:00:57.000]  那次我記得是我帶領聚會
[00:00:57.000 --> 00:00:59.000]  應該是我講道
[00:00:59.000 --> 00:01:03.000]  我跟一班學生祈禱後才上台
[00:01:03.000 --> 00:01:05.000]  我帶領他們祈禱
[00:01:05.000 --> 00:01:09.000]  低頭有一個學生說感謝主
[00:01:09.000 --> 00:01:11.000]  很奇怪 我以為是我祈禱
[00:01:11.000 --> 00:01:13.000]  那我就看著他
[00:01:13.000 --> 00:01:15.000]  他看著我說 你經常這樣說
[00:01:15.000 --> 00:01:18.000]  那我現在就幫你說
[00:01:18.000 --> 00:01:21.000]  又像你一樣 祈禱你都玩
[00:01:21.000 --> 00:01:23.000]  不過他說了之後
[00:01:23.000 --> 00:01:28.000]  我又覺得我祈禱是感謝主開始的
[00:01:28.000 --> 00:01:30.000]  原來他都說得對
[00:01:30.000 --> 00:01:34.000]  但是我對這件事又沒有什麼道歉的需要
[00:01:34.000 --> 00:01:35.000]  為什麼呢
[00:01:35.000 --> 00:01:37.000]  我們祈禱一開始感謝主
[00:01:37.000 --> 00:01:40.000]  中間感謝主 結束感謝主的問題
[00:01:40.000 --> 00:01:42.000]  一點都不是一個問題
[00:01:42.000 --> 00:01:44.000]  而都不是在我講的
[00:01:44.000 --> 00:01:47.000]  有一個叫做Meister Eckhart的哲學家
[00:01:47.000 --> 00:01:49.000]  神學家都是這樣說的
[00:01:49.000 --> 00:01:52.000]  一聽就知道這個不是中國人
[00:01:52.000 --> 00:01:54.000]  他是德國人
[00:01:54.000 --> 00:01:56.000]  還要是中世紀的那種人
[00:01:56.000 --> 00:02:01.000]  126多到130多的那種人
[00:02:01.000 --> 00:02:04.000]  他有一次說過一句話
[00:02:04.000 --> 00:02:06.000]  他說如果我們的禱告
[00:02:06.000 --> 00:02:10.000]  只是說感謝主就足夠了
[00:02:10.000 --> 00:02:13.000]  他說這句話不是因為懶得祈禱
[00:02:13.000 --> 00:02:16.000]  他說這句話真的有神學的意念
