
[00:00:00.000 --> 00:00:03.000]  給你旁邊做感恩節快樂
[00:00:03.000 --> 00:00:18.400]  我們都很喜歡過感恩節
[00:00:18.400 --> 00:00:20.880]  因為有火雞可以吃
[00:00:28.240 --> 00:00:31.060]  我想今天讓我們再一次的來思想
[00:00:31.060 --> 00:00:37.000]  剛好我們在講禮福所書講到
[00:00:37.000 --> 00:00:39.120]  要被聖靈充滿
[00:00:39.120 --> 00:00:42.720]  那我們看今天這段經文裡面
[00:00:42.720 --> 00:00:45.520]  講到被聖靈充滿之後呢
[00:00:45.520 --> 00:00:47.500]  接著他就講到
[00:00:47.500 --> 00:00:50.080]  被聖靈充滿之後的一個光景
[00:00:50.080 --> 00:00:52.780]  或者說他的一個生活是怎麼樣的一個情況
[00:00:52.780 --> 00:00:57.720]  我今天沒有時間講第十九節
[00:00:57.720 --> 00:01:00.240]  因為十八、十九節
[00:01:00.240 --> 00:01:02.500]  我就只講二十節
[00:01:02.500 --> 00:01:06.260]  但是這兩個其實是連在一起的
[00:01:06.260 --> 00:01:08.720]  當我們被聖靈充滿之後
[00:01:08.720 --> 00:01:10.720]  他接著就是帶出來說
[00:01:10.720 --> 00:01:13.840]  我們會過一個讚美的生活
[00:01:13.840 --> 00:01:16.960]  我們會過一個感恩的生活
[00:01:16.960 --> 00:01:20.820]  我們會發現我們在這樣子的一個團體裡面
[00:01:20.820 --> 00:01:23.700]  我們是一個彼此順服的一個關係
[00:01:23.700 --> 00:01:26.680]  就是一個和諧的
[00:01:26.680 --> 00:01:28.360]  你可以看見一個和諧的
[00:01:28.360 --> 00:01:29.800]  充滿了喜樂的
[00:01:29.800 --> 00:01:31.280]  充滿了感恩的
[00:01:31.280 --> 00:01:34.240]  充滿了彼此之間的那種彼此配合
[00:01:34.240 --> 00:01:36.480]  那種的生活在我們中間
[00:01:36.480 --> 00:01:39.480]  保羅讓我們看見
[00:01:39.480 --> 00:01:41.320]  當我們講到聖靈充滿的時候
[00:01:41.320 --> 00:01:43.480]  我們常常想到就是能力
[00:01:43.480 --> 00:01:45.640]  我們想到的是恩賜
[00:01:45.640 --> 00:01:48.560]  但是這邊讓我們看見講到生活
[00:01:48.560 --> 00:01:51.220]  過一個聖靈充滿的生活
[00:01:51.220 --> 00:01:53.020]  而且這裡的聖靈充滿講的是
[00:01:53.020 --> 00:01:54.800]  常常被聖靈充滿
[00:01:54.800 --> 00:01:57.120]  後面也會常常提到
[00:01:57.120 --> 00:01:58.560]  我們要常常
[00:01:58.560 --> 00:02:04.520]  其實感恩這件事情
[00:02:04.520 --> 00:02:07.360]  我們都知道基督徒應該要感恩
[00:02:07.360 --> 00:02:10.880]  但是感恩也是常常最不容易的事情
[00:02:10.880 --> 00:02:11.880]  承認嗎
[00:02:11.880 --> 00:02:16.040]  有一次耶穌
[00:02:16.040 --> 00:02:20.480]  醫治了十個大麻瘋的病人
[00:02:20.480 --> 00:02:24.080]  這個故事我們想我們大家都很熟悉
[00:02:24.280 --> 00:02:27.240]  結果有幾個回來感恩
[00:02:27.240 --> 00:02:28.880]  一個
[00:02:28.880 --> 00:02:31.320]  所以耶穌很訝異
[00:02:31.320 --> 00:02:34.120]  耶穌說那其他的九個呢
[00:02:34.120 --> 00:02:36.080]  當然有的人解驚
[00:02:36.080 --> 00:02:37.320]  有的人在那邊想說
[00:02:37.320 --> 00:02:39.160]  這九個人可能什麼原因
[00:02:39.160 --> 00:02:41.240]  可能他因為耶穌告訴他們說
[00:02:41.240 --> 00:02:42.560]  你們要去給祭司看
[00:02:42.560 --> 00:02:44.560]  所以他們就急著要怎麼樣
[00:02:44.560 --> 00:02:46.360]  要去找祭司
[00:02:46.360 --> 00:02:48.040]  先給祭司查看之後
[00:02:48.040 --> 00:02:50.640]  就是說他先把事情完成
[00:02:50.640 --> 00:02:53.520]  不管這些東西聖經上沒有清楚講
[00:02:53.520 --> 00:02:54.760]  但是我們要重點是
[00:02:54.760 --> 00:02:56.840]  耶穌在問說
[00:02:56.840 --> 00:03:01.640]  為什麼那九個都不感恩
[00:03:01.640 --> 00:03:04.440]  只有這一個來感恩呢
[00:03:04.440 --> 00:03:07.440]  請問這一個人是誰
[00:03:07.440 --> 00:03:10.760]  這一個人是誰
[00:03:10.760 --> 00:03:14.400]  這一個人是猶太人
[00:03:14.400 --> 00:03:16.600]  不是這一個人是什麼人
[00:03:16.600 --> 00:03:19.920]  這一個人是一個沙馬利亞人
[00:03:19.920 --> 00:03:22.320]  就說明你們知道嗎
[00:03:22.320 --> 00:03:24.600]  在聖經上裡面講到沙馬利亞的時候
[00:03:24.600 --> 00:03:29.040]  猶太人不跟沙馬利亞人來往
[00:03:29.040 --> 00:03:33.640]  因為沙馬利亞人在南北國的時候
[00:03:33.640 --> 00:03:36.400]  被亞述帝國滅了這個北國
[00:03:36.400 --> 00:03:39.440]  把一些的人就等於是說
[00:03:39.440 --> 00:03:41.640]  混在沙馬利亞地方
[00:03:41.640 --> 00:03:43.280]  就成了今天的沙馬利亞人
[00:03:43.280 --> 00:03:46.040]  猶太人非常看重他們自己的種族
[00:03:46.040 --> 00:03:47.200]  所以他們說他們是
[00:03:47.200 --> 00:03:49.040]  希伯來人所生的希伯來人
