
[00:00:00.000 --> 00:00:02.000]  剛才我們唱的詩歌
[00:00:02.000 --> 00:00:05.000]  講到基督為我們捨生
[00:00:05.000 --> 00:00:06.000]  我們剛才唱的詩歌
[00:00:06.000 --> 00:00:07.500]  基督為我們捨生
[00:00:07.500 --> 00:00:09.500]  以致我們在地上建立教會
[00:00:09.500 --> 00:00:11.000]  以致我們在地上建立教會
[00:00:11.000 --> 00:00:13.500]  這個是我們每一個
[00:00:13.500 --> 00:00:15.000]  在教會生活的弟姐妹
[00:00:15.000 --> 00:00:17.000]  要學習愛教會的原因
[00:00:17.000 --> 00:00:18.500]  這是我們每一個
[00:00:18.500 --> 00:00:20.500]  在教會生活的弟兄姐妹
[00:00:20.500 --> 00:00:23.000]  要學會愛教會的原因
[00:00:23.000 --> 00:00:24.500]  上兩個星期
[00:00:24.500 --> 00:00:27.000]  我開始以作個榮耀教會
[00:00:27.000 --> 00:00:29.500]  一個系列去分享我的教會觀
[00:00:29.500 --> 00:00:30.500]  上兩個星期
[00:00:30.500 --> 00:00:33.500]  我開始以作個榮耀教會
[00:00:33.500 --> 00:00:36.000]  來分享我對教會的教會觀
[00:00:36.000 --> 00:00:38.000]  我提到基督愛教會為教會捨給
[00:00:38.000 --> 00:00:41.000]  我提到基督愛教會為教會捨給
[00:00:41.000 --> 00:00:44.000]  讓我們學習愛護基督的身體教育
[00:00:44.000 --> 00:00:48.000]  讓我們學習要愛護基督的身體
[00:00:48.000 --> 00:00:51.500]  早前我就選用楊福音
[00:00:51.500 --> 00:00:54.500]  另一個片段和大家思想實語
[00:00:54.500 --> 00:00:56.000]  今天早上選用了
[00:00:56.000 --> 00:00:57.500]  約翰福音另外一個片段
[00:00:57.500 --> 00:01:00.000]  想和大家一起分享神的話語
[00:01:00.000 --> 00:01:04.000]  今早的經文是一種呈現
[00:01:04.000 --> 00:01:05.500]  今天早上這個經文
[00:01:05.500 --> 00:01:07.500]  我叫做一個呈現
[00:01:07.500 --> 00:01:09.500]  或者從另一個角度說
[00:01:09.500 --> 00:01:11.000]  就好像一面鏡子
[00:01:11.000 --> 00:01:12.500]  或者從另外一個角度
[00:01:12.500 --> 00:01:13.500]  好像一個鏡子一樣
[00:01:13.500 --> 00:01:15.500]  反照我們的信仰生活
[00:01:15.500 --> 00:01:17.500]  反照我們的信仰生活
[00:01:17.500 --> 00:01:20.000]  我這篇信息是星期三已經寫好了
[00:01:20.000 --> 00:01:22.500]  我這篇信息是禮拜三已經寫好了
[00:01:22.500 --> 00:01:24.000]  如果待會的內容
[00:01:24.000 --> 00:01:26.000]  令大家聯想到一些東西
[00:01:26.000 --> 00:01:27.500]  這不是我的本意
[00:01:27.500 --> 00:01:29.000]  如果待會的內容
[00:01:29.000 --> 00:01:31.500]  令大家聯想到一些東西
[00:01:31.500 --> 00:01:33.000]  這不是我的本意
[00:01:33.000 --> 00:01:35.000]  當我讀到楊福音第五章
[00:01:35.000 --> 00:01:37.000]  不是大慈這件事的時候
[00:01:37.000 --> 00:01:39.000]  當我讀到楊福音第五章
[00:01:39.000 --> 00:01:41.000]  鄙視大慈這件事的時候
[00:01:41.000 --> 00:01:43.000]  我內心是百感交集
