
[00:00:00.000 --> 00:00:05.080]  我首先要考大家幾條通識問題
[00:00:05.080 --> 00:00:09.740]  一隻貓的平均壽命是多長呢?
[00:00:09.740 --> 00:00:12.580]  有沒有人知道?
[00:00:12.580 --> 00:00:15.640]  是12年到18年
[00:00:15.640 --> 00:00:20.160]  如果是流浪貓可能是12年
[00:00:20.160 --> 00:00:23.580]  你家裏的貓壽命比較長
[00:00:23.580 --> 00:00:27.260]  如果你認識我們教會的王貢兒姊妹
[00:00:27.260 --> 00:00:29.020]  或者是Winnie Kork姊妹
[00:00:29.020 --> 00:00:30.760]  你隻貓就有福
[00:00:30.760 --> 00:00:33.780]  因為他們有專業知識
[00:00:33.780 --> 00:00:36.720]  可以教你將隻貓養到不肥不瘦
[00:00:36.720 --> 00:00:37.720]  好像你那樣
[00:00:37.720 --> 00:00:42.960]  老鼠的壽命是多長呢?
[00:00:42.960 --> 00:00:46.000]  老鼠最多可以活兩年
[00:00:46.000 --> 00:00:48.340]  如果老鼠遇見一隻貓
[00:00:48.340 --> 00:00:49.940]  牠的壽命就會縮短
[00:00:49.940 --> 00:00:52.940]  熊呢?
[00:00:52.940 --> 00:00:55.260]  熊有很多種
[00:00:55.260 --> 00:00:56.520]  有黑熊
[00:00:56.520 --> 00:00:57.840]  有灰熊
[00:00:57.840 --> 00:00:59.040]  有棕熊
[00:00:59.040 --> 00:00:59.940]  有北極熊
[00:00:59.940 --> 00:01:01.260]  我全部都見過了
[00:01:01.260 --> 00:01:06.780]  熊的壽命大約是25年到35年
[00:01:06.780 --> 00:01:08.860]  北極熊就短命一點
[00:01:08.860 --> 00:01:10.080]  不知道為什麼
[00:01:10.080 --> 00:01:13.080]  北極熊在北邊只能吃肉
[00:01:13.080 --> 00:01:14.380]  沒有植物
[00:01:14.380 --> 00:01:17.700]  我年青時代就在北極工作過
[00:01:17.700 --> 00:01:20.120]  我就盡量避開北極熊
[00:01:20.120 --> 00:01:22.120]  因為牠會影響我的壽命
[00:01:22.120 --> 00:01:25.940]  說到我 說到人
[00:01:25.940 --> 00:01:28.480]  人的壽命是多長呢?
[00:01:28.480 --> 00:01:31.020]  看你住在哪裏
[00:01:31.020 --> 00:01:33.720]  香港人的壽命特別長
[00:01:33.720 --> 00:01:37.440]  男的壽命平均81歲
[00:01:37.440 --> 00:01:39.760]  女的就87歲
[00:01:39.760 --> 00:01:42.000]  太古城堂的弟兄姊妹
[00:01:42.000 --> 00:01:44.960]  就起碼更加高10年8年
[00:01:44.960 --> 00:01:46.360]  照我看
[00:01:46.360 --> 00:01:50.080]  雖然是這麼長
[00:01:50.080 --> 00:01:51.460]  但好像不太夠
[00:01:51.460 --> 00:01:53.160]  所以古往今來
[00:01:53.160 --> 00:01:56.600]  很多詩人就寫了很多很好的詩詞
[00:01:56.600 --> 00:01:59.680]  來哀嘆人生的短暫
[00:01:59.680 --> 00:02:01.800]  譬如一首大家很熟悉的
[00:02:01.800 --> 00:02:06.120]  就是李白的《張晉酒》
[00:02:06.120 --> 00:02:08.200]  大家有沒有讀過這首詩
[00:02:08.200 --> 00:02:11.840]  聽聞這一代的中文程度好像差了
[00:02:11.840 --> 00:02:16.400]  但是上一代的好像是Andrew
[00:02:16.400 --> 00:02:19.080]  看後面有哪幾個
[00:02:19.080 --> 00:02:26.200]  可能像我那一代應該可以多一點
[00:02:26.200 --> 00:02:29.360]  張晉酒這個「張」字其實是指「請」
[00:02:29.360 --> 00:02:31.080]  請你來喝多一點酒
[00:02:31.080 --> 00:02:34.120]  為甚麼李白要請人喝這麼多酒呢?
[00:02:34.120 --> 00:02:36.640]  就是因為他想借酒消愁
[00:02:36.640 --> 00:02:40.800]  所以他在第一句就用黃河的水來比喻人生
[00:02:40.800 --> 00:02:43.080]  過了就不再回來
[00:02:43.080 --> 00:02:44.720]  第二句就說
[00:02:44.720 --> 00:02:46.800]  君不見高堂明鏡
[00:02:46.800 --> 00:02:51.040]  悲白髮朝夕青絲霧成雪
[00:02:51.040 --> 00:02:53.240]  意思就是說我朝頭早照鏡
[00:02:53.240 --> 00:02:55.240]  還是一個黑髮少年
[00:02:55.240 --> 00:03:00.600]  但是到了黃昏就變了白髮的老人家
[00:03:00.600 --> 00:03:02.000]  這句真的是
[00:03:02.000 --> 00:03:04.280]  我記得我初初來的時候
[00:03:04.280 --> 00:03:08.120]  那幅照片跟現在的樣子已經差很遠
[00:03:08.120 --> 00:03:13.200]  所以我現在最新的簡介短片
[00:03:13.200 --> 00:03:16.080]  就已經不再用六年前的那幅照片了
[00:03:16.080 --> 00:03:19.160]  用再近一點的
[00:03:19.160 --> 00:03:22.040]  因為不好意思張卜這麼年輕就想給別人看
[00:03:22.040 --> 00:03:28.920]  接著李白那首詩的下一步就說
[00:03:28.920 --> 00:03:30.400]  讓我唱一首歌
[00:03:30.400 --> 00:03:32.920]  請君為我傾而停
[00:03:32.920 --> 00:03:35.440]  鐘鼓讚玉不足貴
[00:03:35.440 --> 00:03:38.640]  但願長醉不完成
[00:03:38.640 --> 00:03:42.280]  李白看不到這個短暫的人生有甚麼希望
[00:03:42.280 --> 00:03:43.960]  所以借酒消愁
[00:03:43.960 --> 00:03:49.160]  最後他就說與君同消萬古愁
[00:03:49.160 --> 00:03:51.080]  今天我不是跟大家說李白
[00:03:51.080 --> 00:03:53.320]  我要跟大家說另一個詩人
[00:03:53.320 --> 00:03:55.960]  這個詩人就是摩西
[00:03:55.960 --> 00:03:58.360]  摩西就活到120歲
[00:03:58.360 --> 00:04:00.840]  比李白長命大差不多一倍
[00:04:00.840 --> 00:04:05.240]  李白61歲就死了
[00:04:05.240 --> 00:04:07.800]  摩西在晚年就寫了一首詩
[00:04:07.800 --> 00:04:09.400]  就是《詩篇九十篇》
[00:04:09.400 --> 00:04:11.640]  《詩篇九十篇》是整卷《詩篇》
[00:04:11.640 --> 00:04:15.000]  150篇裏面最古老的一首詩
[00:04:15.000 --> 00:04:20.600]  在人類歷史裏面很少有摩西人生那麼精彩
[00:04:20.600 --> 00:04:26.000]  他頭40年在埃及皇宮中叱咤風雲
[00:04:26.000 --> 00:04:29.960]  中間40年在孤寂的曠野中牧羊
[00:04:29.960 --> 00:04:37.240]  最後40年上帝呼召他帶領200萬以色列人出埃及
[00:04:37.240 --> 00:04:43.000]  摩西陪伴了以色列人在西內半島
[00:04:43.000 --> 00:04:45.720]  西內沙漠度過了40年
[00:04:45.720 --> 00:04:48.920]  本來兩年就可以進入英許之地
[00:04:48.920 --> 00:04:50.840]  但是有人反叛
[00:04:50.840 --> 00:04:52.840]  所以以色列人反叛
[00:04:52.840 --> 00:04:56.600]  所以上帝要他們留在曠野多38年
[00:04:56.600 --> 00:04:58.440]  整一代的人
[00:04:58.440 --> 00:05:03.400]  上帝說18歲以上都不可以進入英許之地
