
[00:00:00.000 --> 00:00:06.800]  天父當我們想到你透過耶穌成就在我們生命當中的救恩的時候
[00:00:06.800 --> 00:00:10.560]  然後我們又看到我們在社群當中
[00:00:10.560 --> 00:00:16.320]  很多依然活在受苦、被輕視、被遺棄
[00:00:16.320 --> 00:00:19.880]  甚至受欺壓的我們的鄰舍
[00:00:19.880 --> 00:00:22.920]  我們看到自己力量的微小之餘
[00:00:22.920 --> 00:00:25.840]  甚至我們也看到自己愛心的微小
[00:00:25.840 --> 00:00:30.600]  我們明白不是我們本身是一個滿有愛的人
[00:00:30.600 --> 00:00:34.400]  唯有我們去仰望你這位愛的源頭
[00:00:34.400 --> 00:00:39.480]  我們真的切切向你乞求給我們更大的愛、更多的愛
[00:00:39.480 --> 00:00:42.320]  我們才真的能夠曉得
[00:00:42.320 --> 00:00:45.640]  甚至真的有那種持續的動力
[00:00:45.640 --> 00:00:49.120]  願意與我們在受苦當中的鄰舍同行
[00:00:49.120 --> 00:00:51.440]  願主你就不單以你的愛
[00:00:51.440 --> 00:00:53.560]  也以你的真道伴隨著
[00:00:53.560 --> 00:00:56.640]  今天來再一次提醒我們
[00:00:56.640 --> 00:00:58.240]  聖靈在我們心中動功
[00:00:58.240 --> 00:01:03.160]  我們願你親自向我們每一個人有你的提醒、有你的說話
[00:01:03.160 --> 00:01:06.560]  多謝主禱告奉耶穌名致及,阿門
[00:01:06.560 --> 00:01:13.520]  我們上個星期其實本來開了這個門訓系列的肥辣秘書
[00:01:13.520 --> 00:01:14.960]  但是開了一次
[00:01:14.960 --> 00:01:16.760]  這次就窒住道氣了
[00:01:16.760 --> 00:01:18.880]  就變成了社會主日
[00:01:18.880 --> 00:01:21.920]  但是社會主日定在10月
[00:01:21.920 --> 00:01:23.920]  過往有時候我們在11月
[00:01:23.920 --> 00:01:25.600]  有時候又去到10月
[00:01:25.600 --> 00:01:29.600]  但是我覺得在10月其實是尤其是有意思的
[00:01:29.600 --> 00:01:34.280]  雖然10月也有猜拳月、猜拳年會
[00:01:34.280 --> 00:01:40.360]  不知道大家知不知道10月對於社會主日這個議題有什麼重要的意義呢?
[00:01:40.360 --> 00:01:42.200]  因為中堂時間比較緊促
[00:01:42.200 --> 00:01:43.960]  所以不等大家猜了
[00:01:43.960 --> 00:01:45.680]  我也開猜了
[00:01:45.680 --> 00:01:54.760]  原來10月17日是聯合國大會在好像是一九九幾年
[00:01:54.760 --> 00:01:56.120]  我希望沒有記錯
[00:01:56.120 --> 00:01:59.160]  定的一個國際消除貧困日
[00:01:59.160 --> 00:02:02.240]  需要麻煩後面幫我們下一張slide
[00:02:02.240 --> 00:02:04.240]  10月17日就是下個星期
[00:02:04.240 --> 00:02:06.880]  其實就是這個國際消除貧困日
[00:02:06.880 --> 00:02:08.800]  所以我們去想
[00:02:08.800 --> 00:02:13.440]  是的,這個貧困日也是鼓勵我們去關心
[00:02:13.440 --> 00:02:19.240]  現在我們看著其實在全球越趨極端化的貧富懸殊的問題
[00:02:19.240 --> 00:02:23.320]  即是活在赤貧情況底下的人數
[00:02:23.320 --> 00:02:26.440]  我相信隨著疫情是再增長了
[00:02:26.440 --> 00:02:30.960]  在這個日子之前的主日
[00:02:30.960 --> 00:02:35.080]  我們一同去思考怎樣跟受苦的人同行
[00:02:35.080 --> 00:02:36.880]  實在是很有意思的
[00:02:36.880 --> 00:02:40.840]  再加上其實剛才牧師也有跟我們報告過
[00:02:40.840 --> 00:02:44.680]  我們教會其中一個社關部很緊密的合作夥伴
[00:02:44.680 --> 00:02:47.120]  是教會關懷貧窮網絡
[00:02:47.120 --> 00:02:49.720]  我們常常簡稱做教關
[00:02:49.720 --> 00:02:52.240]  他們每一年其實都會推動這個
[00:02:52.240 --> 00:02:57.120]  十十十扶貧抗貧或者叫關懷貧窮的運動
[00:02:57.120 --> 00:03:01.920]  鼓勵在10月份講壇訊息至少花十分鐘
[00:03:01.920 --> 00:03:04.520]  哪怕你賴賴下也說其他東西
[00:03:04.520 --> 00:03:10.640]  但至少花十分鐘也說關於大家關心貧窮的議題
[00:03:10.640 --> 00:03:16.600]  並且鼓勵靈感姐妹回應在講壇認識了需要這個訊息
[00:03:16.600 --> 00:03:19.880]  就作出奉獻以十做單位
[00:03:19.880 --> 00:03:22.600]  不論是十元還是十萬
[00:03:22.600 --> 00:03:30.760]  來作出支持扶貧或者抗貧的一些事工
[00:03:30.760 --> 00:03:33.760]  所以小小的介紹
[00:03:33.760 --> 00:03:38.280]  教關其實我們過往試過每年都跟他們合作
[00:03:38.280 --> 00:03:43.600]  有Peacebox 試過收集大家捐贈給低收入人士的一些物資
[00:03:43.600 --> 00:03:46.640]  家庭用品 有去過探訪
[00:03:46.640 --> 00:03:51.720]  兒童區就更加是一班家長和小朋友
[00:03:51.720 --> 00:03:57.160]  參加過教關舉辦的一些體驗貧窮的活動
[00:03:57.160 --> 00:04:00.760]  就是一起做十方姐去撿紙皮
[00:04:00.760 --> 00:04:03.480]  就是這幾歲的小朋友
[00:04:03.480 --> 00:04:11.240]  就是撿紙皮體驗一下在貧困當中生活的人的不容易
[00:04:11.240 --> 00:04:15.160]  教關是一個我們緊密的合作夥伴
[00:04:15.160 --> 00:04:18.000]  所以知道我們今天有社關主日
[00:04:18.000 --> 00:04:21.600]  教關也特別為我們提供資料
[00:04:21.600 --> 00:04:23.120]  我們這麼支持這個「十十十」
[00:04:23.120 --> 00:04:25.480]  所以以下幾張slide
[00:04:25.480 --> 00:04:29.320]  我要肯定是教關提供給我的
[00:04:29.320 --> 00:04:34.840]  跟大家分享一下有關香港現在貧窮現況的資訊
[00:04:34.840 --> 00:04:41.560]  當我們回看教關整理出來的2020年尾的一個數字
[00:04:41.560 --> 00:04:46.480]  就看到其實香港這個貧富懸殊的問題
[00:04:46.480 --> 00:04:50.520]  大家過去至少過去八年
[00:04:50.520 --> 00:04:51.880]  沒有十年也有八年
[00:04:51.880 --> 00:04:58.560]  其實一直聽到按一個去定奪貧富懸殊的情況
[00:04:58.560 --> 00:05:02.240]  一個頗為普遍的堅尼系數的指標
[00:05:02.240 --> 00:05:06.440]  香港已經是很多年來我們都是跑第一的
[00:05:06.440 --> 00:05:09.200]  不過不是全球第一
[00:05:09.200 --> 00:05:12.880]  是發展了的國家當中的第一
[00:05:12.880 --> 00:05:15.880]  而最新的教關提供這個數字
[00:05:15.880 --> 00:05:17.760]  就是多謝他們幫我們整理
[00:05:17.760 --> 00:05:22.760]  讓我們看到原來活在貧窮線底下
[00:05:22.760 --> 00:05:24.560]  貧窮線是多少錢
[00:05:24.560 --> 00:05:30.760]  按一個人的月入是四千五百元
[00:05:30.760 --> 00:05:35.320]  我們有些交車位的月租肯定不用考慮
[00:05:35.320 --> 00:05:39.760]  足足原來每五個人裏面就有一個
[00:05:39.760 --> 00:05:42.200]  活在貧窮線之下
[00:05:42.200 --> 00:05:44.200]  我們再看下一張slide
[00:05:44.200 --> 00:05:47.960]  而根據2019年政府新聞網的數據
[00:05:47.960 --> 00:05:53.200]  其實每四個小朋友就有一個活在貧窮線底下
[00:05:53.200 --> 00:05:55.880]  兒童的貧窮問題更加艱難嗎
