
[00:00:00.000 --> 00:00:04.000]  丁姐妹,早晨! 主內平安!
[00:00:04.000 --> 00:00:09.000]  今天我要跟大家看的,是介菜種的比喻。
[00:00:09.000 --> 00:00:13.000]  在《馬太福音》十三章裏面,
[00:00:13.000 --> 00:00:19.000]  其實都不止這個有關種子的比喻。
[00:00:19.000 --> 00:00:22.000]  你們剛才有沒有拿到一粒種子?
[00:00:22.000 --> 00:00:24.000]  讓我看看。
[00:00:24.000 --> 00:00:25.000]  真的有拿到。
[00:00:25.000 --> 00:00:29.000]  如果沒有,可以找獅子給你一粒種子。
[00:00:29.000 --> 00:00:31.000]  雖然,先告訴你們一個秘密。
[00:00:31.000 --> 00:00:35.000]  這個種子不是介菜種來的。
[00:00:35.000 --> 00:00:39.000]  你們不停地問,這粒是什麼種子呢?
[00:00:39.000 --> 00:00:41.000]  如果你們有興趣知道,
[00:00:41.000 --> 00:00:43.000]  可以問一下我們的種植群組。
[00:00:43.000 --> 00:00:46.000]  因為這個種子是由他們提供的。
[00:00:46.000 --> 00:00:48.000]  很有愛心地幫我們包好,
[00:00:48.000 --> 00:00:51.000]  每人都手上一粒種子。
[00:00:51.000 --> 00:00:55.000]  今天我們看《馬太福音》十三章,
[00:00:55.000 --> 00:00:58.000]  其實耶穌說了三個比喻,
[00:00:58.000 --> 00:01:01.000]  都是有關種子的比喻。
[00:01:01.000 --> 00:01:05.000]  所以我們今天手上拿著一粒種子,
[00:01:05.000 --> 00:01:08.000]  摸摸它,捏捏它,看看它。
[00:01:08.000 --> 00:01:12.000]  這三個比喻,第一個比喻是殺種的比喻。
[00:01:12.000 --> 00:01:15.000]  你們有沒有聽過這個比喻呢?
[00:01:15.000 --> 00:01:19.000]  就說殺種的時候,種子落在哪裏呢?
[00:01:19.000 --> 00:01:24.000]  爐旁,淺土,荊棘裏面。
[00:01:24.000 --> 00:01:26.000]  結果是怎樣?
[00:01:26.000 --> 00:01:28.000]  沒有好結果,對不對?
[00:01:28.000 --> 00:01:32.000]  唯有一個地方是一個好地方,
[00:01:32.000 --> 00:01:34.000]  就是好土。
[00:01:34.000 --> 00:01:37.000]  好土就是我們一個柔軟的心,
[00:01:37.000 --> 00:01:40.000]  預備一個柔軟的心去聆聽,
[00:01:40.000 --> 00:01:44.000]  去接受神殺天國的種子。
[00:01:44.000 --> 00:01:48.000]  所以第九節,十三章九節提醒我們,
[00:01:48.000 --> 00:01:53.000]  有以可聽的,就應當聽。
[00:01:53.000 --> 00:01:58.000]  沒錯,求主開我們的心,開我們的耳朵,
[00:01:58.000 --> 00:02:02.000]  讓我們聽得見天國的福音。
[00:02:02.000 --> 00:02:05.000]  耶穌祂說比喻的時候,
[00:02:05.000 --> 00:02:07.000]  除了這個殺種的比喻,
[00:02:07.000 --> 00:02:11.000]  祂接著又說了另一個有關種子的比喻,
[00:02:11.000 --> 00:02:14.000]  就是卑子和物子的比喻。
[00:02:14.000 --> 00:02:16.000]  什麼是卑子?
[00:02:16.000 --> 00:02:18.000]  就是野草。
