
[00:00:00.000 --> 00:00:09.800]  《錄音》或《錄影》的版權是屬於基督教宣導會不各堂所有
[00:00:09.800 --> 00:00:13.800]  我們的屬靈傳統之一,是以真理教導為本
[00:00:13.800 --> 00:00:18.000]  歡迎你將此《錄音》或《錄影》的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意,未經授權,請勿轉錄或剪輯本《錄音》或《錄影》
[00:00:24.000 --> 00:00:28.500]  甚願好像《使徒行傳》20章32節下所說
[00:00:28.500 --> 00:00:30.500]  這道能建立你們
[00:00:30.500 --> 00:00:34.500]  叫你們和一切誠誠的人同得基業
[00:00:34.500 --> 00:00:42.500]  由哈蘭出發,行到今天這一章
[00:00:42.500 --> 00:00:46.000]  二十四年過了
[00:00:46.000 --> 00:00:48.500]  神鷹去阿伯拉罕要成為大國
[00:00:48.500 --> 00:00:53.500]  但是他和撒拉還未能生出一個兒子
[00:00:53.500 --> 00:00:57.500]  創世紀十八章十四節是今天的焦點
[00:00:57.500 --> 00:01:01.500]  耶和華「豈有難成的事嗎?」
[00:01:01.500 --> 00:01:04.500]  這一句說話非常響亮
[00:01:04.500 --> 00:01:09.500]  但是映照在阿伯拉罕和撒拉的生命裡
[00:01:09.500 --> 00:01:13.500]  卻顯出我們人有很多的炫弱
[00:01:13.500 --> 00:01:20.500]  二十四年前,你為了什麼事祈禱?
[00:01:20.500 --> 00:01:23.500]  如果那時候你已經信主
[00:01:23.500 --> 00:01:27.500]  那時候的禱告今天成就了嗎?
[00:01:27.500 --> 00:01:31.500]  或者你依然在等神為你做什麼事呢?
[00:01:31.500 --> 00:01:34.500]  今天我們會從兩個角度去思考
[00:01:34.500 --> 00:01:39.500]  在神裡沒有難事這句說話的意思
[00:01:39.500 --> 00:01:43.500]  創世紀十八章一開始就告訴我們
[00:01:43.500 --> 00:01:46.500]  神又向阿伯拉罕顯現
[00:01:46.500 --> 00:01:51.500]  說又向,因為十七章一節都是耶和華向祂顯現
[00:01:51.500 --> 00:01:57.500]  所以這一句應該是這篇章的標題
[00:01:57.500 --> 00:02:00.500]  是給我們讀者看的
[00:02:00.500 --> 00:02:05.500]  但是阿伯拉罕未知道他將要遇到的是什麼人
[00:02:05.500 --> 00:02:07.500]  這次的顯現和之前都不同
[00:02:07.500 --> 00:02:14.500]  之前是聲音、異象、神突然的顯現
[00:02:14.500 --> 00:02:19.500]  但這次是用人的形象出現在他眼前
[00:02:19.500 --> 00:02:21.500]  第一節的經文下半說
[00:02:21.500 --> 00:02:24.500]  阿伯拉罕坐在帳篷門口
[00:02:24.500 --> 00:02:27.500]  那時候天氣很熱,正熱,最熱的時候
[00:02:27.500 --> 00:02:29.500]  任何人都做不到事
