
[00:00:00.000 --> 00:00:02.520]  今日繼續講腦底家教會
[00:00:02.520 --> 00:00:04.520]  富足又貧窮的教會
[00:00:04.520 --> 00:00:06.520]  首先講一個小故事
[00:00:06.520 --> 00:00:10.440]  有位老先生第一次來澳洲旅行
[00:00:10.440 --> 00:00:14.080]  出發前興奮自滿地說
[00:00:14.080 --> 00:00:18.300]  我帶了一萬元去澳洲豪玩一個月
[00:00:18.300 --> 00:00:20.300]  羨慕嗎? 跟他的朋友說
[00:00:20.300 --> 00:00:22.900]  大家聽了都很羨慕
[00:00:22.900 --> 00:00:24.900]  有少少嫉妒的眼光望著他
[00:00:24.900 --> 00:00:26.900]  一萬元?
[00:00:26.900 --> 00:00:31.900]  這趟旅程真的很舒服很豪玩
[00:00:31.900 --> 00:00:33.900]  於是他一落飛機
[00:00:33.900 --> 00:00:38.900]  先去找一間華麗的餐廳去醫肚
[00:00:38.900 --> 00:00:40.900]  點了一些名菜
[00:00:40.900 --> 00:00:42.900]  吃完之後
[00:00:42.900 --> 00:00:44.900]  侍應就拿了張帳單來
[00:00:44.900 --> 00:00:46.900]  他一看 九十八元
[00:00:46.900 --> 00:00:48.900]  很便宜
[00:00:48.900 --> 00:00:52.900]  他瀟灑地從錢包裡拿出一張大鈔
[00:00:52.900 --> 00:00:54.900]  心裡說 九十八元一餐
[00:00:54.900 --> 00:00:56.900]  我可以豪吃很多餐
[00:00:56.900 --> 00:00:58.900]  誰知侍應一看
[00:00:58.900 --> 00:01:00.900]  就微笑地對他說
[00:01:00.900 --> 00:01:02.900]  先生 你這個是日元來
[00:01:02.900 --> 00:01:04.900]  不是澳元
[00:01:04.900 --> 00:01:06.900]  先生就大聲說
[00:01:06.900 --> 00:01:08.900]  我們這些貨幣是全球通用
[00:01:08.900 --> 00:01:10.900]  你這麼大的餐廳難道不收嗎?
[00:01:10.900 --> 00:01:12.900]  侍應就說
[00:01:12.900 --> 00:01:16.900]  先生 你這張一千元的日本大鈔
[00:01:16.900 --> 00:01:20.900]  兌換率只有澳幣九元左右
[00:01:20.900 --> 00:01:22.900]  你不夠找數
