
[00:00:00.000 --> 00:00:02.000]  (主席) 各位大眾平安
[00:00:02.000 --> 00:00:06.040]  (主席) 由九月至十二月
[00:00:06.040 --> 00:00:09.080]  (主席) 我的講道都是一個系列
[00:00:09.080 --> 00:00:12.480]  (主席) 名字叫做「軟弱中的盼望」
[00:00:12.480 --> 00:00:13.440]  (主席) 是的
[00:00:13.440 --> 00:00:16.640]  (主席) 我們都是活在一個軟弱的狀態裏面
[00:00:16.640 --> 00:00:22.000]  (主席) 無論是自身、生老、死病等等
[00:00:22.000 --> 00:00:24.680]  (主席) 又或者是在家庭生活帶來的
[00:00:24.680 --> 00:00:26.840]  (主席) 又或者是在職場生活帶來的
[00:00:26.840 --> 00:00:29.120]  (主席) 又或者是近期這種疫情
[00:00:29.120 --> 00:00:31.680]  (主席) 甚至加上這個社會變遷
[00:00:31.680 --> 00:00:36.120]  (主席) 特別很多人說在國安法通過之後的香港
[00:00:36.120 --> 00:00:38.800]  (主席) 在我們這樣的一個生活狀態
[00:00:38.800 --> 00:00:41.400]  (主席) 一來自己都慢慢變了
[00:00:41.400 --> 00:00:43.520]  (主席) 第二就是這個社會環境都變了
[00:00:43.520 --> 00:00:45.240]  (主席) 香港已經變得不一樣
[00:00:45.240 --> 00:00:48.560]  (主席) 我們身心、社靈、全人
[00:00:48.560 --> 00:00:50.840]  (主席) 都是承受著一個很大的壓力
[00:00:50.840 --> 00:00:53.360]  (主席) 就彷彿好像四面仇敵一樣
[00:00:53.360 --> 00:00:55.360]  (主席) 人軟弱的
[00:00:55.360 --> 00:00:59.440]  (主席) 不過人軟弱裡面其實上帝繼續有應許的
[00:00:59.440 --> 00:01:01.680]  (主席) 祂繼續要給我們有盼望的
[00:01:01.680 --> 00:01:06.200]  (主席) 雖然我們要承認自己的有限和軟弱
[00:01:06.200 --> 00:01:10.480]  (主席) 但是我們仍然要找得到在神裡面那種盼望的
[00:01:10.480 --> 00:01:13.360]  (主席) 神對今天軟弱的我們
[00:01:13.360 --> 00:01:15.680]  (主席) 和對著這個混亂的世代
[00:01:15.680 --> 00:01:17.240]  (主席) 是有話要說的
[00:01:17.240 --> 00:01:19.240]  (主席) 是有說話要說的
[00:01:19.240 --> 00:01:22.480]  (主席) 這個是包括啟示錄
[00:01:22.480 --> 00:01:25.040]  (主席) 成為我們的亮光
[00:01:25.040 --> 00:01:29.600]  (主席) 啟示錄本來我們教會在定了今年年尾
[00:01:29.600 --> 00:01:32.480]  (主席) 聖誕節那段時間是有一個讀經生活營
[00:01:32.480 --> 00:01:35.960]  (主席) 就以一起研讀啟示錄的
[00:01:35.960 --> 00:01:38.440]  (主席) 不過可惜因為疫情的緣故要延期
[00:01:38.440 --> 00:01:41.120]  (主席) 可能是延到明年的某些時間
[00:01:41.120 --> 00:01:43.480]  (主席) 不過所以我就覺得
[00:01:43.480 --> 00:01:48.200]  (主席) 我都想和大家一起看啟示錄作為這個宣講的系列
[00:01:48.200 --> 00:01:51.680]  (主席) 在啟示錄裡面有一句說話重複了很多次的
[00:01:51.680 --> 00:01:53.840]  (主席) 它說有耳可聽的
[00:01:53.840 --> 00:01:56.640]  (主席) 就應當聽
[00:01:56.640 --> 00:01:59.160]  (主席) 真是願我們用謙卑的心
[00:01:59.160 --> 00:02:01.960]  (主席) 來繼續聆聽上帝的說話
[00:02:01.960 --> 00:02:05.400]  (主席) 在這裡我們先開始來祈禱
[00:02:05.400 --> 00:02:08.960]  (主席) 我們一起低頭
[00:02:08.960 --> 00:02:10.720]  (主席) 前來天父我們知道
[00:02:10.720 --> 00:02:12.920]  (主席) 你是永生之道
[00:02:12.920 --> 00:02:15.360]  (主席) 我們還歸從誰呢?
[00:02:15.360 --> 00:02:18.240]  (主席) 祈求主祢打開我們的心靈
