
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 再次問候大家平安
[00:00:03.000 --> 00:00:08.000]  相信在座各位有很多搭飛機的經驗 是不是
[00:00:08.000 --> 00:00:11.000]  有沒有一些搭飛機省錢的方法
[00:00:11.000 --> 00:00:17.000]  有一個人他帶著很多行李去搭飛機
[00:00:17.000 --> 00:00:25.000]  他手拿著包括有一件超過十公斤的行李
[00:00:25.000 --> 00:00:29.000]  十公斤都不輕 都重的
[00:00:30.000 --> 00:00:32.000]  加上一個很大的電腦袋
[00:00:32.000 --> 00:00:38.000]  還要穿兩件大褸上身
[00:00:38.000 --> 00:00:41.000]  你知道大褸都很重的 是不是
[00:00:41.000 --> 00:00:44.000]  不止 大褸裏面的袋子很大
[00:00:44.000 --> 00:00:46.000]  能塞得到重的東西 細件的都塞進去
[00:00:46.000 --> 00:00:50.000]  結果這個人全身都很重
[00:00:50.000 --> 00:00:54.000]  他一路上飛機的時候就亂亂進進地搬很多東西
[00:00:54.000 --> 00:00:58.000]  大汗搭細汗地上飛機
[00:00:59.000 --> 00:01:01.000]  但是他心裏想
[00:01:01.000 --> 00:01:06.000]  我省了五十元 辛苦一點都值得
[00:01:06.000 --> 00:01:09.000]  我省了五十元寄艙行李的費用
[00:01:09.000 --> 00:01:12.000]  辛苦一點都值得
[00:01:12.000 --> 00:01:14.000]  當他要去轉機的時候
[00:01:14.000 --> 00:01:18.000]  同樣他也是拿著這一堆行李上上落落
[00:01:18.000 --> 00:01:21.000]  又是出汗
[00:01:21.000 --> 00:01:24.000]  你知道特別有些人好像我的肥人
[00:01:24.000 --> 00:01:26.000]  這個人不是我來的
[00:01:27.000 --> 00:01:29.000]  肥人比較容易出汗
[00:01:29.000 --> 00:01:32.000]  很辛苦 上落轉機
[00:01:32.000 --> 00:01:34.000]  又要拿著行李
[00:01:34.000 --> 00:01:36.000]  但是他心裏想
[00:01:36.000 --> 00:01:40.000]  省了五十元 值得
[00:01:40.000 --> 00:01:45.000]  所以他仍舊是拿著很多很重的行李
[00:01:45.000 --> 00:01:48.000]  走來走去 繼續他前面要走的路程
[00:01:48.000 --> 00:01:51.000]  弟兄姊妹 可能你心裏在笑
[00:01:51.000 --> 00:01:56.000]  五十元 給他吧 我就不會像他這樣做了
[00:01:57.000 --> 00:01:59.000]  但是你心裏
[00:01:59.000 --> 00:02:03.000]  你人生裏有沒有為了一些你自己認為是值得的東西
[00:02:03.000 --> 00:02:07.000]  背了很多的行李 很多的重擔
[00:02:07.000 --> 00:02:11.000]  在身上走你人生要走的路程呢
[00:02:11.000 --> 00:02:15.000]  甚至有時這些重擔 這些包袱
