
[00:00:00.000 --> 00:00:03.920]  好,我們講到路加福音第十六章
[00:00:03.920 --> 00:00:06.720]  這段經文是耶穌講了一個比喻
[00:00:06.720 --> 00:00:10.720]  接著有一段都講關於錢的
[00:00:10.720 --> 00:00:14.320]  我們今天思想的方向就是
[00:00:14.320 --> 00:00:16.720]  我們要做一個好的管家
[00:00:16.720 --> 00:00:19.120]  神的中心,聰明的管家
[00:00:19.120 --> 00:00:23.120]  你讀由一至到第八節
[00:00:23.120 --> 00:00:25.920]  其實耶穌講了一個比喻,很簡單的
[00:00:25.920 --> 00:00:28.720]  不過挺難解的
[00:00:28.720 --> 00:00:31.520]  為什麼耶穌說他是聰明呢?
[00:00:31.520 --> 00:00:35.520]  其實他做的事,他的行為
[00:00:35.520 --> 00:00:39.520]  他對門徒說,耶穌對著的對象是門徒
[00:00:39.520 --> 00:00:43.520]  其實當時的法利賽人等等都在,有身邊的人
[00:00:43.520 --> 00:00:45.520]  有一個財主的管家
[00:00:45.520 --> 00:00:48.720]  這個管家如果按照經文的比喻
[00:00:48.720 --> 00:00:53.520]  他應該是管理財主的財政財務的
[00:00:53.520 --> 00:00:55.520]  全部是他管理的
[00:00:55.520 --> 00:01:01.520]  有人告訴主人,告他這個管家浪費主人的財物
[00:01:01.520 --> 00:01:03.520]  主人就叫他來
[00:01:03.520 --> 00:01:07.520]  聽見之後就說,我聽見這件事,究竟是怎樣的呢?
[00:01:07.520 --> 00:01:13.520]  請你把帳目,全部帳目交代清楚
[00:01:13.520 --> 00:01:15.520]  然後就炒油了
[00:01:15.520 --> 00:01:17.520]  你不可以做我的管家了
[00:01:17.520 --> 00:01:21.520]  都明白了,他要交給下一手,可能要管
[00:01:21.520 --> 00:01:23.520]  可想而知這個主人
[00:01:23.520 --> 00:01:25.520]  這個財主都頗信任他
[00:01:25.520 --> 00:01:27.520]  全部交給他,其實他都不知道
[00:01:27.520 --> 00:01:29.520]  總之你交代清楚
[00:01:29.520 --> 00:01:31.520]  應該他很有權的
[00:01:31.520 --> 00:01:35.520]  很快的,眾心就出來了
[00:01:35.520 --> 00:01:39.520]  管家就心裏說,主人辭我,現在炒我油
[00:01:39.520 --> 00:01:43.520]  不要不做管家,將來怎樣呢?
[00:01:43.520 --> 00:01:49.520]  聖經說,耶穌說這個比喻說,這個人作事聰明
[00:01:49.520 --> 00:01:51.520]  究竟他怎樣聰明呢?
[00:01:51.520 --> 00:01:54.520]  第一,他想想怎樣
[00:01:54.520 --> 00:01:56.520]  大家會不會想想怎樣的?
[00:01:56.520 --> 00:01:58.520]  將來怎樣的?
[00:01:58.520 --> 00:02:00.520]  會的,他想想怎樣
[00:02:00.520 --> 00:02:03.520]  他想著沒得做,炒油怎麼辦呢?
[00:02:03.520 --> 00:02:06.520]  他還想到一樣,他對自己頗有認識
