
[00:00:00.000 --> 00:00:03.460]  (主席) 丙姊妹主內平安
[00:00:03.460 --> 00:00:08.880]  感謝主我們今天又可以在網上一同來崇拜
[00:00:08.880 --> 00:00:14.060]  相信大家最近都留意一些限聚令的轉變
[00:00:14.060 --> 00:00:17.960]  譬如在2月10日開始我們恢復晚市的堂食
[00:00:17.960 --> 00:00:21.020]  可能每桌四個人
[00:00:21.020 --> 00:00:23.220]  我想在這個時間
[00:00:23.220 --> 00:00:28.540]  飲食界、美容院、健身中心的職員都很期待著
[00:00:28.540 --> 00:00:31.720]  究竟何時真正開工呢?
[00:00:31.720 --> 00:00:35.460]  很擔心何時要關門呢?
[00:00:35.460 --> 00:00:39.500]  近來不知你有沒有準備打疫苗呢?
[00:00:39.500 --> 00:00:42.420]  疫苗原來有時限,要打多少劑呢?
[00:00:42.420 --> 00:00:46.160]  劑與劑之間分隔多長時間才去打呢?
[00:00:46.160 --> 00:00:49.020]  究竟你打算何時去打呢?
[00:00:49.020 --> 00:00:51.260]  又或者疫情開始的時候
[00:00:51.260 --> 00:00:54.720]  你買了很多糧食放在櫃子裡
[00:00:54.720 --> 00:01:00.180]  你有沒有檢查一下未吃的是不是已經過期了?
[00:01:00.180 --> 00:01:04.020]  很多的事物都有一個限期,有一個定期
[00:01:04.020 --> 00:01:07.940]  傳道書第三章就清楚地表達一個信息
[00:01:07.940 --> 00:01:10.980]  就是凡事都是有定期的
[00:01:10.980 --> 00:01:15.840]  包括每一個人一生所遭遇大大小小的事情
[00:01:15.840 --> 00:01:19.000]  都在上帝整體的計劃裡面
[00:01:19.000 --> 00:01:22.000]  而人生滿足的意義是在於
[00:01:22.000 --> 00:01:26.380]  我們能夠去接受這個限期,這個定期
[00:01:26.380 --> 00:01:31.000]  是上帝所為我們設的
[00:01:31.000 --> 00:01:34.500]  傳道書三章,一到第八節
[00:01:34.500 --> 00:01:38.880]  剛才碧如傳道為我們去讀出的
[00:01:38.880 --> 00:01:41.380]  經文指出了一個實況就是
[00:01:41.380 --> 00:01:46.700]  凡事都有定期,天下萬物都有定時
[00:01:46.700 --> 00:01:49.620]  我們的經文說到生有時,死有時
[00:01:49.620 --> 00:01:54.380]  哭有時,笑有時,撕裂有時,縫補有時
[00:01:54.380 --> 00:01:57.800]  愛有時,恨有時
[00:01:57.800 --> 00:02:02.780]  凡事意思是指包括人生大小的事情
[00:02:02.780 --> 00:02:06.500]  而定期,這個定期不是由人類去定的
[00:02:06.500 --> 00:02:10.160]  是由上帝為我們而定出的
[00:02:10.160 --> 00:02:13.060]  猶太人以七為完整的數目
[00:02:13.060 --> 00:02:16.360]  所以剛才那一節八節是用了七的雙倍
[00:02:16.360 --> 00:02:20.180]  就是十四個極端的對比
[00:02:20.180 --> 00:02:24.740]  去表達出人生所經歷的時刻和境況
[00:02:24.740 --> 00:02:26.360]  都是我們會經歷的
[00:02:26.360 --> 00:02:29.820]  生、死、歡笑、哭
[00:02:29.820 --> 00:02:31.960]  都是我們會所經歷的
[00:02:31.960 --> 00:02:35.660]  而每一個對比都是一個正反面
[00:02:35.660 --> 00:02:37.260]  生和死
[00:02:37.260 --> 00:02:43.180]  原來上帝就在我們人的生和死的時間框架當中
[00:02:43.180 --> 00:02:47.020]  有祂美好的旨意和計劃
[00:02:47.020 --> 00:02:49.640]  這是神所設計的
[00:02:49.640 --> 00:02:51.260]  而在這個框架中
[00:02:51.260 --> 00:02:55.900]  神可以讓我們自由地嘗試各樣的事情
[00:02:55.900 --> 00:03:01.080]  包括好和壞的事情
[00:03:01.080 --> 00:03:10.100]  或者你可能用殘酷無情來形容上帝的安排
[00:03:10.100 --> 00:03:15.900]  是的,是人無法控制的
