
[00:00:00.000 --> 00:00:02.360]  各位靈姐妹,我們今天讀經
[00:00:02.360 --> 00:00:05.040]  馬太福音二十六章
[00:00:05.040 --> 00:00:07.440]  二十六至二十九節
[00:00:07.440 --> 00:00:09.440]  我們看一看經文
[00:00:09.440 --> 00:00:12.720]  好,預備,一二三
[00:00:12.720 --> 00:00:16.640]  他們吃的時候,耶穌拿起餅來
[00:00:16.640 --> 00:00:20.800]  祝福,就撒開,遞給門徒說
[00:00:20.800 --> 00:00:24.640]  你們拿著吃,這是我的身體
[00:00:24.640 --> 00:00:27.680]  又拿起杯來,祝謝了
[00:00:27.680 --> 00:00:30.120]  就遞給他們,說
[00:00:30.120 --> 00:00:32.360]  你們都喝這個
[00:00:32.360 --> 00:00:35.360]  因為這是我納藥的血
[00:00:35.360 --> 00:00:39.360]  為多人流出來,使罪得赦
[00:00:39.360 --> 00:00:42.360]  但我告訴你們
[00:00:42.360 --> 00:00:46.760]  從今以後,我不再喝這葡萄汁
[00:00:46.760 --> 00:00:49.960]  直到我在我父的國內
[00:00:49.960 --> 00:00:53.560]  和你們學新的那日子
[00:00:53.560 --> 00:00:56.360]  各位靈姐妹,再一次早晨,早晨
[00:00:56.360 --> 00:00:59.960]  如果你有留意,今天我們會繼續說聖餐
[00:00:59.960 --> 00:01:01.960]  今天我們是聖餐主人
[00:01:01.960 --> 00:01:04.960]  我們的題目是期盼
[00:01:04.960 --> 00:01:09.560]  這段經文,我們相信大家已經非常熟悉
[00:01:09.560 --> 00:01:12.960]  我想問大家有沒有試過菜?
[00:01:12.960 --> 00:01:14.960]  試菜
[00:01:14.960 --> 00:01:17.960]  什麼場合會試菜呢?
[00:01:17.960 --> 00:01:21.960]  擺酒,婚宴,壽宴
[00:01:21.960 --> 00:01:24.960]  或者一些很隆重的場合
[00:01:24.960 --> 00:01:26.960]  為免有什麼差錯
[00:01:26.960 --> 00:01:28.960]  就之前去試一下,試一下
[00:01:28.960 --> 00:01:31.960]  看看場地,看看那些食物行不行
[00:01:31.960 --> 00:01:33.960]  行的話才博取
[00:01:33.960 --> 00:01:36.960]  就是那間,就是吃那些菜
[00:01:36.960 --> 00:01:40.960]  以致到時就不會失禮那些賓客
[00:01:40.960 --> 00:01:43.960]  是不是?試菜
[00:01:43.960 --> 00:01:45.960]  試菜很重要
[00:01:45.960 --> 00:01:49.960]  因為我們試過,才知道行不行
[00:01:49.960 --> 00:01:51.960]  我今天告訴大家
[00:01:51.960 --> 00:01:57.960]  原來聖餐也是讓我們試菜
[00:01:57.960 --> 00:02:02.960]  試一下天國賢侄的味道
[00:02:02.960 --> 00:02:04.960]  當然我告訴你
[00:02:04.960 --> 00:02:09.960]  如果你有領受聖餐這個恩典的時候
[00:02:09.960 --> 00:02:13.960]  聖餐是吃個斑尋味,舔舔舌
[00:02:13.960 --> 00:02:16.960]  因為每一次你領受聖餐的時候
