
[00:00:00.000 --> 00:00:02.000]  各位頂姐妹,平安!
[00:00:02.000 --> 00:00:06.000]  由我們開始的時候,我們一起做個祈禱
[00:00:06.000 --> 00:00:12.000]  因為我們很感謝你,因為你每個星期都跟我們說話
[00:00:12.000 --> 00:00:16.000]  你的話語更是我們腳前的燈,路上的光
[00:00:16.000 --> 00:00:18.000]  照亮著我們的人生
[00:00:18.000 --> 00:00:22.000]  從這個時候繼續跟我們說話
[00:00:22.000 --> 00:00:26.000]  以致說的和聽的都能夠同感一鈴
[00:00:26.000 --> 00:00:29.000]  我們以上的祈禱,奉主耶穌基督的聖名
[00:00:30.000 --> 00:00:32.000]  對的
[00:00:32.000 --> 00:00:38.000]  我想大家每一天都是機不離手的,是不是?
[00:00:38.000 --> 00:00:40.000]  有沒有人不是?我想沒有
[00:00:40.000 --> 00:00:45.000]  這張圖是我第一個手機
[00:00:45.000 --> 00:00:47.000]  當時那個牌子叫做什麼?
[00:00:47.000 --> 00:00:49.000]  叫做洛基亞
[00:00:49.000 --> 00:00:54.000]  但是今天有沒有人用洛基亞的呢?
[00:00:54.000 --> 00:00:55.000]  沒有吧?
[00:00:55.000 --> 00:01:01.000]  或者外面還有賣的,但是可能都是那些二三線的手機
[00:01:01.000 --> 00:01:07.000]  為什麼這個曾經是風行一時的龍頭大牌子
[00:01:07.000 --> 00:01:11.000]  會突然間銷聲匿跡,沒有繼續下去
[00:01:11.000 --> 00:01:15.000]  或者是不受人歡迎的呢?
[00:01:15.000 --> 00:01:22.000]  當時那位洛基亞的CEO叫做約瑪·奧利拉
[00:01:22.000 --> 00:01:25.000]  曾經說過一句話
[00:01:25.000 --> 00:01:28.000]  我們都沒有做了什麼
[00:01:28.000 --> 00:01:32.000]  但是不知道為什麼我們就輸了
[00:01:32.000 --> 00:01:34.000]  真的不知道為什麼
[00:01:34.000 --> 00:01:38.000]  但是後來有專家就發現
[00:01:38.000 --> 00:01:42.000]  他們的問題到底發生在哪裡呢?
[00:01:42.000 --> 00:01:45.000]  原來在這個科技爆炸的時代
[00:01:45.000 --> 00:01:48.000]  在這個科技的十字路口上面
[00:01:48.000 --> 00:01:52.000]  洛基亞的高層仍然是堅持著
[00:01:52.000 --> 00:01:56.000]  他們自己所發明的那個叫做賽班系統
[00:01:56.000 --> 00:01:58.000]  Symbian
[00:01:58.000 --> 00:02:03.000]  但是這個系統就不能夠追上時代
[00:02:03.000 --> 00:02:07.000]  本來洛基亞是可以東山再起的
[00:02:07.000 --> 00:02:11.000]  但是高層卻是選擇了和微軟
[00:02:11.000 --> 00:02:19.000]  即是Microsoft來合作,來發展Windows的作業系統
[00:02:19.000 --> 00:02:21.000]  但是沒有選擇到
[00:02:21.000 --> 00:02:25.000]  當時漸漸流行起來的安卓系統
[00:02:25.000 --> 00:02:28.000]  即是我們現在用的那些Android
[00:02:28.000 --> 00:02:33.000]  這種科技的自尊,以及一字孤行的決策
[00:02:33.000 --> 00:02:36.000]  使得他們就疏失了這個市場
[00:02:36.000 --> 00:02:39.000]  慢慢就走向衰敗
[00:02:39.000 --> 00:02:42.000]  同樣在這個信仰問題上面
[00:02:42.000 --> 00:02:47.000]  如果我們仍然是堅持著我們錯誤的方向的時候
[00:02:47.000 --> 00:02:51.000]  其實這個後果都是很嚴重的
[00:02:51.000 --> 00:02:55.000]  今天我們所讀的這篇經文
[00:02:55.000 --> 00:02:57.000]  看到我們真的很不安
[00:02:57.000 --> 00:03:02.000]  因為找到神是藉著這個先知河西亞
[00:03:02.000 --> 00:03:06.000]  來宣佈以色列的罪狀
[00:03:06.000 --> 00:03:10.000]  我會分三個部份跟大家一起講一下
[00:03:10.000 --> 00:03:19.000]  第一部份就是講到為什麼以色列是受到神的警告的
[00:03:19.000 --> 00:03:23.000]  他們到底錯在哪裡呢
[00:03:23.000 --> 00:03:28.000]  先知說他們背弱棄法
[00:03:28.000 --> 00:03:31.000]  說他們是拒絕了神的約
[00:03:31.000 --> 00:03:35.000]  他們不要神去管他,拒絕了神的主權
[00:03:35.000 --> 00:03:37.000]  具體的表現是什麼呢
[00:03:37.000 --> 00:03:39.000]  是不聽神的吩咐
[00:03:39.000 --> 00:03:42.000]  所以說是他們干犯了律法
[00:03:42.000 --> 00:03:44.000]  就是說他們不聽神的教導
[00:03:44.000 --> 00:03:46.000]  以及神的指引
[00:03:46.000 --> 00:03:50.000]  他們走的生活方式都很有問題
[00:03:50.000 --> 00:03:56.000]  在這裡神是藉著吹角來警告他們
[00:03:56.000 --> 00:03:59.000]  吹角其實是一種警暴
[00:03:59.000 --> 00:04:05.000]  就好像現在火速的時候,我們是響警響啞
[00:04:05.000 --> 00:04:09.000]  就是說審判即將要來了
[00:04:09.000 --> 00:04:12.000]  敵人就好像鷹一樣
[00:04:12.000 --> 00:04:15.000]  很快地要來襲擊以色列
[00:04:15.000 --> 00:04:19.000]  通常鷹是一艘船在空中
[00:04:19.000 --> 00:04:23.000]  等待獵物快要死的時候
[00:04:23.000 --> 00:04:29.000]  就迅速地下去把他們吞噬
[00:04:29.000 --> 00:04:33.000]  鷹就是亞述的保護神
[00:04:33.000 --> 00:04:37.000]  所以在這裡荷西亞是用鷹來代表亞述
[00:04:37.000 --> 00:04:46.000]  就是說亞述很快就要來攻打垂死的以色列
[00:04:46.000 --> 00:04:50.000]  第二點就是說他們是不認識神
[00:04:50.000 --> 00:04:53.000]  當災難臨到以色列的時候
[00:04:53.000 --> 00:04:57.000]  百姓總是大聲呼叫
[00:04:57.000 --> 00:05:00.000]  先知在這裡引用了他們的話
[00:05:00.000 --> 00:05:02.000]  正如第二節所說
[00:05:02.000 --> 00:05:07.000]  我的神,我們以色列認識你了
[00:05:07.000 --> 00:05:09.000]  其實有沒有認識呢?
[00:05:09.000 --> 00:05:12.000]  似乎他們在強詞奪理
[00:05:12.000 --> 00:05:14.000]  他們說自己是認識神
[00:05:14.000 --> 00:05:17.000]  其實他們根本就是不認識神
[00:05:17.000 --> 00:05:22.000]  上星期我們已經說過怎樣才算認識神
[00:05:22.000 --> 00:05:26.000]  就是一定要跟神有親密的關係
[00:05:26.000 --> 00:05:27.000]  牧師也說過
[00:05:27.000 --> 00:05:29.000]  就好像夫妻的關係一樣
[00:05:29.000 --> 00:05:31.000]  但是百姓是怎樣的?
[00:05:31.000 --> 00:05:33.000]  他們是很善忘的
[00:05:33.000 --> 00:05:37.000]  很快就故態復盟了
[00:05:37.000 --> 00:05:42.000]  正如在六章第四節所說
[00:05:42.000 --> 00:05:47.000]  因為你們的良善如同祖神的雲霧
[00:05:47.000 --> 00:05:50.000]  猶如速散的金爐
[00:05:50.000 --> 00:05:53.000]  就是說他們有姿勢就沒有實際
[00:05:53.000 --> 00:05:55.000]  生活一點變化都沒有
[00:05:55.000 --> 00:05:59.000]  怎麼能夠證明他們是認識神呢?
[00:05:59.000 --> 00:06:03.000]  其實先知以塞亞早就曾經說過
[00:06:03.000 --> 00:06:06.000]  以塞亞書第二十九章說過
