
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹祝你平安
[00:00:03.000 --> 00:00:08.000]  感謝祖讓我今天再次有機會來到這裡一起敬拜祖
[00:00:08.000 --> 00:00:10.000]  一起分享神的話語
[00:00:10.000 --> 00:00:16.000]  感謝主給我有這個機會在這裡跟大家一起敬拜主
[00:00:16.000 --> 00:00:19.000]  謝謝我們粵語堂的牧師長老
[00:00:19.000 --> 00:00:23.000]  也謝謝等一下閻牧師會到我們國語堂去正道
[00:00:23.000 --> 00:00:27.000]  多謝粵語堂給我有這個機會在這裡敬拜
[00:00:27.000 --> 00:00:31.000]  還有多謝閻牧師等一下也會到國語堂去分享
[00:00:31.000 --> 00:00:35.000]  剛才周長老帶我們讀的這段經文
[00:00:35.000 --> 00:00:38.000]  以斯拉記一章1到11節
[00:00:38.000 --> 00:00:45.000]  剛才周長老帶我們讀了這段以斯拉記第一章的經文
[00:00:45.000 --> 00:00:48.000]  這是出自猶太人的聖經
[00:00:48.000 --> 00:00:51.000]  是出自猶太人的聖經
[00:00:51.000 --> 00:00:54.000]  我們知道猶太人的聖經分為三個部分
[00:00:54.000 --> 00:00:59.000]  我們知道猶太人的聖經是有三個部分
[00:00:59.000 --> 00:01:02.000]  包括有這個陀螺有蠍子
[00:01:02.000 --> 00:01:07.000]  也有包括這個叫做文集的第三部分
[00:01:07.000 --> 00:01:13.000]  包括有陀螺先知和一些
[00:01:13.000 --> 00:01:16.000]  弟兄姊妹
[00:01:16.000 --> 00:01:22.000]  猜一下我們剛才所念的這段經文會在哪一個部分當中
[00:01:22.000 --> 00:01:28.000]  我們猜一下剛才這段經文是屬於哪一個部分
[00:01:28.000 --> 00:01:33.000]  當然不可能是在陀螺或者摩西五經當中
[00:01:33.000 --> 00:01:40.000]  當然不是屬於陀螺和摩西五經當中
[00:01:40.000 --> 00:01:45.000]  其實這以斯拉記也不在蠍子書當中
[00:01:45.000 --> 00:01:49.000]  當然也不是屬於先知書當中
[00:01:49.000 --> 00:01:53.000]  這些以斯拉記和詩篇、箴言、約博記等
[00:01:53.000 --> 00:01:58.000]  這些智慧書一起都列入了文集當中
[00:01:58.000 --> 00:02:06.000]  以斯拉記和詩篇、箴言、約博記是編在一起的
[00:02:06.000 --> 00:02:08.000]  在文集當中
[00:02:08.000 --> 00:02:09.000]  所以這給我們一個提示
[00:02:09.000 --> 00:02:14.000]  這些以斯拉記其實也是關於人生的哲學
[00:02:14.000 --> 00:02:20.000]  在基督教聖經當中、舊約當中
[00:02:20.000 --> 00:02:23.000]  以斯拉記被分解為兩絕書
[00:02:23.000 --> 00:02:28.000]  就是《以斯拉記》和《尼西米記》
[00:02:28.000 --> 00:02:30.000]  在舊約當中
[00:02:30.000 --> 00:02:34.000]  以斯拉記在聖經當中分了兩卷書
[00:02:34.000 --> 00:02:45.000]  都被列入在舊約的歷史書當中
[00:02:45.000 --> 00:02:50.000]  是記錄在舊約的書當中
[00:02:50.000 --> 00:02:52.000]  所以我們可以看到
[00:02:52.000 --> 00:02:54.000]  以色列人的這一段歷史
[00:02:54.000 --> 00:02:56.000]  其實不單是關於歷史
[00:02:56.000 --> 00:03:01.000]  也是關於上帝給我們人生智慧的啟示
[00:03:01.000 --> 00:03:04.000]  所以我們可以看到
[00:03:04.000 --> 00:03:07.000]  以斯拉記不單是歷史書
[00:03:07.000 --> 00:03:11.000]  而是上帝給我們的啟示
[00:03:11.000 --> 00:03:15.000]  最近我跟國語堂弟兄姊妹分享的講道系列
[00:03:15.000 --> 00:03:17.000]  就是《以斯拉記》
[00:03:17.000 --> 00:03:23.000]  最近我在國語堂和國語報分享《以斯拉記》
[00:03:23.000 --> 00:03:26.000]  《以斯拉記》加上《尼西米記》這兩絕書
[00:03:26.000 --> 00:03:40.000]  總共記載了以色列人三次的回歸與重建
[00:03:40.000 --> 00:03:49.000]  為什麼說有三次回歸三次重建呢?
[00:03:49.000 --> 00:03:51.000]  因為在以斯拉記之前
[00:03:51.000 --> 00:03:54.000]  以色列的南國北國都已經亡國了
[00:03:54.000 --> 00:03:57.000]  因為在以斯拉記之前
[00:03:57.000 --> 00:04:00.000]  南國和北國都已經亡國了
[00:04:00.000 --> 00:04:06.000]  而且以色列人從應許之地被擄到了異國他鄉
[00:04:06.000 --> 00:04:09.000]  被擄到了亞蘇帝國
[00:04:09.000 --> 00:04:12.000]  也被擄到了巴比倫帝國
[00:04:12.000 --> 00:04:20.000]  因為之前以色列人已經被擄到...
[00:04:20.000 --> 00:04:31.000]  所以從此之後在應許之地基本上沒有以色列人了
[00:04:31.000 --> 00:04:36.000]  但是《以斯拉記》《尼西米記》
[00:04:36.000 --> 00:04:39.000]  所記載的這三次回歸與重建之後
[00:04:39.000 --> 00:04:43.000]  上帝的子民又再一次回到了應許之地
[00:04:43.000 --> 00:04:53.000]  《以斯拉記》和《尼西米記》記載了以色列人再次回到應許之地
[00:04:53.000 --> 00:04:56.000]  其中第一批回歸的以色列人
[00:04:56.000 --> 00:04:59.000]  他們在又過了530多年之後
[00:04:59.000 --> 00:05:04.000]  有一個男孩子在耶路撒冷附近的一個小鎮
[00:05:04.000 --> 00:05:06.000]  叫伯利恆,降生了
[00:05:06.000 --> 00:05:09.000]  這個男孩子的名字叫耶穌
[00:05:09.000 --> 00:05:12.000]  在第一批以色列人回歸之後
[00:05:12.000 --> 00:05:15.000]  又大約過了530年
[00:05:15.000 --> 00:05:20.000]  有一位男嬰在耶路撒冷附近的伯利恆降生
[00:05:20.000 --> 00:05:23.000]  這個男嬰叫做耶穌
[00:05:23.000 --> 00:05:25.000]  耶穌的母親叫瑪利亞
[00:05:25.000 --> 00:05:28.000]  瑪利亞的丈夫叫約瑟
[00:05:28.000 --> 00:05:33.000]  耶穌的母親是瑪利亞
[00:05:33.000 --> 00:05:36.000]  他的父親叫約瑟
[00:05:36.000 --> 00:05:43.000]  這對夫婦正是當年從被擄之地回歸到應許之地的以色列人的後代之一
[00:05:43.000 --> 00:05:51.000]  他們的父母親都是當年被擄回到應許之地的以色列人的後代
[00:05:51.000 --> 00:05:54.000]  我們今天知道耶穌是誰
[00:05:54.000 --> 00:05:57.000]  我們今天知道耶穌基督是誰
[00:05:57.000 --> 00:06:01.000]  他是就約所應許的彌賽亞,是救世主
[00:06:01.000 --> 00:06:09.000]  他是上帝的獨生愛子,是基督耶穌
[00:06:09.000 --> 00:06:14.000]  他也是上帝的獨生愛子,耶穌基督
[00:06:14.000 --> 00:06:18.000]  我們認識耶穌基督,我們就罪得赦免
[00:06:18.000 --> 00:06:20.000]  我們就成為上帝的兒女
[00:06:20.000 --> 00:06:24.000]  我們認識耶穌基督,我們的罪就會得到赦免
[00:06:24.000 --> 00:06:27.000]  會成為祂的子民
[00:06:27.000 --> 00:06:33.000]  所以我們從歷史的眼光去看,以色列人這三次的回歸
[00:06:33.000 --> 00:06:37.000]  讓上帝的應許得以再次得到應驗
[00:06:37.000 --> 00:06:40.000]  所以我們在這個歷史的視角來看
[00:06:40.000 --> 00:06:45.000]  我們對上帝的應許是再一次的應驗
[00:06:45.000 --> 00:06:48.000]  上帝的救贖計劃得以持續
[00:06:48.000 --> 00:06:53.000]  上帝的救贖計劃是得到持續的
[00:06:53.000 --> 00:06:56.000]  這是我們從宏觀的歷史的角度
[00:06:56.000 --> 00:06:59.000]  這是我們從宏觀的歷史的角度
[00:06:59.000 --> 00:07:04.000]  我們從微觀的個人的靈生的角度也可以看到
