
[00:00:00.000 --> 00:00:02.520]  不知道大家有否聽過一首歌叫做
[00:00:02.520 --> 00:00:06.120]  「天才與白癡」
[00:00:06.120 --> 00:00:08.580]  有聽過這首歌嗎?
[00:00:08.580 --> 00:00:11.080]  那唱一句吧
[00:00:11.080 --> 00:00:14.200]  你唱其中一句吧,想起歌詞
[00:00:14.200 --> 00:00:17.200]  「天才與白癡」
[00:00:17.200 --> 00:00:19.680]  這是一個版本來的
[00:00:19.680 --> 00:00:24.440]  當然是一個比較Wilson的年代版本
[00:00:24.440 --> 00:00:25.960]  是非常好聽的
[00:00:25.960 --> 00:00:28.760]  還有一個版本,有沒有人聽過呢?
[00:00:28.760 --> 00:00:30.760]  就是…
[00:00:30.760 --> 00:00:32.080]  沒有人聽過?
[00:00:32.080 --> 00:00:34.400]  古弊基的,沒有聽過?
[00:00:34.400 --> 00:00:37.600]  就是「這個白癡」
[00:00:37.600 --> 00:00:39.120]  沒有聽過?
[00:00:39.120 --> 00:00:41.560]  「寧你夢遍亦可以」
[00:00:41.560 --> 00:00:43.560]  有沒有聽過?
[00:00:43.560 --> 00:00:46.120]  「愁你點,給你紙」
[00:00:46.120 --> 00:00:48.120]  當然今天我不是唱歌
[00:00:48.120 --> 00:00:49.840]  兩首我都會說一下
[00:00:49.840 --> 00:00:51.160]  這首歌很有趣
[00:00:51.160 --> 00:00:54.080]  「這個白癡,愁你夢遍亦可以」
[00:00:54.080 --> 00:00:56.440]  「愁你點,給你紙」
[00:00:56.440 --> 00:00:59.280]  「到最終那時」
[00:00:59.280 --> 00:01:02.920]  「至此,誰會醉意」
[00:01:02.920 --> 00:01:04.120]  他說甚麼呢?
[00:01:04.120 --> 00:01:06.120]  「逼你成熟」
[00:01:06.120 --> 00:01:09.440]  「開口講,我願意」
[00:01:09.440 --> 00:01:11.880]  即是求婚,對吧?
[00:01:11.880 --> 00:01:15.000]  其實這個很重要
[00:01:15.000 --> 00:01:18.520]  其實是詐蠢的
[00:01:18.520 --> 00:01:20.120]  即是騙你,不…
[00:01:20.120 --> 00:01:22.840]  即是哄你
[00:01:22.840 --> 00:01:25.760]  「全為你付出,機智」
[00:01:25.760 --> 00:01:28.920]  究竟他是白癡還是天才呢?
[00:01:28.920 --> 00:01:31.800]  他究竟是裝糊塗還是真實呢?
[00:01:31.800 --> 00:01:32.600]  不知道
[00:01:32.600 --> 00:01:35.200]  這個世界都是,很多人將人評價
[00:01:35.200 --> 00:01:36.280]  他是聰明,他是蠢
[00:01:36.280 --> 00:01:38.200]  他是聰明一點,他在那裡
[00:01:38.200 --> 00:01:39.720]  他住那裡,他讀那裡
[00:01:39.720 --> 00:01:40.960]  這個是這樣,這個是蠢一點
[00:01:40.960 --> 00:01:43.480]  是真的還是假的呢?不知道
[00:01:43.480 --> 00:01:46.360]  許倦杰這首歌都非常特別
[00:01:46.360 --> 00:01:47.920]  第一句這麼說
[00:01:47.920 --> 00:01:49.960]  他說「這個世界上」
[00:01:49.960 --> 00:01:53.440]  「有聰明,有糊塗,有聰明,有聰明,有蠢」
[00:01:53.440 --> 00:01:55.520]  「還有甚麼?傻子」
[00:01:55.520 --> 00:01:58.160]  看看你旁邊,當然不是那個
[00:01:58.160 --> 00:02:00.720]  「有衰仔,有好仔,有反骨仔」
[00:02:00.720 --> 00:02:01.960]  「癲仔,蠢仔」
[00:02:01.960 --> 00:02:05.840]  「還弊過甚麼?敗家仔」
[00:02:05.840 --> 00:02:09.280]  副歌是這樣唱的
[00:02:09.280 --> 00:02:11.880]  「誰是天才」
[00:02:11.880 --> 00:02:15.080]  然後說「誰是…」
[00:02:15.080 --> 00:02:18.240]  大家這首真的熟悉很多
[00:02:18.240 --> 00:02:19.880]  這個早幾十年了
[00:02:19.880 --> 00:02:21.560]  看你的樣子都…
[00:02:21.560 --> 00:02:23.000]  好,接著
[00:02:23.000 --> 00:02:26.800]  「笨懵定蠢才」
[00:02:26.800 --> 00:02:29.400]  「冇咁易會知」
[00:02:29.400 --> 00:02:30.320]  接著這句
[00:02:30.320 --> 00:02:37.840]  「天才與你痴定我痴」
[00:02:37.840 --> 00:02:41.160]  看一看,你痴還是我痴
[00:02:41.160 --> 00:02:42.960]  接著怎樣?再說一次
[00:02:42.960 --> 00:02:45.120]  「天才與…」甚麼?
[00:02:45.120 --> 00:02:48.760]  「冇咁易會知」
[00:02:48.760 --> 00:02:50.360]  這句很難說
[00:02:50.360 --> 00:02:53.840]  「究竟誰定天才定白痴」
[00:02:53.840 --> 00:02:56.840]  「誰定愚蠢定聰明」
[00:02:56.840 --> 00:03:02.320]  今天去到哥林多前書第三講
[00:03:02.320 --> 00:03:04.600]  我們說一下這個題目
[00:03:04.600 --> 00:03:08.240]  「愚蠢與聰明」
[00:03:08.240 --> 00:03:10.520]  第一講是我說的
[00:03:10.520 --> 00:03:13.000]  叫做「BB信徒簡介會」
[00:03:13.000 --> 00:03:14.080]  不知道大家記不記得
[00:03:14.080 --> 00:03:16.440]  說到哥林多的人
[00:03:16.440 --> 00:03:18.800]  當然當時是一個很厲害的城市
[00:03:18.800 --> 00:03:20.360]  很多的貿易
[00:03:20.360 --> 00:03:22.400]  很多的哲學在經過
[00:03:22.400 --> 00:03:23.880]  人們都很厲害
[00:03:23.880 --> 00:03:24.840]  所以他信主的時候
[00:03:24.840 --> 00:03:26.000]  真的覺得自己很厲害
[00:03:26.000 --> 00:03:27.600]  在保羅講到
[00:03:27.600 --> 00:03:30.360]  你好像作王一樣
[00:03:30.360 --> 00:03:32.120]  我希望你真的好像王一樣厲害
[00:03:32.120 --> 00:03:33.800]  不過不是
[00:03:33.800 --> 00:03:34.960]  去到第二講
[00:03:34.960 --> 00:03:37.360]  Pastor Winnie
[00:03:37.360 --> 00:03:39.200]  他就非常重點
[00:03:39.200 --> 00:03:41.480]  講到上一節
[00:03:41.480 --> 00:03:44.800]  他說他們BB其中一個的特顯就是
[00:03:44.800 --> 00:03:46.640]  他們分黨
[00:03:46.640 --> 00:03:49.200]  基督的信仰分為他覺得的信仰
