
[00:00:00.000 --> 00:00:04.160]  聽講道之前,先一齊的同心,低頭祈禱
[00:00:04.160 --> 00:00:12.480]  主耶穌這麼愛我們,在兩千年前祂已經為我們禱告
[00:00:12.480 --> 00:00:15.680]  求父祢幫助我們進入祢的生命裡面
[00:00:15.680 --> 00:00:21.440]  祢也在我們生命當中,彰顯出上主耶穌基督的榮耀
[00:00:21.440 --> 00:00:26.240]  接下來我們要聽祢的話,求主祢幫助我們
[00:00:26.240 --> 00:00:29.760]  從主耶穌的禱告裡面有好的學習
[00:00:29.760 --> 00:00:35.280]  如何去禱告,以及學習耶穌的心
[00:00:35.280 --> 00:00:40.320]  奉耶穌基督的名祈禱,阿們
[00:00:40.320 --> 00:00:43.760]  上個星期我們說到主耶穌基督,作為一個基督徒
[00:00:43.760 --> 00:00:48.880]  我們有兩個標誌,第一個是彼此相愛
[00:00:48.880 --> 00:00:53.440]  這個是根據《約翰福音》十三章三十四到三十五節
[00:00:53.440 --> 00:00:57.120]  這個是一個集體的標誌
[00:00:57.120 --> 00:01:02.080]  集體的意思就是說,你一個人是沒有辦法表現出彼此相愛的
[00:01:02.080 --> 00:01:09.360]  最少都要有兩個人以上,我們才可以表現出愛的標誌
[00:01:09.360 --> 00:01:14.720]  第二個標誌就是,一個人都表現到了
[00:01:14.720 --> 00:01:20.880]  我想考考大家,看看有多少人記得第二個標誌是什麼
[00:01:20.880 --> 00:01:27.200]  記得的我們一起說,多結果子
[00:01:27.200 --> 00:01:30.800]  沒有人說嗎?
[00:01:30.800 --> 00:01:34.160]  我都很傷心,沒有人記得
[00:01:34.160 --> 00:01:36.560]  糟糕了
[00:01:36.560 --> 00:01:44.320]  這個是根據《約翰福音》十五章五節
[00:01:44.320 --> 00:01:48.720]  主耶穌說:我是葡萄樹,你們是枝子
[00:01:48.720 --> 00:01:53.280]  那常跟我連結,而我也常跟他連結的
[00:01:53.280 --> 00:01:58.480]  必定結很多果實
[00:01:58.480 --> 00:02:02.800]  一個信了主很長時間的基督徒
[00:02:02.800 --> 00:02:06.720]  假如你沒有結任何的果子
[00:02:06.720 --> 00:02:11.040]  那就只能證明你沒有和主連結
[00:02:11.040 --> 00:02:13.440]  果子可以是聖靈的果子
[00:02:13.440 --> 00:02:17.760]  也可以是領人歸主,訓練門徒的果子
[00:02:17.760 --> 00:02:25.600]  事實上,每一個基督徒都應該結出這兩種的果子
[00:02:25.600 --> 00:02:32.880]  請提醒你旁邊的弟兄姊妹一起說,要多結果子
[00:02:32.880 --> 00:02:37.120]  希望下個星期記得,要多結果子
[00:02:37.120 --> 00:02:43.280]  這個是我們基督徒的標誌
[00:02:43.280 --> 00:02:46.960]  今天我們跳過《約翰福音》第十六章
[00:02:46.960 --> 00:02:49.920]  我們講完《約翰福音》第二十一章之後
[00:02:49.920 --> 00:02:54.720]  會回頭看十四章和十六章有關聖靈的事
[00:02:54.720 --> 00:02:57.440]  今天我們要思想第十七章
[00:02:57.440 --> 00:03:00.400]  是主耶穌的禱告
[00:03:00.400 --> 00:03:07.040]  聖經中有一段祈禱文叫做《主禱文》
[00:03:07.040 --> 00:03:09.840]  是根據《馬太福音》第六章
[00:03:09.840 --> 00:03:13.920]  主耶穌教門徒祈禱的禱文
[00:03:13.920 --> 00:03:19.200]  其實那篇的祈禱文應該叫做《門徒禱文》就對了
[00:03:19.200 --> 00:03:24.640]  因為主耶穌教導門徒,你們祈禱的時候就這樣祈禱
[00:03:24.640 --> 00:03:30.000]  是給門徒用的祈禱文,並不是主耶穌自己用的
[00:03:30.000 --> 00:03:36.880]  但是教會一直以來都叫那段的禱文叫做《主禱文》
[00:03:36.880 --> 00:03:43.600]  其實不是認真正確,不過我也不想標其立異
[00:03:43.600 --> 00:03:46.160]  繼續用主禱文這個標題
[00:03:46.160 --> 00:03:50.000]  事實上約翰福音第十七章
[00:03:50.000 --> 00:03:55.840]  今天我們要思想的聖經才是名符其實的主禱文
[00:03:55.840 --> 00:04:00.320]  是主耶穌基督的祈禱文
[00:04:00.320 --> 00:04:04.320]  在未思想主耶穌的祈禱內容之前
[00:04:04.320 --> 00:04:09.760]  我想先觀察一下這段禱文的幾個特點
[00:04:09.760 --> 00:04:16.160]  因為主耶穌所做的事都可以成為我們的典範
[00:04:16.160 --> 00:04:22.560]  而祂這個禱告都可以成為我們禱告的典範
[00:04:22.560 --> 00:04:27.360]  第一,我想先看看祂禱告的地點
[00:04:27.360 --> 00:04:34.800]  上個星期提到在約翰福音十五章以後所說的話
[00:04:34.800 --> 00:04:40.560]  主耶穌和門徒其實都已經離開了他們吃晚餐的地方
[00:04:40.560 --> 00:04:44.720]  因為在十四章三十一節最後一句說話是
[00:04:44.720 --> 00:04:47.040]  「起來,我們走吧」
[00:04:47.040 --> 00:04:50.080]  然後我們看看十八章第一節
[00:04:50.080 --> 00:04:55.520]  那裡說「耶穌這樣禱告後,和門徒一度出去
[00:04:55.520 --> 00:05:02.320]  過了吸輪階,那地方有一個原址,耶穌和門徒都進去」
[00:05:02.320 --> 00:05:11.840]  一度出去,應該是指主耶穌和門徒離開耶路撒冷城
[00:05:11.840 --> 00:05:17.520]  過了吸輪階,要去喀西瑪利園的路途當中
[00:05:17.520 --> 00:05:24.000]  因此耶穌的禱告地點很可能是離開耶路撒冷城之前
[00:05:24.000 --> 00:05:29.280]  有可能是出耶路撒冷城其中一個門口
[00:05:29.280 --> 00:05:34.000]  所以我們看到我們祈禱可以在街上祈禱
[00:05:34.000 --> 00:05:35.840]  可以在海邊公園裡
[00:05:35.840 --> 00:05:41.120]  任何地方我們都可以向上主祈禱
[00:05:41.120 --> 00:05:42.880]  第二個觀察
[00:05:42.880 --> 00:05:44.640]  在第十一章一節
