
[00:00:00.000 --> 00:00:03.200]  上個月我和大家分享
[00:00:03.200 --> 00:00:06.840]  風雨中敬拜的訊息
[00:00:06.840 --> 00:00:10.760]  我們說到生命種種的災難
[00:00:10.760 --> 00:00:13.320]  面對天災人禍
[00:00:13.320 --> 00:00:16.840]  我們還能夠讚美神嗎?
[00:00:16.840 --> 00:00:22.440]  我們是要面對特異來臨的天災人禍
[00:00:22.440 --> 00:00:24.480]  對我來說
[00:00:24.480 --> 00:00:27.320]  2018年8月
[00:00:27.320 --> 00:00:31.520]  神樂院要面對在它旁邊5米
[00:00:31.520 --> 00:00:34.880]  即是15英呎距離
[00:00:34.880 --> 00:00:40.400]  政府要興建一個污水泵房的問題
[00:00:40.400 --> 00:00:41.720]  同年的8月
[00:00:41.720 --> 00:00:46.520]  我的爸爸媽媽入院42日、44日
[00:00:46.520 --> 00:00:47.760]  9月
[00:00:47.760 --> 00:00:54.120]  我們的神樂院的老師盧老師住院40日
[00:00:54.120 --> 00:00:55.960]  2019年1月
[00:00:55.960 --> 00:00:59.320]  鄧博士心臟病入院
[00:00:59.320 --> 00:01:06.480]  3月份榮休的教授梅志理博士心臟病離世
[00:01:06.480 --> 00:01:08.840]  8月24日
[00:01:08.840 --> 00:01:12.680]  我上次提及的我好朋友的太太
[00:01:12.680 --> 00:01:16.920]  在領養中心離世
[00:01:16.920 --> 00:01:19.240]  在這三個多月
[00:01:19.240 --> 00:01:23.280]  香港仍然十分的混亂
[00:01:23.280 --> 00:01:28.480]  我們可以讚美神嗎?
[00:01:28.480 --> 00:01:33.200]  在上一次我們曾經思想《啟示錄》第四章
[00:01:33.200 --> 00:01:34.600]  在《啟示錄》第四章
[00:01:34.600 --> 00:01:39.040]  我們見到約翰被聖靈的風去感動
[00:01:39.040 --> 00:01:40.160]  他看見異象
[00:01:40.160 --> 00:01:43.280]  第一,他看見天上的寶座
[00:01:43.280 --> 00:01:46.960]  神在寶座上管治大地
[00:01:46.960 --> 00:01:51.040]  第二,約翰看見寶座被彩雲
[00:01:51.040 --> 00:01:53.600]  彩雲是所圍繞著的
[00:01:53.600 --> 00:02:00.000]  彩雲叫我們想起神對人的恩典和憐憫
[00:02:00.000 --> 00:02:03.560]  接著我們看見二十四位的長老
[00:02:03.560 --> 00:02:10.480]  在他們的寶座上圍著神的寶座而坐下
[00:02:10.480 --> 00:02:14.720]  後來他們就放下頭上的金冠面
[00:02:14.720 --> 00:02:17.400]  一起敬拜神
[00:02:17.400 --> 00:02:20.880]  最後我們看見四活物
[00:02:20.880 --> 00:02:23.240]  他們圍繞著神的寶座
[00:02:23.240 --> 00:02:27.400]  和長老一起去唱讚美頌
[00:02:27.400 --> 00:02:29.760]  他們的歌唱是
[00:02:29.760 --> 00:02:32.280]  我們的主,我們的上帝
[00:02:32.280 --> 00:02:35.520]  祢佩得榮耀,尊貴權兵
[00:02:35.520 --> 00:02:37.880]  因為祢創造了萬物
[00:02:37.880 --> 00:02:43.240]  萬物因祢的旨意被創造而存在
[00:02:43.240 --> 00:02:45.920]  所以約翰所看見的異象
[00:02:45.920 --> 00:02:48.720]  是回應一個很重要的問題
[00:02:48.720 --> 00:02:52.120]  誰是管理?
[00:02:52.120 --> 00:02:55.440]  誰是統治者?
