
[00:00:00.000 --> 00:00:05.700]  但是進入經文之前,先跟大家講一下這一段經文的一些背景
[00:00:05.700 --> 00:00:10.500]  以防當中有大仙姊妹上個禮拜沒有來過我們這個崇拜
[00:00:10.500 --> 00:00:11.700]  那就不清楚了
[00:00:11.700 --> 00:00:14.600]  所以我也想跟大家簡單地講一下
[00:00:14.600 --> 00:00:19.900]  在仕途行轉的時候,基督教仍然是一個新興的宗教
[00:00:19.900 --> 00:00:25.300]  當時的信徒仍然處於
[00:00:25.300 --> 00:00:30.300]  不是仍然,是處於被羅馬政權逼迫的一個年代
[00:00:30.300 --> 00:00:34.300]  甚至是一個逼迫越來越嚴重的一個時候
[00:00:34.300 --> 00:00:38.100]  上個星期羅木斯也有提過,很奇怪的是
[00:00:38.100 --> 00:00:44.800]  當逼迫越來越大,但是信主的人反而越來越多
[00:00:44.800 --> 00:00:47.300]  在仕途行轉第二章說的是
[00:00:47.300 --> 00:00:52.300]  當五秦節,聖靈降臨後,彼得去放膽宣講
[00:00:52.300 --> 00:00:54.800]  那一天就有三千人上了耶穌
[00:00:54.800 --> 00:00:58.800]  而第三章,彼得又因爲依旨了一個生出來
[00:00:58.800 --> 00:01:01.300]  就已經是被逼的人了
[00:01:01.300 --> 00:01:05.300]  他就承受了衆人對這件事的好奇心
[00:01:05.300 --> 00:01:10.300]  他又放膽宣講,那一天又多五千人上耶穌
[00:01:10.300 --> 00:01:13.800]  那信主的人就一次比一次厲害了
[00:01:13.800 --> 00:01:19.300]  而這幫信徒當時他們有一個想法的
[00:01:19.300 --> 00:01:24.800]  他們這幫信徒其實有很多人都會認爲主耶穌很快就會回來
[00:01:24.800 --> 00:01:31.300]  以至他們對地上的財富這些東西其實是看得很輕的
[00:01:31.300 --> 00:01:34.300]  所以如果你有看過仕途行轉
[00:01:34.300 --> 00:01:37.300]  你會經常看到這幫人有些特徵的
[00:01:37.300 --> 00:01:41.300]  就是他們很喜歡將自己的田產、家業賣掉
[00:01:41.300 --> 00:01:45.800]  就令到其他人都可以得到一些需要用的東西
[00:01:45.800 --> 00:01:52.300]  所以,仕途行轉經常都說,繁密公用、各取所需的生活模式
[00:01:52.300 --> 00:01:54.300]  這裏有兩個例子
[00:01:54.300 --> 00:01:57.300]  是一件好像很美好的事
[00:01:57.300 --> 00:02:01.300]  但是隨着教會的人越來越多
[00:02:01.300 --> 00:02:04.300]  就是人多就開始有問題多了
[00:02:04.300 --> 00:02:07.300]  內內的問題也在慢慢出現
[00:02:07.300 --> 00:02:13.300]  在第五章的時候,有一對夫妻在他們賣了田產之後
[00:02:13.300 --> 00:02:16.300]  將部分的錢收起了
[00:02:16.300 --> 00:02:20.300]  其餘的就拿去捐獻給教會,放在仕途行面前
[00:02:20.300 --> 00:02:24.300]  但是他就告訴他們,我已經將所有的錢都放出來了
[00:02:24.300 --> 00:02:27.300]  他在欺負這幫仕途
[00:02:27.300 --> 00:02:30.300]  其實是在欺負上帝
[00:02:30.300 --> 00:02:34.300]  所以結果就令到他們連自己的命都沒有了
[00:02:34.300 --> 00:02:38.300]  而到了今天,我們剛剛看的第六章,又出現了另一個問題
[00:02:38.300 --> 00:02:44.300]  這個問題就由一些過人的層面,去到一個叫做某種民族的層面上
[00:02:44.300 --> 00:02:47.300]  在第六章一字裏面說
[00:02:47.300 --> 00:02:50.300]  有講希臘話的猶太人向希伯來人發怨言
[00:02:50.300 --> 00:02:57.300]  埋怨希伯來人在每天的供給上忽略了那些講希臘話的寡婦
[00:02:57.300 --> 00:03:00.300]  這裏牽涉了兩幫人
[00:03:00.300 --> 00:03:04.300]  一幫就是講希臘話的猶太人,另一幫就是希伯來人
[00:03:04.300 --> 00:03:09.300]  講希臘話的猶太人其實是因爲他們本身是來自
[00:03:09.300 --> 00:03:12.300]  應該說他們本身是散居在其他地方的
[00:03:12.300 --> 00:03:15.300]  他們不是在猶太地裏面成長的
[00:03:15.300 --> 00:03:21.300]  但是後來因爲不同的原因,可能是丈夫,他們要回家
[00:03:21.300 --> 00:03:25.300]  他們以前的人有一個概念就是不要死在異鄉
[00:03:25.300 --> 00:03:30.300]  就算我不在那裏成長,也要回到自己的宗族那裏
[00:03:30.300 --> 00:03:33.300]  打算死在那裏,就可以埋葬在那裏
[00:03:33.300 --> 00:03:34.300]  是有這種想法的
[00:03:34.300 --> 00:03:37.300]  所以這些人就會移居回來
[00:03:37.300 --> 00:03:41.300]  即使我在外地生長,他們也會選擇回來的
[00:03:41.300 --> 00:03:47.300]  而另一幫希伯來人,即是說希伯來裏面的一些猶太人
[00:03:47.300 --> 00:03:49.300]  也是猶太人,不是另一個種族
[00:03:49.300 --> 00:03:54.300]  他們是在巴勒斯坦成長的一些本地人
[00:03:54.300 --> 00:03:56.300]  是講雅蘭文的
[00:03:56.300 --> 00:03:58.300]  這裏有兩幫人
[00:03:58.300 --> 00:04:04.300]  他們成長的地方,他們在某種情況的文化背景,其實也有些分別
[00:04:04.300 --> 00:04:09.300]  我想這樣的生活在香港的我們,不會太難領
[00:04:09.300 --> 00:04:13.300]  因爲我們就好像講的是一幫土生土長的香港人
[00:04:13.300 --> 00:04:19.300]  和一幫決定迴流定居在香港的一些ABC
[00:04:19.300 --> 00:04:22.300]  又或者在內地移居香港的國內同胞
[00:04:22.300 --> 00:04:27.300]  其實我們的文化,我們的對事物看法
[00:04:27.300 --> 00:04:29.300]  我們的成長背景
[00:04:29.300 --> 00:04:31.300]  一樣都會不同
[00:04:31.300 --> 00:04:35.300]  而在當時的猶太人的社會
[00:04:35.300 --> 00:04:39.300]  這些講什麼,突然間好像在做夢
[00:04:39.300 --> 00:04:45.300]  這些本身是希伯來的猶太人,即是土生土長的猶太人
[00:04:45.300 --> 00:04:50.300]  其實會在某種情況,叫做歧視或者輕視,比較好聽的
[00:04:50.300 --> 00:04:53.300]  那些講希臘話的猶太人
[00:04:53.300 --> 00:04:57.300]  因爲他們覺得自己纔是一個純正的猶太人
[00:04:57.300 --> 00:05:01.300]  如果你知道的話,猶太人本身是一些民族
[00:05:01.300 --> 00:05:04.300]  優越感很強的一個民族
[00:05:04.300 --> 00:05:07.300]  他們會認爲自己是被上帝選擇的
[00:05:07.300 --> 00:05:09.300]  是特別的一羣
[00:05:09.300 --> 00:05:15.300]  所以呢,這些完全沒有受過外地文化影響
[00:05:15.300 --> 00:05:20.300]  在土生土長的本地人,就更加覺得自己是優勝的
[00:05:20.300 --> 00:05:24.300]  所以當這兩羣人走在一起的時候
[00:05:24.300 --> 00:05:30.300]  中間會有磨擦,其實是一件很正常的事
[00:05:30.300 --> 00:05:33.300]  不過,是不是就是因爲這樣
[00:05:33.300 --> 00:05:38.300]  所以那些講希臘話的寡婦
[00:05:38.300 --> 00:05:42.300]  就因而被人蓄意地歧視呢?
[00:05:42.300 --> 00:05:45.300]  我想在香港這個可能機會大的
[00:05:45.300 --> 00:05:48.300]  但是在這個故事裏,我相信不是
[00:05:48.300 --> 00:05:50.300]  因爲我們看完這個故事,下去的時候
[00:05:50.300 --> 00:05:56.300]  我們看到,門徒已經很快就想着去解決這件事
[00:05:56.300 --> 00:06:00.300]  所以這個問題的成因,其實都真的很單純
[00:06:00.300 --> 00:06:04.300]  因爲門徒的數目真的越來越增長得多了
[00:06:04.300 --> 00:06:08.300]  教會的發展非常急促
[00:06:08.300 --> 00:06:11.300]  所以無意間去到忽略了一羣
[00:06:11.300 --> 00:06:15.300]  叫做比較容易忽略的一堆
[00:06:15.300 --> 00:06:18.300]  當然這一件事也不是一件正確的事
[00:06:18.300 --> 00:06:20.300]  因爲其實在《舊約聖經》裏面
[00:06:20.300 --> 00:06:22.300]  其實正正有很多條例
[00:06:22.300 --> 00:06:27.300]  是爲了保護這一羣社會里面地位較低的人
[00:06:27.300 --> 00:06:31.300]  例如那些孤兒寡婦,例如那些寄居的客人
[00:06:31.300 --> 00:06:34.300]  是特意去設計這些條例,是爲了保障他們
[00:06:34.300 --> 00:06:37.300]  所以作爲一個純正的猶太人
[00:06:37.300 --> 00:06:42.300]  其實就更加沒有理由去忽略這一羣人
[00:06:42.300 --> 00:06:45.300]  那麼去到這裏我想說什麼呢?
[00:06:45.300 --> 00:06:47.300]  我想說的第一點是
[00:06:47.300 --> 00:06:53.300]  其實這個世界上是沒有一個羣體是完美的
[00:06:53.300 --> 00:06:55.300]  我曾經聽過有人說
[00:06:55.300 --> 00:06:59.300]  因爲今天教會的很多不同的制度,很多的東西
[00:06:59.300 --> 00:07:04.300]  有些人會覺得教會應該回到早期教會的那個時代
[00:07:04.300 --> 00:07:06.300]  繁密公庸
[00:07:06.300 --> 00:07:10.300]  接着你看看現在教會有多少問題?
[00:07:10.300 --> 00:07:13.300]  教會又有階級觀念,有權貴
[00:07:13.300 --> 00:07:18.300]  如果教會今天回到早期教會那套繁密公庸的話
[00:07:18.300 --> 00:07:20.300]  那就沒有這些東西了
[00:07:20.300 --> 00:07:23.300]  又不會有制度的不公平
[00:07:23.300 --> 00:07:26.300]  也不會有那麼多所謂的教會
[00:07:26.300 --> 00:07:29.300]  這些因爲帳木混亂而出的醜聞
[00:07:29.300 --> 00:07:32.300]  因爲繁密公庸
[00:07:32.300 --> 00:07:35.300]  我聽這個人說的話的時候
[00:07:35.300 --> 00:07:38.300]  我都會覺得他有他的觀點和理據
[00:07:38.300 --> 00:07:40.300]  但是其實我不難聽得出
[00:07:40.300 --> 00:07:43.300]  他背後的說話其實是在說
[00:07:43.300 --> 00:07:46.300]  他正正是受這些階級觀念
[00:07:46.300 --> 00:07:49.300]  這些貧富懸殊影響的一個人
[00:07:49.300 --> 00:07:52.300]  不過,很可惜的是
[00:07:52.300 --> 00:07:54.300]  事與願違的是今天的經文都告訴我們
[00:07:54.300 --> 00:07:56.300]  就算是早期教會
[00:07:56.300 --> 00:07:59.300]  同樣,他都有他的問題
