
[00:00:00.000 --> 00:00:06.000]  主席:各位師妹,早安,先聽神的道義,先同心的祈禱
[00:00:06.000 --> 00:00:13.000]  主席:各位父神,多謝祢讓我們能夠再次打開祢的說話
[00:00:13.000 --> 00:00:18.000]  主席:讓我們有生命,可以聆聽主祢的道理
[00:00:18.000 --> 00:00:25.000]  主席:讓我們仍然有力氣,可以去見證主,去獻上感恩
[00:00:26.000 --> 00:00:30.000]  主席:讓今天,祢仍然在上,是我們的王
[00:00:30.000 --> 00:00:35.000]  主席:今天,父親先祢給我們能夠再次有機會打開主祢的說話
[00:00:35.000 --> 00:00:40.000]  主席:也讓我們依然有生命,能夠在祢的說話當中
[00:00:40.000 --> 00:00:44.000]  主席:能夠明白主祢的教訓,並且使我們有力氣
[00:00:44.000 --> 00:00:47.000]  主席:能夠在今天的生活裏面活出來
[00:00:47.000 --> 00:00:49.000]  主席:我們把一切下去獻上感謝
[00:00:50.000 --> 00:00:57.000]  主席:讓祢在我們當中永遠為王,坐在我們的上面
[00:00:57.000 --> 00:01:04.000]  主席:使我們明白到,我們所行的,所想的,一切都在主祢的管理當中
[00:01:04.000 --> 00:01:06.000]  主席:祢是贊成人生的神
[00:01:07.000 --> 00:01:21.000]  主席:神父,感謝祢再次給我們一個機會打開聖經,能夠有生命,能夠聽見和理解祢的說話,並且給予我們力量
[00:01:21.000 --> 00:01:24.000]  主席:讓我們練習我們能從聖經中學到的一切
[00:01:25.000 --> 00:01:38.000]  主席:讓我們再次感謝祢給予我們這些珍貴的機會,讓我們體驗祢所教授的
[00:01:38.000 --> 00:01:48.000]  主席:讓祢永遠是我們的主,保護我們的靈魂,讓我們知道祢是主
[00:01:48.000 --> 00:01:50.000]  主席:我們以耶穌基督的名義祈禱
[00:01:51.000 --> 00:02:01.000]  主席:在這個現實的世界,兌現承諾其實是一件很奢侈的事
[00:02:01.000 --> 00:02:19.000]  主席:但是作為基督徒的我們,雖然知道現在這個世界對於兌現承諾只是鳳毛麟角的事
[00:02:20.000 --> 00:02:23.000]  主席:但是我們是不是就隨波逐流呢?這是值得我們思想的問題
[00:02:23.000 --> 00:02:27.000]  主席:我們是否應該隨波逐流呢?這是我們值得思考的問題
[00:02:27.000 --> 00:02:40.000]  主席:我有不少朋友在銀行工作,他跟我分享到,原來今天去做銀行的工作,其實真的要靠額去做的
[00:02:41.000 --> 00:02:50.000]  主席:他說今天去銀行工作有時候要靠欺騙的手段,他曾經分享過一個個案
[00:02:50.000 --> 00:03:02.000]  主席:他說你猜都猜不到,原來今天的海鮮買賣,買油買魚
[00:03:02.000 --> 00:03:08.000]  主席:原來是跨國的工作,甚至企業
[00:03:09.000 --> 00:03:23.000]  主席:他認識的銀行有一單買賣,從越南的一家公司,從越南養了一個魚,生的運到歐洲的意大利賣
[00:03:23.000 --> 00:03:37.000]  主席:他在插嘴,大家知不知道其實在多倫多很多的魚,都不少在中國大陸運來的
[00:03:38.000 --> 00:03:47.000]  主席:如果我沒有記錯的話,青島、天津、天津,都是這樣運過去的
[00:03:47.000 --> 00:03:54.000]  主席:他說因為跨國的生意,就會涉及到銀行的制度
[00:03:54.000 --> 00:03:59.000]  主席:我怎知道你信不信得過,怎樣才交貨給你,怎樣才交錢給你呢
[00:04:00.000 --> 00:04:08.000]  主席:他跟我說,越南的商戶將乘船的魚運到意大利的海港
[00:04:08.000 --> 00:04:22.000]  主席:我說那些魚不會死的嗎?不會那麼快死的,因為有一種東西,大家都認識的,叫孔雀石
[00:04:23.000 --> 00:04:32.000]  主席:孔雀石落了,那些魚就會暈了,不會死的,運了十幾天就可以去到意大利
[00:04:32.000 --> 00:04:43.000]  主席:去到海港,只要那些魚上了岸,衛生證明書由政府一發
[00:04:43.000 --> 00:04:52.000]  主席:銀行收到這份證書,就可以直接將錢匯去給越南的廠商
[00:04:53.000 --> 00:04:56.000]  主席:銀行收到錢,馬上就把錢匯給越南的商人
[00:04:56.000 --> 00:04:59.000]  主席:但銀行的工作不是那麼順暢的
[00:04:59.000 --> 00:05:09.000]  主席:他說銀行幫助意大利人,怎樣騙回越南的公司
[00:05:09.000 --> 00:05:19.000]  主席:最好就不用給錢,給錢都要給個折扣
[00:05:20.000 --> 00:05:25.000]  主席:給錢也要給個折扣,這怎麼做呢?很簡單
[00:05:25.000 --> 00:05:35.000]  主席:你運到海港A,他發了一個證書給你,可以給錢的,正常
[00:05:35.000 --> 00:05:45.000]  主席:銀行就走去海港B,原來他們早知道海港A是受海港B管轄的
[00:05:46.000 --> 00:05:54.000]  主席:他就跟海港B那邊說,海港B啊,那你批不批呀?
[00:05:54.000 --> 00:06:06.000]  主席:海港B就發了一張不批准的證書,造成一個情況就是可以不用給錢
[00:06:06.000 --> 00:06:14.000]  主席:然後他就再跟越南的商家討價還價,原來是這樣做的這個世界
[00:06:15.000 --> 00:06:23.000]  主席:對現承諾,在這個世界真是很奢侈的一件事
[00:06:23.000 --> 00:06:33.000]  主席:但我們作為基督徒,既然知道是這麼奢侈的事,是不是我們就不去做呢?
[00:06:33.000 --> 00:06:42.000]  主席:因為原來對現承諾正正就是基督徒去見證的最重要的其中一個很重要的屬靈美德
[00:06:43.000 --> 00:06:51.000]  主席:就是說對現承諾正好是基督徒一個最好的見證的屬靈美德
[00:06:51.000 --> 00:07:00.000]  主席:基督徒今天的見證,不是經常去跟人說信耶穌好好,不是整天跟人講信耶穌多好
[00:07:00.000 --> 00:07:08.000]  主席:很多年的教會裏面,都是傳這個信息,結局造成一個什麼局面呢?
[00:07:09.000 --> 00:07:16.000]  主席:很多人進了教會,發覺原來不是真的很好,他們就很失望地離開
[00:07:16.000 --> 00:07:23.000]  主席:因為這個根本不是教會,甚至不是聖經原本基督徒要做的見證的核心點
[00:07:23.000 --> 00:07:32.000]  主席:基督徒的見證,是要在你的屬靈美德上面去見證出來
[00:07:33.000 --> 00:07:47.000]  主席:不是告訴別人很好,而是你活出真正的好好,人家就會看得到,就會被你吸引到主的面前
[00:07:47.000 --> 00:07:58.000]  主席:那基現對現承諾在這個世界是難的事,而基督徒又要以此為見證
[00:07:59.000 --> 00:08:09.000]  主席:我們當要做到對現承諾的時候,我們有什麼心理預備要做呢?
[00:08:09.000 --> 00:08:15.000]  主席:我會用兩個主要時間和大家討論這個題目
[00:08:16.000 --> 00:08:32.000]  主席:在聖經特別約書亞記第22章第1至9節,諾失對現承諾,這種美德究竟是一件什麼事?
[00:08:32.000 --> 00:08:38.000]  主席:因為我們不知道是什麼,我們說去做見證是沒有意思的
[00:08:39.000 --> 00:08:49.000]  主席:就好像我很喜歡吃的水果,叫做紅毛丹,吃過沒有?
[00:08:49.000 --> 00:09:00.000]  主席:好吃的,我告訴你說很好吃,你沒吃過,你又不知道什麼叫好吃
[00:09:00.000 --> 00:09:07.000]  主席:希望我說完大家不要今天走了,因為現在沒有減價,兩個禮拜前有減價
[00:09:08.000 --> 00:09:11.000]  主席:你要知道什麼,你才懂得去見證
[00:09:11.000 --> 00:09:18.000]  主席:這正正就是聖經所說,讓我們初嘗天恩的滋味
[00:09:18.000 --> 00:09:28.000]  主席:才可以去介紹給人知道究竟什麼是基督教的好處
[00:09:28.000 --> 00:09:37.000]  主席:我們今天專心去看,諾失承諾這種屬靈美德是什麼
[00:09:38.000 --> 00:09:40.000]  主席:我們今天專心去看,諾失承諾這種屬靈美德是什麼
[00:09:40.000 --> 00:09:46.000]  主席:首先,落實承諾一定是涉及兩方面或多方面人士的約定
[00:09:46.000 --> 00:09:51.000]  主席:就是說這些承諾一定是涉及兩方面或多方面人士的約定
[00:09:51.000 --> 00:09:56.000]  主席:如果沒有約定的話,就沒有什麼所謂的落不落實
[00:09:56.000 --> 00:10:06.000]  主席:因此,要落實一個承諾,一定要有一種關係
[00:10:07.000 --> 00:10:12.000]  主席:這正正是今天第二十二章一至九節要講的一個關係
[00:10:12.000 --> 00:10:15.000]  主席:這正正是今天第二十二章一至九節要講的一個關係
[00:10:15.000 --> 00:10:21.000]  主席:我們現在打開聖經,約書亞記第二十二章
[00:10:21.000 --> 00:10:30.000]  主席:我們從第一至第五節裡面,看到有什麼關係在裡面
[00:10:31.000 --> 00:10:37.000]  主席:這個關係,最後又變成什麼呢?我們一起來看
