
[00:00:00.000 --> 00:00:05.500]  好,第二天早晨,很高興和大家分享上帝的話語
[00:00:05.500 --> 00:00:11.000]  今天我和大家講的題目是叫做「關係報導,打開未信者的心」
[00:00:11.000 --> 00:00:13.500]  今天我有三個目的想達到
[00:00:13.500 --> 00:00:16.000]  第一個目的我想達到就是希望告訴大家
[00:00:16.000 --> 00:00:18.500]  傳福音之前和個別談到之前
[00:00:18.500 --> 00:00:22.500]  其實在之前有些準備的功夫是需要大家去做
[00:00:22.500 --> 00:00:24.500]  而這件事是相當重要的
[00:00:24.500 --> 00:00:27.000]  這個準備功夫是什麼呢?
[00:00:27.000 --> 00:00:30.000]  第二件事要讓大家認識的就是信主
[00:00:30.000 --> 00:00:33.000]  一個人信主其實是一個過程
[00:00:33.000 --> 00:00:37.000]  可能那個人開始之前已經對信仰有些一般般的印象
[00:00:37.000 --> 00:00:39.000]  你馬上跟他說他一定不信
[00:00:39.000 --> 00:00:42.000]  你要將這個不良的印象改善
[00:00:42.000 --> 00:00:45.000]  令他覺得對你的信仰的印象好一點的時候
[00:00:45.000 --> 00:00:47.000]  願意來接受
[00:00:47.000 --> 00:00:51.000]  這是一個過程,不會是一次講福音就算了
[00:00:51.000 --> 00:00:53.500]  第三,要讓大家認識的就是
[00:00:53.500 --> 00:00:57.000]  當你想跟一個福音對象傳福音的時候
[00:00:57.000 --> 00:01:00.000]  你要跟他建立一個深入信仰的關係
[00:01:00.000 --> 00:01:03.000]  以致他的心有一天開放的時候
[00:01:03.000 --> 00:01:06.000]  願意聽你跟他說這句福音
[00:01:06.000 --> 00:01:10.000]  我希望今天和大家在這三方面認識
[00:01:10.000 --> 00:01:13.000]  或者是盡心一點去認識
[00:01:13.000 --> 00:01:15.000]  首先和大家看一段聖經
[00:01:15.000 --> 00:01:17.000]  這個聖經都很熟悉
[00:01:17.000 --> 00:01:19.000]  不如我們一齊來重讀一下
[00:01:19.000 --> 00:01:21.000]  由41到47節
[00:01:21.000 --> 00:01:26.000]  預備起,於是領受他話的人就受了朕
[00:01:26.000 --> 00:01:30.000]  那一天門徒約添了三千人
[00:01:30.000 --> 00:01:33.000]  都恨心遵守使徒的教訓
[00:01:33.000 --> 00:01:36.000]  彼此交接,抹餅,祈禱
[00:01:36.000 --> 00:01:38.000]  眾人都懼怕
[00:01:38.000 --> 00:01:42.000]  使徒又恨了許多歧視神蹟
[00:01:42.000 --> 00:01:46.000]  信的人都在一處,凡物公用
[00:01:46.000 --> 00:01:52.000]  並且賣了田產、家業,照各人所需用的分給各人
[00:01:52.000 --> 00:01:57.000]  他們天天同心合意,恨徹地在殿裡
[00:01:57.000 --> 00:02:02.000]  且在家中抹餅,串著歡喜誠實的心用飯
[00:02:02.000 --> 00:02:06.000]  讚美神一眾民的喜愛
[00:02:06.000 --> 00:02:10.000]  主張得救的人天天加給他們
[00:02:10.000 --> 00:02:12.000]  這段是一個相當熟悉的經文
[00:02:12.000 --> 00:02:14.000]  很多時候我都聽過不少
[00:02:14.000 --> 00:02:16.000]  所以我很簡略地說
[00:02:16.000 --> 00:02:19.000]  這段經文是初期教會成立時出現的
[00:02:19.000 --> 00:02:22.000]  五層次的關係,有三千人信了主
[00:02:22.000 --> 00:02:26.000]  於是一個新的教會團體出現的時候
[00:02:26.000 --> 00:02:31.000]  當時社區的人見到一個新的群體出現
[00:02:31.000 --> 00:02:34.000]  他們的反應是怎樣的
[00:02:34.000 --> 00:02:37.000]  聖經說他是害怕,懼怕
[00:02:37.000 --> 00:02:40.000]  懼怕是因為一個新的群體出現
[00:02:40.000 --> 00:02:41.000]  不知道是什麼,陌生
[00:02:41.000 --> 00:02:44.000]  陌生的當然有些擔心,不知道會不會有什麼欺騙
[00:02:44.000 --> 00:02:46.000]  或者有什麼鬼故事在裡面
[00:02:46.000 --> 00:02:49.000]  當他們又碰到奇蹟神事的時候
[00:02:49.000 --> 00:02:52.000]  他們又會覺得怎樣,奇怪了
[00:02:52.000 --> 00:02:55.000]  有些人可能會很恐懼究竟是什麼來的
[00:02:55.000 --> 00:02:58.000]  會產生一個態度,一個反應
[00:02:58.000 --> 00:03:00.000]  有些抗拒在當中
[00:03:00.000 --> 00:03:02.000]  事實上也是的
[00:03:02.000 --> 00:03:04.000]  當有些人接觸了信仰的時候
[00:03:04.000 --> 00:03:07.000]  他可能一開始不是一個很歡喜的心理
[00:03:07.000 --> 00:03:11.000]  他可能有一些抗拒,懼怕在裡面
[00:03:11.000 --> 00:03:13.000]  有些人可能因為陌生的緣故
[00:03:13.000 --> 00:03:16.000]  不知道是什麼,有擔心被騙的
[00:03:16.000 --> 00:03:19.000]  所以他也會說不要搞了,不要跟我說了
[00:03:19.000 --> 00:03:21.000]  但也有些人的緣故
[00:03:21.000 --> 00:03:24.000]  有些人去到信仰,或者對教會的基督徒裡面
[00:03:24.000 --> 00:03:27.000]  有些先前的印象,一般般而已
[00:03:27.000 --> 00:03:31.000]  所以他的態度就是不要跟我說了
[00:03:31.000 --> 00:03:33.000]  會有什麼一般般的
[00:03:33.000 --> 00:03:34.000]  我曾經聽一個長者說
[00:03:34.000 --> 00:03:38.000]  他有時候邀請一些街坊的長者來參加教會
[00:03:38.000 --> 00:03:41.000]  他覺得那些長者,對方就拒絕他
[00:03:41.000 --> 00:03:42.000]  理由是什麼?
[00:03:42.000 --> 00:03:44.000]  參加教會要我的錢
[00:03:44.000 --> 00:03:48.000]  要我的錢當然不回來,騙錢
[00:03:48.000 --> 00:03:50.000]  他有這樣的印象
[00:03:50.000 --> 00:03:54.000]  有些人就會覺得,參加教會要守規矩
[00:03:54.000 --> 00:03:57.000]  守規矩,守十戒,不依不走
[00:03:57.000 --> 00:03:59.000]  這些他喜歡,你叫我回來不做這些事
[00:03:59.000 --> 00:04:00.000]  那就不回來了
[00:04:00.000 --> 00:04:02.000]  他就會拒絕了
[00:04:02.000 --> 00:04:06.000]  有些人就覺得,他可能遭遇基督徒不良的見證
[00:04:06.000 --> 00:04:07.000]  可能騙過他
[00:04:07.000 --> 00:04:10.000]  又或者基督徒說一套,做另一套
[00:04:10.000 --> 00:04:13.000]  不用信你,我信自己都可以
[00:04:13.000 --> 00:04:16.000]  令他們不會對信仰有一個開放
[00:04:16.000 --> 00:04:19.000]  反而對信仰有一個抗拒、拒絕在裡面
[00:04:19.000 --> 00:04:25.000]  當然也有些人,信仰的理由或者問題是誤解的
[00:04:25.000 --> 00:04:26.000]  譬如有些人這樣說
[00:04:26.000 --> 00:04:29.000]  他覺得叫耶穌基督教得很霸道
