
[00:00:00.000 --> 00:00:01.960]  各位朋友可能你會這樣想
[00:00:01.960 --> 00:00:04.920]  你吃飯講耶穌和我這樣
[00:00:04.920 --> 00:00:07.660]  其實老實講
[00:00:07.660 --> 00:00:10.000]  如果這些時間你都不聽
[00:00:10.000 --> 00:00:12.100]  你都沒什麼時間聽的了 是不是
[00:00:12.100 --> 00:00:14.100]  你下班就遲了 是不是
[00:00:14.100 --> 00:00:16.220]  上班我不知道 你遲早就不知道了
[00:00:16.220 --> 00:00:17.720]  其他閒餘時間
[00:00:17.720 --> 00:00:19.560]  星期天可能都很沒空
[00:00:19.560 --> 00:00:23.360]  但是在過去這麼多的午餐會裏面
[00:00:23.360 --> 00:00:25.760]  的而且確有很多人
[00:00:25.760 --> 00:00:28.000]  因為吃一餐這樣的飯
[00:00:28.000 --> 00:00:31.120]  聽到福音 生命改變
[00:00:31.120 --> 00:00:33.120]  改變什麼生命呢
[00:00:33.120 --> 00:00:35.120]  和今天這個題目有關的
[00:00:35.120 --> 00:00:37.120]  就是出死入生
[00:00:37.120 --> 00:00:38.800]  可能你會想
[00:00:38.800 --> 00:00:39.920]  怎麼搞的
[00:00:39.920 --> 00:00:41.920]  你叫我吃飯我聽你講什麼
[00:00:41.920 --> 00:00:46.420]  因為最近我自己都接二連三
[00:00:46.420 --> 00:00:48.920]  碰到一些人
[00:00:48.920 --> 00:00:50.920]  有些人是病危
[00:00:50.920 --> 00:00:52.920]  有些是很年輕生病
[00:00:52.920 --> 00:00:55.420]  有些突然之間發生肺癌
[00:00:55.420 --> 00:00:58.020]  於是乎不單止使我
[00:00:58.020 --> 00:01:01.020]  也使我很多同工不想這個問題
[00:01:01.020 --> 00:01:05.320]  人生其實是不是真的出生是一件好事呢
[00:01:05.320 --> 00:01:08.420]  如果有小朋友出生一定是恭喜他的
[00:01:08.420 --> 00:01:10.420]  但是老實講
[00:01:10.420 --> 00:01:13.820]  恭喜得上一句下一句你都不敢講
[00:01:13.820 --> 00:01:14.720]  是不是
[00:01:14.720 --> 00:01:18.220]  出生然後怎樣
[00:01:18.220 --> 00:01:20.520]  個個都會出生的
[00:01:20.520 --> 00:01:22.420]  是不是
