
[00:00:00.000 --> 00:00:01.360]  教練再次感謝祢
[00:00:01.360 --> 00:00:03.160]  讓我們今天有這樣的福分
[00:00:03.160 --> 00:00:05.120]  可以去敬拜祢
[00:00:05.120 --> 00:00:05.920]  有這樣的機會
[00:00:05.920 --> 00:00:07.880]  我們可以回到神的家裡
[00:00:07.880 --> 00:00:10.080]  祢的殿當中來敬拜祢
[00:00:10.080 --> 00:00:13.680]  求祢繼續讓我們有這個心
[00:00:13.680 --> 00:00:16.240]  我們渴望更親近祢
[00:00:16.240 --> 00:00:19.320]  我們渴望能夠見到祢的寶座
[00:00:19.320 --> 00:00:21.720]  那種榮美
[00:00:21.720 --> 00:00:23.720]  用任何人的說話
[00:00:23.720 --> 00:00:28.320]  都無法完全去描述祢的榮美寶座
[00:00:28.320 --> 00:00:30.920]  我們能夠看到
[00:00:30.920 --> 00:00:32.680]  主求祢就與我們同在
[00:00:32.680 --> 00:00:34.960]  帶著我們整個崇拜祢
[00:00:34.960 --> 00:00:37.200]  讓祢居首位
[00:00:37.200 --> 00:00:39.360]  聽我們的禱告
[00:00:39.360 --> 00:00:41.200]  奉主命求
[00:00:41.200 --> 00:00:42.680]  我們坐在此前給自己說
[00:00:42.680 --> 00:00:45.040]  耶穌愛祢
[00:00:45.040 --> 00:00:47.000]  我們繼續說耶穌的門徒
[00:00:47.000 --> 00:00:49.360]  今天去到多瑪
[00:00:49.360 --> 00:00:52.120]  我講了一年多都未講完十二門徒
[00:00:52.120 --> 00:00:53.960]  希望今年全部講完
[00:00:53.960 --> 00:00:55.120]  因為多瑪
[00:00:55.120 --> 00:01:00.240]  我的題目就是求真的多瑪
[00:01:00.240 --> 00:01:02.080]  如果用現在的術語
[00:01:02.080 --> 00:01:03.680]  是很容易明白的
[00:01:03.680 --> 00:01:05.560]  就是fact check的多瑪
[00:01:05.560 --> 00:01:07.400]  他任何事情都要fact check
[00:01:07.400 --> 00:01:09.200]  他不見他不信
[00:01:09.200 --> 00:01:11.760]  他說我要fact check 我要見
[00:01:11.760 --> 00:01:13.760]  一個求真的多瑪
[00:01:13.760 --> 00:01:15.000]  很有趣
[00:01:15.000 --> 00:01:17.400]  當我再去思考耶穌十二個門徒的時候
[00:01:17.400 --> 00:01:22.520]  如果嘗試將十二門徒拍成一個連續劇
[00:01:22.520 --> 00:01:25.480]  十二個門徒是誰的主角呢?
[00:01:25.480 --> 00:01:28.480]  當然我們會說彼得、約翰、瓦國
[00:01:28.480 --> 00:01:30.640]  這三個應該是主角
[00:01:30.640 --> 00:01:32.440]  耕耕呢?
[00:01:32.440 --> 00:01:33.840]  肯定是猶大的
[00:01:33.840 --> 00:01:35.280]  還不是耕耕
[00:01:35.280 --> 00:01:37.080]  最後還要出賣耶穌
[00:01:37.080 --> 00:01:39.760]  其他的其實用我們今天來看
[00:01:39.760 --> 00:01:41.560]  可能是配角來的
[00:01:41.560 --> 00:01:42.240]  用我們來看
[00:01:42.240 --> 00:01:43.840]  我要強調是用人來看
[00:01:43.840 --> 00:01:45.440]  不是用神來看
[00:01:45.440 --> 00:01:48.360]  而這些配角有些是有對白的
[00:01:48.360 --> 00:01:49.360]  有些是沒有對白的
[00:01:49.360 --> 00:01:51.240]  大家看電視劇都看到的
[00:01:51.240 --> 00:01:55.040]  有些人一出來都沒說話就已經睡著了
[00:01:55.040 --> 00:01:56.080]  沒有對白的
[00:01:56.080 --> 00:01:57.720]  但如果有對白的就很不同
[00:01:57.720 --> 00:01:59.960]  每一句對白都值錢的
[00:01:59.960 --> 00:02:01.880]  我能夠在某個電視台
[00:02:01.880 --> 00:02:05.120]  一個連續劇裡的一集裡的一分鐘說一句話
[00:02:05.120 --> 00:02:07.280]  都可能很值錢的
[00:02:07.280 --> 00:02:08.080]  我記得很多年前
[00:02:08.080 --> 00:02:11.720]  我們有一年在聖誕節
[00:02:11.720 --> 00:02:12.920]  我們去了會展
[00:02:12.920 --> 00:02:14.800]  我們第一年擺了一個很大的十字架
[00:02:14.800 --> 00:02:16.160]  如果大家記得的
[00:02:16.160 --> 00:02:17.640]  記得十字架
[00:02:17.640 --> 00:02:22.920]  哇 無線電視新聞拍到它 多值錢啊
[00:02:22.920 --> 00:02:26.200]  哇 每個人都拍手
[00:02:26.200 --> 00:02:29.000]  有對白 沒對白
[00:02:29.000 --> 00:02:32.520]  但我想在神的眼中不會這樣分
[00:02:32.520 --> 00:02:36.880]  在神的眼中不會說誰是主角 誰是配角
[00:02:36.880 --> 00:02:39.960]  在神的眼中其實祂都很愛我們每一個人
[00:02:39.960 --> 00:02:42.160]  在神的眼中祂從來都不會去看
[00:02:42.160 --> 00:02:45.880]  今天我們侍奉的崗位是什麼位置
[00:02:45.880 --> 00:02:48.200]  來看重你或者不看重你
[00:02:48.200 --> 00:02:49.440]  我仍深信上帝
[00:02:49.440 --> 00:02:52.480]  今天每一個人都是在祂的眼中
[00:02:52.480 --> 00:02:55.760]  都捍衛寶貴的
[00:02:55.760 --> 00:02:58.200]  所以我們跟隔壁說的是捍衛寶貴的
[00:02:58.200 --> 00:03:00.520]  你是神的眼中捍衛寶貴的人
[00:03:00.520 --> 00:03:04.000]  每一個人在神的眼中不是不寶貴
[00:03:04.000 --> 00:03:06.280]  當然這個當馬很特別
[00:03:06.280 --> 00:03:07.960]  它有四句的對白
[00:03:07.960 --> 00:03:10.480]  很厲害的四句對白 不簡單
[00:03:10.480 --> 00:03:12.800]  在四呼音當中有四句對白
[00:03:12.800 --> 00:03:14.640]  不過這四句對白
[00:03:14.640 --> 00:03:17.960]  都不是出現在《馬太》、《馬可》、《路加》
[00:03:17.960 --> 00:03:20.920]  這三本福音書沒有記載它的對白
[00:03:20.920 --> 00:03:26.040]  四句對白全部出現在《約翰福音》
[00:03:26.040 --> 00:03:28.440]  很多時候我們看當馬
[00:03:28.440 --> 00:03:30.840]  是針對它其中一句對白
[00:03:30.840 --> 00:03:33.480]  就說我不見到耶穌
[00:03:33.480 --> 00:03:36.200]  不摸耶穌的傷痕 我都不信
[00:03:36.200 --> 00:03:38.920]  我們經常都會針對這一句經文
