
[00:00:00.000 --> 00:00:02.000]  (主席)在突然間去平安
[00:00:02.000 --> 00:00:04.000]  或者未講到之前
[00:00:04.000 --> 00:00:06.000]  我們先溫習一下金句
[00:00:06.000 --> 00:00:09.000]  這個是我很鼓勵大家做的
[00:00:09.000 --> 00:00:13.000]  首先就是詩篇119篇11節
[00:00:13.000 --> 00:00:14.000]  記不記得?
[00:00:14.000 --> 00:00:16.000]  這節很重要
[00:00:16.000 --> 00:00:19.000]  我把你的話藏在心裡
[00:00:19.000 --> 00:00:21.000]  免得我得罪你
[00:00:21.000 --> 00:00:23.000]  只是做這句都不夠
[00:00:23.000 --> 00:00:25.000]  還要做「日日久不久」
[00:00:25.000 --> 00:00:27.000]  詩篇119篇59節
[00:00:27.000 --> 00:00:29.000]  「日日久不久」要做些什麼?
[00:00:30.000 --> 00:00:33.000]  「我反省自己所走的路」
[00:00:33.000 --> 00:00:36.000]  「決意轉向你的法則」
[00:00:36.000 --> 00:00:39.000]  我們把神的話藏在心裡
[00:00:39.000 --> 00:00:41.000]  還要經常去反省
[00:00:41.000 --> 00:00:43.000]  我們做成怎樣呢?
[00:00:43.000 --> 00:00:44.000]  做了多少呢?
[00:00:44.000 --> 00:00:45.000]  做不到多少呢?
[00:00:45.000 --> 00:00:49.000]  很感謝主席今天跟我們分享
[00:00:49.000 --> 00:00:50.000]  反應遲了一點
[00:00:50.000 --> 00:00:51.000]  做不到
[00:00:51.000 --> 00:00:53.000]  看到盲人上火車
[00:00:53.000 --> 00:00:54.000]  不知道怎麼辦
[00:00:54.000 --> 00:00:58.000]  所以我們要時時去想
[00:00:58.000 --> 00:01:01.000]  上帝的話語
[00:01:01.000 --> 00:01:04.000]  最近我每天讀經的時候
[00:01:04.000 --> 00:01:06.000]  都讀到詩篇第19篇
[00:01:06.000 --> 00:01:11.000]  我留意到詩篇119和詩篇19篇
[00:01:11.000 --> 00:01:15.000]  都講到很多有關上帝律法的好處
[00:01:15.000 --> 00:01:18.000]  在詩篇19篇就特別提到
[00:01:18.000 --> 00:01:21.000]  上帝的律法對我們的心靈
[00:01:21.000 --> 00:01:24.000]  心和靈
[00:01:24.000 --> 00:01:26.000]  心和眼
[00:01:26.000 --> 00:01:28.000]  三方面都有好處
[00:01:28.000 --> 00:01:30.000]  所以希望大家不要以為
[00:01:30.000 --> 00:01:32.000]  背經很難
[00:01:32.000 --> 00:01:33.000]  我跟大家說
[00:01:33.000 --> 00:01:35.000]  我都快60歲了
[00:01:35.000 --> 00:01:40.000]  都跟大家一起努力去背聖經
[00:01:40.000 --> 00:01:42.000]  上個星期的金句
[00:01:42.000 --> 00:01:44.000]  不知道大家記不記得
[00:01:44.000 --> 00:01:46.000]  上個星期的金句比較長一點
[00:01:46.000 --> 00:01:49.000]  哥林多前書15章58節
[00:01:49.000 --> 00:01:51.000]  記不記得
[00:01:51.000 --> 00:01:53.000]  我背這節金句的時候
[00:01:53.000 --> 00:01:57.000]  用動作就好一點
[00:01:57.000 --> 00:01:59.000]  因為一開始說
[00:01:59.000 --> 00:02:01.000]  你們要站穩不可搖動
[00:02:01.000 --> 00:02:02.000]  不可動搖
[00:02:02.000 --> 00:02:05.000]  搖一搖自己的身體就記得了
[00:02:05.000 --> 00:02:06.000]  你們要站穩
[00:02:06.000 --> 00:02:07.000]  站穩就要記穩
[00:02:07.000 --> 00:02:08.000]  不可動搖
[00:02:08.000 --> 00:02:12.000]  然後要不辭勞苦為主工作
[00:02:12.000 --> 00:02:13.000]  為什麼呢
[00:02:13.000 --> 00:02:14.000]  因為你們知道
