
[00:00:00.000 --> 00:00:08.960]  係,大英姐妹好啊,啱啱呢我做兩個禮拜假,返返嚟呢,就嘗試去到休息一休息先,
[00:00:08.960 --> 00:00:16.900]  放完假之後又要再放假,大家都問過,大家好關心呢,到底嗰兩個禮拜假發生咩事,
[00:00:16.900 --> 00:00:23.300]  咁呀,亦都有好多大英姐妹呢,好關心同埋去禱告,特別去到多謝各位,
[00:00:23.300 --> 00:00:26.880]  咁我想今日呢,去到試下講一講我嗰個經歷,
[00:00:26.880 --> 00:00:32.000]  然之後呢,你嗰個經歷裏面呢,有啲乜嘢呢,係可以學習到,我真係學習咗好多嘢,
[00:00:32.000 --> 00:00:38.920]  大家知道我好少放長假㗎,係咪,咁呀今次放長假呢,有一個好大嘅經歷,
[00:00:38.920 --> 00:00:44.280]  咁話說呢,我先講,第一部份我先講我嘅經歷,然之後呢,講一講我自己學到啲乜嘢好嗎,
[00:00:44.280 --> 00:00:47.880]  咁我希望呢,係呢個經歷裏面呢,大家都能夠有啲嘅學習,係咪,
[00:00:47.880 --> 00:00:54.280]  咁呀25號呢,10月25號,我哋咪有崇拜嘅,聖打節嘅崇拜,
[00:00:54.280 --> 00:00:59.760]  咁我哋呢,完咗崇拜嘅時候呢,我哋已經好快,去到執嘢,趕住走呀,
[00:00:59.760 --> 00:01:04.260]  因為呢,嗰一日呢,我要大概三點幾鐘,我就要去到機場,
[00:01:04.260 --> 00:01:09.120]  咁因為聖誕節崇拜嘛,咁我哋又要攞禮物呀,又要玩White Elephant呀,
[00:01:09.120 --> 00:01:14.160]  要攞完禮物先至走㗎嘛,咁我返到去呢,已經係差唔多兩點鐘,兩點鐘啲,
[00:01:14.160 --> 00:01:19.440]  咁我係完全未執嘢嘅,我一家大細個四個人,三個都已經執好曬嘢啦,
[00:01:19.440 --> 00:01:24.640]  我呢,就求其搵啲衫褲咁樣,跟住就掉落去我嗰個嘅行李嗰處,
[00:01:24.640 --> 00:01:28.920]  然之後呢,攞曬證件,攞埋我credit card,最緊要攞credit card嘛,
[00:01:28.920 --> 00:01:37.160]  跟住就,跟住我就即刻叫咗Ivan,就車咗我哋去機場,
[00:01:37.160 --> 00:01:43.860]  原本呢,我哋諗住係可以私私然去嘅,點知呢,我哋啲親友呢,就一味去到text我,
[00:01:43.860 --> 00:01:49.040]  哇,喂,大佬,你知唔知道South West發生咩事,因為我哋搭嗰個South West嘅航空公司,
[00:01:49.040 --> 00:01:59.680]  有好大嘅叫咩,meltdown,咁我一路check個app嘅時候呢,就發現嗰個嘅飛機都ok嘅,
[00:01:59.680 --> 00:02:08.240]  佢仲delay咗半個鐘添,delay咗半個鐘係好啊,因為我趕嘛,咁我諗住慢慢嚟啦,
