
[00:00:00.000 --> 00:00:03.000]  早晨各位電影姐妹
[00:00:03.000 --> 00:00:09.000]  今天是2015年最後一個主日
[00:00:09.000 --> 00:00:13.000]  下一次主日我們再見的時候
[00:00:13.000 --> 00:00:16.000]  就是新的一年
[00:00:16.000 --> 00:00:20.000]  大家可能都大了一歲
[00:00:20.000 --> 00:00:24.000]  不過無論你的年紀多大
[00:00:24.000 --> 00:00:29.000]  我希望你今早都變成十二歲
[00:00:29.000 --> 00:00:35.000]  好像十二歲的耶穌一樣
[00:00:35.000 --> 00:00:36.000]  聖誕節那天
[00:00:36.000 --> 00:00:38.000]  邱牧師跟我們說
[00:00:38.000 --> 00:00:45.000]  聖經裡記載到耶穌降生的經文不是很多
[00:00:45.000 --> 00:00:49.000]  所以差不多每年讀聖經都讀過一段
[00:00:49.000 --> 00:00:53.000]  在伯利恆之野地裡
[00:00:53.000 --> 00:00:57.000]  讀到邱牧師都會背
[00:00:57.000 --> 00:01:05.000]  聖經裡記載到耶穌出生和孩童時期的經文不是很多
[00:01:05.000 --> 00:01:07.000]  路加福音第一第二章
[00:01:07.000 --> 00:01:09.000]  馬太福音第一第二章
[00:01:09.000 --> 00:01:12.000]  有一部分
[00:01:12.000 --> 00:01:16.000]  今天我們要看的經文就是路加福音第二章
[00:01:16.000 --> 00:01:19.000]  41到52節
[00:01:19.000 --> 00:01:22.000]  這一段經文可以說是
[00:01:22.000 --> 00:01:25.000]  耶穌出生之後到耶穌出來傳道
[00:01:25.000 --> 00:01:29.000]  聖經裡差不多是唯一的記載
[00:01:29.000 --> 00:01:33.000]  我們一起來讀一段經文
[00:01:33.000 --> 00:01:34.000]  請一起讀
[00:01:34.000 --> 00:01:36.000]  每年如雨節
[00:01:36.000 --> 00:01:39.000]  他父母都上耶路撒冷去
[00:01:39.000 --> 00:01:42.000]  當他十二歲的時候
[00:01:42.000 --> 00:01:45.000]  他們按著過節的規矩上去
[00:01:45.000 --> 00:01:47.000]  手滿了節旗
[00:01:47.000 --> 00:01:49.000]  他們回去
[00:01:49.000 --> 00:01:52.000]  是和耶穌營救在耶路撒冷
[00:01:52.000 --> 00:01:54.000]  他的父母並不知道
[00:01:54.000 --> 00:01:58.000]  以為他在同行的人中間
[00:01:58.000 --> 00:02:00.000]  七秒的路程
[00:02:00.000 --> 00:02:04.000]  才在親屬和熟悉的人中找他
[00:02:04.000 --> 00:02:05.000]  既找不著
[00:02:05.000 --> 00:02:08.000]  就回耶路撒冷去找他
[00:02:08.000 --> 00:02:10.000]  過了三天
[00:02:10.000 --> 00:02:13.000]  他們發現他在聖殿裡
[00:02:13.000 --> 00:02:15.000]  坐在教師中間
[00:02:15.000 --> 00:02:17.000]  一面聽一面問
[00:02:17.000 --> 00:02:19.000]  凡聽見他的人
[00:02:19.000 --> 00:02:23.000]  都對他的聰明和應對感到驚奇
[00:02:23.000 --> 00:02:26.000]  他父母看見就很驚奇
[00:02:26.000 --> 00:02:28.000]  他母親對他說
[00:02:28.000 --> 00:02:29.000]  我兒啊
[00:02:29.000 --> 00:02:32.000]  為什麼對我們這樣做呢
[00:02:32.000 --> 00:02:33.000]  看啊
[00:02:33.000 --> 00:02:36.000]  你父親和我很焦急
[00:02:36.000 --> 00:02:38.000]  到處找你
[00:02:38.000 --> 00:02:40.000]  耶穌對他們說
[00:02:40.000 --> 00:02:42.000]  為什麼找我呢
[00:02:42.000 --> 00:02:44.000]  難道你們不知道
[00:02:44.000 --> 00:02:47.000]  我應當在我父的家裡嗎
[00:02:47.000 --> 00:02:49.000]  他所說的話
[00:02:49.000 --> 00:02:51.000]  他們不明白
[00:02:51.000 --> 00:02:53.000]  他就和他們下去
[00:02:53.000 --> 00:02:55.000]  回到那撒勒
[00:02:55.000 --> 00:02:57.000]  並且順從他們
[00:02:57.000 --> 00:03:00.000]  他母親把這一切的事
[00:03:00.000 --> 00:03:02.000]  都存在心裡
[00:03:02.000 --> 00:03:05.000]  耶穌的智慧和新娘
[00:03:05.000 --> 00:03:08.000]  並神和人喜愛他的心
[00:03:08.000 --> 00:03:10.000]  都一起增長
[00:03:10.000 --> 00:03:12.000]  我們同心祈禱
[00:03:12.000 --> 00:03:17.000]  主啊主幫助我們從這一段經文
[00:03:17.000 --> 00:03:19.000]  看到祢的心意
