
[00:00:00.000 --> 00:00:02.000]  鼎智梅,平安
[00:00:30.000 --> 00:00:32.000]  其中裡面這樣寫
[00:00:32.000 --> 00:00:36.800]  很多人以為基督徒的信是一件容易的事
[00:00:36.800 --> 00:00:39.000]  他們之所以這樣行
[00:00:39.000 --> 00:00:41.400]  是因為他們沒有信的經驗
[00:00:41.400 --> 00:00:45.000]  也從來沒有嘗到信的大能
[00:00:45.000 --> 00:00:48.000]  因為除非一個人在某一個時候
[00:00:48.000 --> 00:00:51.200]  處於試煉的壓迫之下
[00:00:51.200 --> 00:00:54.800]  嘗過信所給予的勇氣
[00:00:54.800 --> 00:00:58.600]  他就無法將信好好地描寫出來
[00:00:58.600 --> 00:01:03.200]  他無法對凡是論及信所正確地描寫
[00:01:03.200 --> 00:01:05.200]  加以領會
[00:01:05.200 --> 00:01:07.200]  馬丁路德這番說話
[00:01:07.200 --> 00:01:09.200]  其實是他很出名的
[00:01:09.200 --> 00:01:11.200]  我們經常都說因信稱義這四個
[00:01:11.200 --> 00:01:13.200]  很核心的教義的字眼
[00:01:13.200 --> 00:01:17.200]  其實是他對因信稱義這個核心的教義
[00:01:17.200 --> 00:01:19.200]  進一步的一個演繹
[00:01:19.200 --> 00:01:21.200]  你可以說其實
[00:01:21.200 --> 00:01:24.200]  不單純是一個教義的層面的論述
[00:01:24.200 --> 00:01:26.200]  其實是引伸到我們
[00:01:26.200 --> 00:01:29.200]  信仰人生的每一個層面
[00:01:29.200 --> 00:01:31.200]  於是我們可以這樣看
[00:01:31.200 --> 00:01:33.200]  當我們談論到因信稱義的時候
[00:01:33.200 --> 00:01:36.200]  其實不單只是說一個人怎樣得救
[00:01:36.200 --> 00:01:38.200]  又或者對應當時十六世紀
[00:01:38.200 --> 00:01:41.200]  當時大公教會所面對的種種問題
[00:01:41.200 --> 00:01:44.200]  然後馬丁路德就提出了
[00:01:44.200 --> 00:01:47.200]  他自己在聖經裡面的一個領受和亮光
[00:01:47.200 --> 00:01:49.200]  其實不單只是這樣
[00:01:49.200 --> 00:01:52.200]  這個課題涉及到一個人是怎樣得救
[00:01:52.200 --> 00:01:54.200]  這個課題當然是很重要
[00:01:54.200 --> 00:01:58.200]  不過因信稱義這個信仰的基要
[00:01:58.200 --> 00:02:01.200]  其實是涵蓋整個信仰人生
[00:02:01.200 --> 00:02:04.200]  即是說不是單單在教義上處理一個
[00:02:04.200 --> 00:02:06.200]  人怎樣得救的課題
[00:02:06.200 --> 00:02:08.200]  我再說這是很重要的課題
[00:02:08.200 --> 00:02:11.200]  不過我們得救之後
[00:02:11.200 --> 00:02:14.200]  人生在世總會有使命
[00:02:14.200 --> 00:02:16.200]  總會有生活繼續要走下去
[00:02:16.200 --> 00:02:20.200]  所以因信稱義這個信仰的涵蓋面
[00:02:20.200 --> 00:02:23.200]  是涉及到我們在世生活的一個很重要的基石
[00:02:23.200 --> 00:02:26.200]  我們反過來看第一世紀
[00:02:26.200 --> 00:02:30.200]  在羅馬書的第一章十六到十七節
[00:02:30.200 --> 00:02:33.200]  我們今天的經節特別再打出來
[00:02:33.200 --> 00:02:56.200]  (國語)
[00:02:56.200 --> 00:02:58.200]  我們可以說這兩節的聖經
[00:02:58.200 --> 00:03:01.200]  剛才所引用的羅馬書第一章的聖經
[00:03:01.200 --> 00:03:05.200]  可以說是羅馬書的一個提綱揭領的經文
[00:03:05.200 --> 00:03:08.200]  這兩節的聖經是說出了
[00:03:08.200 --> 00:03:10.200]  斯勞保羅在羅馬書接下
[00:03:10.200 --> 00:03:12.200]  還有相當的篇幅
[00:03:12.200 --> 00:03:16.200]  所討論到神學課題的一個核心的部分
[00:03:16.200 --> 00:03:18.200]  本於信意志於信
[00:03:18.200 --> 00:03:20.200]  構成了今天思考的時候
[00:03:20.200 --> 00:03:22.200]  今天我們宣導的講題
[00:03:22.200 --> 00:03:25.200]  也正是取材於這兩節經文
[00:03:25.200 --> 00:03:28.200]  斯勞保羅在這節經文裏面所表述的教導
[00:03:28.200 --> 00:03:30.200]  是正是要告訴我們
[00:03:30.200 --> 00:03:34.200]  福音顯明了上帝怎樣使人稱義
[00:03:34.200 --> 00:03:38.200]  就是說由信心開始,由信心結束
[00:03:38.200 --> 00:03:41.200]  新國際譯本NIV是這樣翻譯的
[00:03:41.200 --> 00:03:46.200]  (國語)
[00:03:46.200 --> 00:03:52.200]  這個信心是對我們所信的上帝的一個傳言的毀身
[00:03:52.200 --> 00:03:55.200]  也是一個生命的投靠
