
[00:00:00.000 --> 00:00:01.960]  讓我們一起在聆聽主的說話
[00:00:01.960 --> 00:00:05.320]  與心、肌、頭、肚、部、陽、望、主、愛的神
[00:00:05.320 --> 00:00:09.640]  父神,多謝祢讓我們能夠再次回來
[00:00:09.640 --> 00:00:13.040]  在祢寶貴說話的面前一起思想
[00:00:13.040 --> 00:00:16.760]  並且在門當中祢的啟示去教導
[00:00:16.760 --> 00:00:19.680]  務眾,我們成為一個合主祢心意的人
[00:00:19.680 --> 00:00:26.240]  活在今天祢所安慈我們所處的環境、時間和人事
[00:00:26.240 --> 00:00:31.480]  讓我們在其中去活出一個真正有屬神生命的人
[00:00:31.480 --> 00:00:36.800]  並且將救恩將祂明明地顯明在人的面前
[00:00:36.800 --> 00:00:43.200]  讓上帝每一個屬於祢的人能夠得以呼召回到上帝當中
[00:00:43.200 --> 00:00:46.800]  為此我們在這個時候再次將這段時間供給加加上
[00:00:46.800 --> 00:00:48.120]  求祢的帶領
[00:00:48.120 --> 00:00:52.840]  讓我們每一個都能夠在當中生根建造
[00:00:52.840 --> 00:00:59.000]  成長在上帝的這塊屬命的田地當中
[00:00:59.000 --> 00:01:00.960]  你的帶領,我們同心吐佈
[00:01:00.960 --> 00:01:04.120]  奉靠主耶穌基督得聖的名字而靠
[00:01:04.120 --> 00:01:05.120]  阿們
[00:01:05.120 --> 00:01:10.800]  本身勸導這件事其實是一件困難的事
[00:01:10.800 --> 00:01:19.160]  我意思是去給一些意見或者規勸給一些人
[00:01:19.160 --> 00:01:21.680]  其實是一件難的事情
[00:01:21.680 --> 00:01:24.440]  因為你怎樣去做一個好的規勸
[00:01:24.440 --> 00:01:26.000]  其實已經不容易
[00:01:26.000 --> 00:01:28.840]  但更加困難的一件事就是
[00:01:28.840 --> 00:01:31.880]  如果你要規勸的人
[00:01:31.880 --> 00:01:35.200]  或者那個對象是你的上司
[00:01:35.200 --> 00:01:39.560]  對你可以把握生死之權的話
[00:01:39.560 --> 00:01:43.600]  可能你更加是困難去面對
[00:01:43.600 --> 00:01:45.000]  因為為什麼呢?
[00:01:45.000 --> 00:01:49.360]  因為你知道如果你所規勸的對象
[00:01:49.360 --> 00:01:52.560]  聽了之後不高興的話
[00:01:52.560 --> 00:01:54.240]  高興當然好
[00:01:54.240 --> 00:01:56.200]  或者他會參詳
[00:01:56.200 --> 00:02:00.560]  會多謝你給一些好的提議給他
[00:02:00.560 --> 00:02:02.360]  他可以多想一層
[00:02:02.360 --> 00:02:07.440]  但如果他是不聽從這個規勸的話
[00:02:07.440 --> 00:02:12.680]  可能你的下場死得更加快更加嚴重
[00:02:12.680 --> 00:02:16.320]  問題就是如果當我們是預知道
[00:02:16.320 --> 00:02:19.160]  如果那個人是會怎樣回應的話
[00:02:19.160 --> 00:02:23.640]  你仍然會不會去作出規勸呢?
[00:02:23.640 --> 00:02:26.680]  這一點正正是今天我們所看的
[00:02:26.680 --> 00:02:28.440]  《彈爾里書》第四章
[00:02:28.440 --> 00:02:31.600]  從第19節至第27節
[00:02:31.600 --> 00:02:34.880]  彈爾里或者當中所提到的
[00:02:34.880 --> 00:02:39.680]  《百提撒撒》是很重要的
[00:02:39.680 --> 00:02:42.000]  因為《百提撒撒》彈爾里
[00:02:42.000 --> 00:02:47.240]  他認識尼布甲尼撒王絕對不短的日子
[00:02:47.240 --> 00:02:50.760]  自從他去到秘魯
[00:02:50.760 --> 00:02:55.240]  在主前的605年秘魯
[00:02:55.240 --> 00:03:00.120]  或者應該是560年左右的時間
[00:03:00.120 --> 00:03:03.480]  他秘魯之後一直被授勳
[00:03:03.480 --> 00:03:08.960]  在尼布甲尼撒王的宮廷裡面打滾
[00:03:08.960 --> 00:03:13.840]  他已經面對過先前從外在的一群群眾
[00:03:13.840 --> 00:03:16.200]  他們對於彈爾里
[00:03:16.200 --> 00:03:21.480]  以及他三個同伴的兇殺的迫害
[00:03:21.480 --> 00:03:24.680]  尼布甲尼撒王有一個特色就是
[00:03:24.680 --> 00:03:28.960]  他懂得知道誰是真的有才幹
[00:03:28.960 --> 00:03:31.960]  他欣賞到彈爾里及他三個同伴
[00:03:31.960 --> 00:03:35.800]  但是不是因為他欣賞到他們的才幹
[00:03:35.800 --> 00:03:37.760]  於是就力保他們
[00:03:37.760 --> 00:03:41.320]  有時甚至利用彈爾里
[00:03:41.320 --> 00:03:44.520]  放了他們在一個危險的境況
[00:03:44.520 --> 00:03:48.800]  然後去解決了政治上的爭鬥
[00:03:48.800 --> 00:03:52.040]  譬如上文我們曾經說過的
[00:03:52.040 --> 00:03:54.960]  就是彈爾里的三個同伴
[00:03:54.960 --> 00:03:59.120]  被切謀去看看他們是否拜尼布甲尼撒王
[00:03:59.120 --> 00:04:02.240]  所立的金像這件事件
[00:04:02.240 --> 00:04:04.600]  也讓我們看到
[00:04:04.600 --> 00:04:08.000]  尼布甲尼撒王甚至願意犧牲這三個
[00:04:08.000 --> 00:04:11.520]  他知道是有神靈在其中的人
[00:04:11.520 --> 00:04:16.320]  嘗試去擺平在他國中的政治爭鬥
[00:04:16.320 --> 00:04:19.000]  特別他屬於加勒底民族
[00:04:19.000 --> 00:04:24.880]  掌管當時巴比倫帝國的權力核心
[00:04:24.880 --> 00:04:27.840]  這班支持的人民
