
[00:00:00.000 --> 00:00:03.400]  預備今次的講道
[00:00:03.400 --> 00:00:06.000]  我就想起尋求營有一幅圖畫
[00:00:06.000 --> 00:00:08.600]  我想很多人都有印象
[00:00:08.600 --> 00:00:15.800]  那幅圖畫有很多污漬的浴缸
[00:00:15.800 --> 00:00:20.600]  很多人都有這個印象
[00:00:20.600 --> 00:00:24.000]  其實意味著我們的生命需要潔淨
[00:00:24.000 --> 00:00:25.600]  很需要自潔
[00:00:25.600 --> 00:00:31.200]  所以今日的經文也是在尋求營出現的
[00:00:31.200 --> 00:00:33.400]  講起浴缸
[00:00:33.400 --> 00:00:36.200]  其實如果浴缸弄髒了
[00:00:36.200 --> 00:00:38.400]  都頗難清潔
[00:00:38.400 --> 00:00:41.600]  大家家中有沒有人用浴缸?
[00:00:41.600 --> 00:00:44.600]  有的 有些已經不是了
[00:00:44.600 --> 00:00:45.800]  可能是企缸那些
[00:00:45.800 --> 00:00:46.800]  但無論如何
[00:00:46.800 --> 00:00:51.400]  其實如果浴缸本身有污漬
[00:00:51.400 --> 00:00:54.600]  我覺得是很不容易清潔的
[00:00:54.600 --> 00:00:57.600]  特別是浴缸的邊緣
[00:00:57.600 --> 00:00:58.600]  不知道大家有沒有留意
[00:00:58.600 --> 00:01:01.600]  那些邊緣是玻璃膠封住的
[00:01:01.600 --> 00:01:03.200]  原本是白色的
[00:01:03.200 --> 00:01:06.200]  弄髒了之後會變成什麼顏色?
[00:01:06.200 --> 00:01:08.200]  有些毛
[00:01:08.200 --> 00:01:11.000]  有些灰灰的顏色
[00:01:11.000 --> 00:01:14.400]  大家知不知道怎樣清潔?
[00:01:14.400 --> 00:01:15.400]  大家很聰明
[00:01:15.400 --> 00:01:16.400]  我問了昨晚很多人
[00:01:16.400 --> 00:01:18.000]  沒有什麼人知道
[00:01:18.000 --> 00:01:21.600]  畢竟我們人生閱歷也很豐富
[00:01:21.600 --> 00:01:26.000]  我是聽到別人說的
[00:01:26.000 --> 00:01:28.000]  怎樣做清潔呢?
[00:01:28.000 --> 00:01:29.000]  詳細的做法就是
