
[00:00:00.000 --> 00:00:03.140]  今天搞到最後是什麼?我們是個大家庭,對不對?
[00:00:03.140 --> 00:00:05.220]  我們是個大家庭
[00:00:05.220 --> 00:00:08.180]  當然,這個大家庭是知道
[00:00:08.180 --> 00:00:11.740]  我們教會,我們認爲教會是我們屬靈的家
[00:00:11.740 --> 00:00:14.840]  問題是,到底我們不知道有多少人
[00:00:14.840 --> 00:00:18.640]  真的覺得會是我們屬靈的家呢?
[00:00:18.640 --> 00:00:20.680]  所以過去幾個禮拜
[00:00:20.680 --> 00:00:23.860]  我們希望能夠讓大家知道教會的主題
[00:00:23.860 --> 00:00:27.000]  前兩個禮拜我們說要一起敬拜
[00:00:27.000 --> 00:00:29.200]  一起成長
[00:00:29.200 --> 00:00:33.280]  今天我們說大家要在家裏復仕
[00:00:33.280 --> 00:00:36.780]  那爲什麼我們要在家裏復仕呢?
[00:00:36.780 --> 00:00:39.740]  道理很簡單,因爲我們自己也有家
[00:00:39.740 --> 00:00:42.980]  在家庭裏,如果我們覺得這是我們的家
[00:00:42.980 --> 00:00:45.200]  我們要幫忙做家務
[00:00:45.200 --> 00:00:48.000]  每個人都要分擔裏面的工作
[00:00:48.000 --> 00:00:52.040]  甚至很簡單,如果家裏有小朋友
[00:00:52.040 --> 00:00:55.360]  當他慢慢長大,懂得走懂得走的時候
[00:00:55.360 --> 00:00:58.160]  當然小朋友喜歡玩,玩什麼呢?
[00:00:58.160 --> 00:01:00.760]  除了洋娃娃和小車之外
[00:01:00.760 --> 00:01:02.860]  這兩個最受歡迎的,對不對?
[00:01:02.860 --> 00:01:04.960]  接着你會看到在玩具當中
[00:01:04.960 --> 00:01:10.560]  有剪草機、吸塵機、購物卡
[00:01:10.560 --> 00:01:12.160]  有沒有啊?
[00:01:12.160 --> 00:01:13.760]  有吧?
[00:01:13.760 --> 00:01:17.520]  這些小朋友小小一個就被他玩這些東西了
[00:01:17.520 --> 00:01:18.280]  OK?
[00:01:18.280 --> 00:01:20.320]  會不會覺得很煩啊?
[00:01:20.320 --> 00:01:26.280]  很厭惡這些吸塵機、剪草機這些東西呢?
[00:01:26.280 --> 00:01:31.360]  不會的,他不會覺得很煩很辛苦,他覺得什麼呢?
[00:01:31.360 --> 00:01:32.400]  他覺得什麼?
[00:01:32.400 --> 00:01:34.080]  想起小朋友的時代?
[00:01:34.080 --> 00:01:37.160]  可能不記得了,他覺得很有趣,很可愛
[00:01:37.160 --> 00:01:41.160]  爲什麼呢?因爲他能像大人一樣去做這些事情
[00:01:41.160 --> 00:01:44.720]  大人吸塵,我又吸塵,大人剪草,我又剪草
[00:01:44.720 --> 00:01:47.200]  大人去買東西,我又推着小車
[00:01:47.200 --> 00:01:50.160]  哇,多開心啊
[00:01:50.160 --> 00:01:54.280]  當然我相信還有一件事,他們覺得很重要的
[00:01:54.280 --> 00:01:57.680]  雖然他們很小,甚至可能還不懂得說很多話
[00:01:57.680 --> 00:02:01.240]  但是他們留意到,當他們這樣做的時候
[00:02:01.240 --> 00:02:03.600]  哇,大人很開心很快樂
[00:02:03.600 --> 00:02:05.680]  大人開心快樂,就會更加做多一點給他看
[00:02:05.680 --> 00:02:08.440]  很開心快樂,是不是這樣呢?
[00:02:08.440 --> 00:02:11.400]  這個就是在家裏面帶給我們中國的溫馨
[00:02:11.400 --> 00:02:12.960]  我們來到家裏面的時候
[00:02:12.960 --> 00:02:14.880]  我們都希望能夠在家裏面
[00:02:14.880 --> 00:02:18.800]  不僅有歸屬感,在裏面能夠找到愛和接納
[00:02:18.800 --> 00:02:20.320]  在屬靈的家教裏面
