
[00:00:00.000 --> 00:00:03.000]  今天是敬拜港獨系列最後一課
[00:00:03.000 --> 00:00:08.200]  我們會透過馬克方十四章二十二到二十六節思想主餐
[00:00:08.200 --> 00:00:11.280]  經常聽人說天下無不散之筵席
[00:00:11.280 --> 00:00:15.480]  但作為基督徒我們相信天上有不散之筵席
[00:00:15.480 --> 00:00:18.960]  主餐一方面是最後晚餐的重溫
[00:00:18.960 --> 00:00:23.200]  但同時亦是天國大筵席的預演
[00:00:23.200 --> 00:00:26.920]  最近一次我們開教育同工會的時候
[00:00:26.920 --> 00:00:29.840]  聽到 Geoffrey Chaucer 的名句
[00:00:29.840 --> 00:00:32.520]  All good things must come to an end
[00:00:32.520 --> 00:00:36.800]  的確在地上歲月是有春夏秋冬
[00:00:36.800 --> 00:00:37.920]  家走除外
[00:00:37.920 --> 00:00:40.040]  人生有生老病死
[00:00:40.040 --> 00:00:41.400]  總統會卸任
[00:00:41.400 --> 00:00:43.040]  新年會變舊人
[00:00:43.040 --> 00:00:48.640]  就算不知什麼的 App 用久了人都會移民去接收不同的信號
[00:00:48.640 --> 00:00:52.320]  所以難怪這個禮拜華爾街這麼多人大聲疾呼
[00:00:52.320 --> 00:00:55.000]  All games must come to a stop
[00:00:55.640 --> 00:00:58.720]  但聖經告訴我們天國不一樣
[00:00:58.720 --> 00:01:02.040]  我們有一個永恆的家等候我們
[00:01:02.040 --> 00:01:05.720]  那裡萬物都是永恆不朽歷久常新
[00:01:05.720 --> 00:01:08.480]  所以天下無不散之筵席
[00:01:08.480 --> 00:01:11.040]  大家喝完這一杯就要各自上路
[00:01:11.040 --> 00:01:16.880]  但是這條道路的終點是一個天上才有的不散筵席
[00:01:16.880 --> 00:01:19.600]  今天想和大家思想三個問題
[00:01:19.600 --> 00:01:21.080]  如何守主餐
[00:01:21.080 --> 00:01:21.760]  How?
[00:01:21.760 --> 00:01:23.040]  什麼時主餐
[00:01:23.040 --> 00:01:23.680]  What?
[00:01:23.680 --> 00:01:25.120]  為何守主餐
[00:01:25.120 --> 00:01:25.640]  Why?
[00:01:25.640 --> 00:01:28.280]  開宗明義想給三個答案大家
[00:01:28.280 --> 00:01:33.760]  主餐必須在讚美和感恩中領受和分享
[00:01:33.760 --> 00:01:38.240]  主餐是救贖計劃的重溫和預演
[00:01:38.240 --> 00:01:42.000]  守主餐是為了紀念主寫生
[00:01:42.000 --> 00:01:43.600]  效法主犧牲
[00:01:43.600 --> 00:01:45.360]  攀代主在臨
[00:01:45.360 --> 00:01:49.760]  初期教會的基督徒將一年一次慶祝的逾越節晚餐
[00:01:49.760 --> 00:01:53.200]  改變成差不多每次聚會都紀念的主餐
[00:01:53.560 --> 00:01:56.600]  主餐是基督徒生活的一個中心
[00:01:56.600 --> 00:02:00.320]  如果今天我們盼望教會有屬靈的復興
[00:02:00.320 --> 00:02:03.480]  又好像初期教會一樣的興旺
[00:02:03.480 --> 00:02:08.560]  主餐是我們不能夠不重新發現的一個屬靈操練
[00:02:08.560 --> 00:02:10.360]  首先如何守主餐
[00:02:10.360 --> 00:02:13.080]  在馬學14章22到23節
