
[00:00:00.000 --> 00:00:03.080]  很高興能夠見到大家回來神的殿
[00:00:03.080 --> 00:00:05.480]  我們一起有這份敬拜
[00:00:05.480 --> 00:00:12.040]  今天在神的面前繼續看時詩記
[00:00:12.040 --> 00:00:13.760]  如果大家記得上星期
[00:00:13.760 --> 00:00:15.200]  我們有兩位傳道
[00:00:15.200 --> 00:00:18.080]  就是Terry和Jenny傳道
[00:00:18.080 --> 00:00:23.600]  跟我們很詳細交代了時詩記的序言
[00:00:23.600 --> 00:00:25.800]  但這個序言其實有兩部分
[00:00:25.800 --> 00:00:28.280]  不單是第一章 還有第二章
[00:00:28.280 --> 00:00:31.800]  為什麼呢?我稍後會跟大家分享
[00:00:31.800 --> 00:00:34.280]  讓我們先一起祈禱
[00:00:34.280 --> 00:00:37.320]  天父上帝我們願意仰望祢 依靠祢
[00:00:37.320 --> 00:00:40.360]  因為在這個令人困惑
[00:00:40.360 --> 00:00:45.080]  甚至令人擔憂的年代
[00:00:45.080 --> 00:00:48.040]  主要是讓祢的子民能夠得力
[00:00:48.040 --> 00:00:51.080]  而且有真正的平靜安穩的心
[00:00:51.080 --> 00:00:53.800]  是因為我們願意回到祢的面前
[00:00:53.800 --> 00:00:56.880]  願意真理的聖靈開啟祢的說話
[00:00:56.880 --> 00:01:00.080]  讓我們有一個受教的耳朵和心
[00:01:00.080 --> 00:01:02.800]  更加願意我們的生命
[00:01:02.800 --> 00:01:05.240]  願意去實踐祢自己
[00:01:05.240 --> 00:01:06.960]  給予我們教導
[00:01:06.960 --> 00:01:10.560]  主要是讓我們的人生有祢自己的使用
[00:01:10.560 --> 00:01:15.560]  來祝福列國萬族都能歸入祢自己的名下
[00:01:15.560 --> 00:01:18.960]  在祢自己永恆的旨意和角度裡
[00:01:18.960 --> 00:01:20.400]  我們一起有份
[00:01:20.400 --> 00:01:22.000]  我們同心合意祈禱
[00:01:22.000 --> 00:01:23.200]  奉主名求
[00:01:23.200 --> 00:01:24.680]  阿門
[00:01:24.680 --> 00:01:27.440]  上一個星期 特別是Jenny傳到
[00:01:27.440 --> 00:01:31.520]  她有很詳細的講解這本書卷的背景
[00:01:31.520 --> 00:01:34.280]  我借用了她兩章的slide
[00:01:34.280 --> 00:01:36.560]  就是她開始講的時候
[00:01:36.560 --> 00:01:38.880]  這本書卷的大綱
[00:01:38.880 --> 00:01:40.920]  大家在這個序言已經看到了
[00:01:40.920 --> 00:01:42.600]  第一章到二章五節
[00:01:42.600 --> 00:01:46.360]  講到以色列支派德地爭戰的妥協
[00:01:46.360 --> 00:01:50.040]  是一個軍事上他們的成績表
[00:01:50.040 --> 00:01:51.800]  不過是不合格的
[00:01:51.800 --> 00:01:54.760]  原因就是今天第二章的交代
[00:01:54.760 --> 00:01:57.320]  是以色列人因為拜愛邦的神
[00:01:57.320 --> 00:02:01.400]  這是屬靈的一個很重要的失敗的原因
[00:02:01.400 --> 00:02:06.080]  不過我們會詳細一點再去查考第二章的信息
[00:02:06.080 --> 00:02:08.680]  第三章七節到十六章三十一節
[00:02:08.680 --> 00:02:11.960]  羅列了六個主要的事司
[00:02:11.960 --> 00:02:13.640]  這六個事司
[00:02:13.640 --> 00:02:14.960]  六個judges
[00:02:14.960 --> 00:02:18.440]  他們都各有各的神的命定
[00:02:18.440 --> 00:02:20.720]  要他們在他們的生命裡面
[00:02:20.720 --> 00:02:25.040]  因為他們有未講出的這些迦南人的外族
[00:02:25.040 --> 00:02:28.200]  神要興起事司去拯救他們的子民
[00:02:28.200 --> 00:02:30.800]  但是很可惜我們仍然看到
[00:02:30.800 --> 00:02:33.120]  神的百姓是屢次
[00:02:33.120 --> 00:02:35.280]  是蒙拯救 蒙恩典之後
[00:02:35.280 --> 00:02:37.240]  但他們竟然是忘恩
[00:02:37.240 --> 00:02:39.240]  而且繼續墮落
[00:02:39.240 --> 00:02:42.480]  這是一個循環式的一個境況
[00:02:42.480 --> 00:02:45.080]  更加悲哀我們看到最後
[00:02:45.080 --> 00:02:47.560]  在書卷的八章的章節
[00:02:47.560 --> 00:02:49.160]  十七到二十一章
[00:02:49.160 --> 00:02:52.640]  我們看到宗教和道德的淪亡
[00:02:52.640 --> 00:02:56.640]  我們看到這個圖表也讓我們引以為鑒
[00:02:56.640 --> 00:02:59.200]  由犯罪到受苦
[00:02:59.200 --> 00:03:02.480]  他們有六次的這種境況向神呼求
[00:03:02.480 --> 00:03:05.720]  也是再一次蒙上帝的恩典
[00:03:05.720 --> 00:03:08.480]  神往往都是讓我們看到
[00:03:08.480 --> 00:03:12.560]  祂的恩典真的大過一切
[00:03:12.560 --> 00:03:14.840]  幾博弈的神的子民
[00:03:14.840 --> 00:03:18.240]  原來上帝都好像我們天上的阿爸父一樣
[00:03:18.240 --> 00:03:21.160]  等待浪子回頭
[00:03:21.160 --> 00:03:23.440]  我們今天如果能夠捕捉到
[00:03:23.440 --> 00:03:28.280]  上帝在祂的心懷和祂的永恆的角度眼光
[00:03:28.280 --> 00:03:31.600]  去看這個日光下的世事的時候
[00:03:31.600 --> 00:03:36.840]  你不需要為你眼前各樣的困境
[00:03:36.840 --> 00:03:40.200]  過分的憂慮或者是擔心
[00:03:40.200 --> 00:03:44.160]  你需要的是堅定不移的去依靠上主
[00:03:44.160 --> 00:03:48.840]  我們祈求上帝祂自己的恩典公義慈愛
[00:03:48.840 --> 00:03:51.680]  臨到人世間
[00:03:51.680 --> 00:03:55.760]  雙重的引言其實是代表一個因果的關係
[00:03:55.760 --> 00:03:58.040]  《史詩記》第一章其實正是
[00:03:58.040 --> 00:04:01.840]  用以色列文的角度去看他們軍事上的缺失
[00:04:01.840 --> 00:04:04.520]  這個就是他們攻佔迦南地
[00:04:04.520 --> 00:04:06.120]  但是沒有完全攻佔
[00:04:06.120 --> 00:04:08.880]  沒有將那些外族人完全趕走
[00:04:08.880 --> 00:04:11.800]  這個失敗是用一個扇形的方式
[00:04:11.800 --> 00:04:14.520]  就是歷史的進程這個時間
[00:04:14.520 --> 00:04:17.600]  來讓我們看見他們的妥協
[00:04:17.600 --> 00:04:22.320]  但是第二章我們看到用神的角度去指出
